	title	artist	album	likeStatus	duration	videoId	albumId	artistId
0	If You Know You Know	Pusha T	DAYTONA	INDIFFERENT	3:23	d-181oAf4qc	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
1	The Games We Play	Pusha T	DAYTONA	LIKE	2:47	7kiNsjeYsVs	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
2	Hard Piano (feat. Rick Ross)	Pusha T	DAYTONA	INDIFFERENT	3:16	PGBabCk3O2s	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
3	Come Back Baby	Pusha T	DAYTONA	INDIFFERENT	3:27	sul4duD8e6U	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
4	Santeria	Pusha T	DAYTONA	LIKE	2:57	RMhIC6195KU	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
5	What Would Meek Do? (feat. Kanye West)	Pusha T	DAYTONA	LIKE	2:34	BmM22s7JT04	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
6	Infrared	Pusha T	DAYTONA	LIKE	2:51	RhRaIw3KjKo	MPREb_RZmtTx3q6gQ	UCr4IKNkUPPmkwE_LAjtho0g
7	Cómo Me Quieres	Khruangbin	Con Todo El Mundo	LIKE	3:45	hnRGFeH9_to	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
8	Lady and Man	Khruangbin	Con Todo El Mundo	LIKE	4:18	ZGs1ATfHK-A	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
9	Maria También	Khruangbin	Con Todo El Mundo	LIKE	3:10	H_kvg5fV6mw	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
10	August 10	Khruangbin	Con Todo El Mundo	LIKE	4:25	NA48_XQcuwc	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
11	Cómo Te Quiero	Khruangbin	Con Todo El Mundo	LIKE	4:02	qqsWuk7DuVI	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
12	Shades of Man	Khruangbin	Con Todo El Mundo	LIKE	3:47	_MYFPQSKzQI	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
13	Evan Finds the Third Room	Khruangbin	Con Todo El Mundo	INDIFFERENT	4:00	stMx2V1xnz0	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
14	A Hymn	Khruangbin	Con Todo El Mundo	LIKE	3:10	q8ODc8z_nDA	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
15	Rules	Khruangbin	Con Todo El Mundo	LIKE	4:29	YNdM7mSK0Js	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
16	Friday Morning	Khruangbin	Con Todo El Mundo	LIKE	6:50	YHPHzNV3afk	MPREb_eMtJ0gI8aoT	UCW2SLxltqPa553qretr4KzQ
17	Feel The Love (feat. Pusha T)	KIDS SEE GHOSTS	KIDS SEE GHOSTS	INDIFFERENT	2:46	rnZQvgWhM5s	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
18	Fire	KIDS SEE GHOSTS	KIDS SEE GHOSTS	INDIFFERENT	2:21	ZBIzL1OdKMI	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
19	4th Dimension (feat. Louis Prima)	KIDS SEE GHOSTS	KIDS SEE GHOSTS	LIKE	2:34	6Hj5tucYv1Q	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
20	Freeee (Ghost Town Pt. 2) (feat. Ty Dolla $ign)	KIDS SEE GHOSTS	KIDS SEE GHOSTS	LIKE	3:27	5bZqAfJBsSk	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
21	Reborn	KIDS SEE GHOSTS	KIDS SEE GHOSTS	INDIFFERENT	5:25	hQC8COGQ4BM	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
22	Kids See Ghosts (feat. Yasiin Bey)	KIDS SEE GHOSTS	KIDS SEE GHOSTS	LIKE	4:06	cHFzyFMT0pw	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
23	Cudi Montage	KIDS SEE GHOSTS	KIDS SEE GHOSTS	LIKE	3:18	RaTAlvbC_T4	MPREb_hxKtPbZMpJx	UCXXMMJZJg5Pbd6PYeqDvGNw
24	This Old House Is All I Have	Against All Logic	2012 - 2017	LIKE	3:38	hKSaVRJaidM	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
25	I Never Dream	Against All Logic	2012 - 2017	LIKE	6:45	F6Y5FSsQbIQ	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
26	Some Kind of Game	Against All Logic	2012 - 2017	LIKE	6:47	92ni1Z--LPw	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
27	Hopeless	Against All Logic	2012 - 2017	LIKE	5:40	Hlzb13elEno	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
28	Know You	Against All Logic	2012 - 2017	LIKE	4:24	yVh4PanPdj4	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
29	Such a Bad Way	Against All Logic	2012 - 2017	LIKE	4:53	9YahGsDkYHE	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
30	Cityfade	Against All Logic	2012 - 2017	LIKE	5:40	58V3bcJ3rIQ	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
31	Now U Got Me Hooked	Against All Logic	2012 - 2017	LIKE	5:51	kfbFPgljt88	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
32	Flash in the Pan	Against All Logic	2012 - 2017	LIKE	7:27	iK9jJHtOXM4	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
33	You Are Going to Love Me and Scream	Against All Logic	2012 - 2017	LIKE	5:35	FNlYuFhFXHQ	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
34	Rave on U	Against All Logic	2012 - 2017	LIKE	9:55	lRxz3hpe8X4	MPREb_nGo7AiS8iiy	UCM2MeXVuQH9lJQWDPE9Ik_Q
35	The Space Travelers Lullaby	Kamasi Washington	Heaven and Earth	LIKE	10:31	B8M43moxVGw	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
36	Fists of Fury	Kamasi Washington	Heaven and Earth	INDIFFERENT	9:43	NUPqaX3Wmc8	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
37	Vi Lua Vi Sol	Kamasi Washington	Heaven and Earth	LIKE	11:07	XQmmZWB4FNg	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
38	Can You Hear Him	Kamasi Washington	Heaven and Earth	LIKE	8:54	ANWQT8ZSrqQ	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
39	Street Fighter Mas	Kamasi Washington	Heaven and Earth	LIKE	5:58	-c0U2W7N6fg	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
40	Hub-Tones	Kamasi Washington	Heaven and Earth	INDIFFERENT	9:10	b1zz5m1YSCM	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
41	Song For The Fallen	Kamasi Washington	Heaven and Earth	LIKE	12:41	lQKbHxSntu0	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
42	Connections	Kamasi Washington	Heaven and Earth	INDIFFERENT	8:24	hriQQZbl_1c	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
43	Tiffakonkae	Kamasi Washington	Heaven and Earth	INDIFFERENT	9:24	ZV3nirB6ju0	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
44	Journey	Kamasi Washington	Heaven and Earth	INDIFFERENT	8:51	gm9Tw9rpaDg	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
45	The Invincible Youth	Kamasi Washington	Heaven and Earth	LIKE	9:53	i4OsOp5gLY0	MPREb_nKVpAGmmfqV	UC0G-IaG6Q0eawu8N_6OAZxw
