title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Polaris	Zero 7	Simple Things	LIKE	VMECfXOoNI8	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Polaris	Zero 7	Simple Things	LIKE	VMECfXOoNI8	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Polaris	Zero 7	Simple Things	LIKE	VMECfXOoNI8	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Polaris	Zero 7	Simple Things	LIKE	VMECfXOoNI8	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Polaris	Zero 7	Simple Things	LIKE	VMECfXOoNI8	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Polaris	Zero 7	Simple Things	LIKE	VMECfXOoNI8	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Out Of Town	Zero 7	Simple Things	LIKE	zro5w2HDCnQ	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Out Of Town	Zero 7	Simple Things	LIKE	zro5w2HDCnQ	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Out Of Town	Zero 7	Simple Things	LIKE	zro5w2HDCnQ	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Out Of Town	Zero 7	Simple Things	LIKE	zro5w2HDCnQ	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Out Of Town	Zero 7	Simple Things	LIKE	zro5w2HDCnQ	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Out Of Town	Zero 7	Simple Things	LIKE	zro5w2HDCnQ	MPREb_JWsluFwhL5w	UCEIRECr4BQQ6blwSi9ogZvA	Discover Mix
Polka Dots And Moonbeams (feat. Tommy Flanagan, Percy Heath & Albert Heath)	Wes Montgomery	The Incredible Jazz Guitar (Keepnews Collection)	LIKE	ChX2XzYpSOU	MPREb_ExKlvjP0Cm7	UCYs8ep9Xe3RQc3Oy4BWKNAw	Discover Mix
Polka Dots And Moonbeams (feat. Tommy Flanagan, Percy Heath & Albert Heath)	Wes Montgomery	The Incredible Jazz Guitar (Keepnews Collection)	LIKE	ChX2XzYpSOU	MPREb_ExKlvjP0Cm7	UCYs8ep9Xe3RQc3Oy4BWKNAw	Discover Mix
