	title	artist	album	likeStatus	duration	videoId	albumId	artistId
16	Salt	sober rob	Salt	INDIFFERENT	3:20	Fo266LcgwME	MPREb_hOiPQwyJDLR	UCSnA5ize25ue0nVf0Xn_4RA
23	the lovely one	pluko	the lovely one	INDIFFERENT	3:17	WmZBkUfGaNg	MPREb_KqaTyolf0zn	UCe1o8WHNKPr7BUSUqUQXeEQ
30	4D	Zes	4D	INDIFFERENT	4:06	QWAzrTl6RL0	MPREb_r6YkGxe8jLn	UCexHUDTXo6vCrTJu05wAedQ
2	Frontiers	Stwo	92	INDIFFERENT	2:53	7OXtFXkxLp4	MPREb_GKZTRvlYFSy	UCpuFvCUIfPGGMfCjxataNVQ
10	Morphans	Stwo	92	INDIFFERENT	3:56	kQPX3gmYZoU	MPREb_GKZTRvlYFSy	UCpuFvCUIfPGGMfCjxataNVQ
19	With Me	Sober Rob	Enlighten	INDIFFERENT	4:00	NpIsDRvIGnM	MPREb_ZvPEsypvtvY	UCSnA5ize25ue0nVf0Xn_4RA
28	Realize	Sober Rob	Realize	INDIFFERENT	3:32	VzHNCcP8GaI	MPREb_eX4x4GBAK7M	UCSnA5ize25ue0nVf0Xn_4RA
0	Endless	Slow Hours	Endless	INDIFFERENT	3:54	3Eboof_pbtI	MPREb_8BVGPtcsMzt	UCQVPuQS3_6awUogtl_jbOFA
21	Forest of Wonder	Saturn	Forest of Wonder	INDIFFERENT	3:30	sJ7Q1J1LbmM	MPREb_L65R1xQVWBq	UCT1o4ZwrtOYgC6Ks2rMwdmg
27	Woke	Saturn	Woke	INDIFFERENT	4:34	r_Q2ZtrJmwM	MPREb_0oM8bJ1JjEf	UCT1o4ZwrtOYgC6Ks2rMwdmg
18	New Sky	San Holo	New Sky	INDIFFERENT	4:32	X5Tx-O8FnPU	MPREb_KA91KApJyqb	UCEFIhOEN2vXu2WzlBzrwEoA
32	b song	San Holo	The Trip EP	INDIFFERENT	3:26	tEBrnQWIOSo	MPREb_0LBVxRqqzM7	UCEFIhOEN2vXu2WzlBzrwEoA
11	Burying the Sun	Ryan Hemsworth	Burying the Sun	INDIFFERENT	3:45	Q0Z6FkAh9Bs	MPREb_oEOABEimOh8	UCHccqgrWMi_JxX6bizyE7lQ
44	Silk	Quiet Bison	Sequence	INDIFFERENT	4:08	DZsyZUY-5Nw	MPREb_hcQl5yk2z7L	UCrFI_nY097Wlm1BGko2cjRg
5	Lotus	Purporangejuice	Lotus	INDIFFERENT	2:44	ACoVVUoZ40k	MPREb_HcNQNdqCyE6	UCg2UktDrGVc2qiQOVCr_0lw
37	Rain	Papa Khan	Rain	INDIFFERENT	2:55	MGxQThQdOz8	MPREb_MA52c8MG7in	UCCaUTvskQd9D7Egcf0ZMvwg
3	Lonely	PYRMDPLAZA	PYRMDPLAZA Compilation	INDIFFERENT	2:45	GEOkRe3zJG8	MPREb_DgJJoRZDZUi	UCQNjs6zDrvqyl1wILoyEDZw
1	Frozen (feat. Baauer)	Oshi	Frozen	INDIFFERENT	4:20	vVvIFmItL_A	MPREb_QtVgxmGvjQE	UCjabBl78I7FDtKpwF-pU2Rg
7	FRZZN (Instrumental)	OZZIE	Colours	INDIFFERENT	4:00	YTvLH1OEpUw	MPREb_XaZL1lsm0SH	UCsHrJCbqp1FkXKTkVrxe2cg
38	Shades	Nuanda	Shades	INDIFFERENT	4:05	C65148J-eJw	MPREb_FunMk6rvrrj	
12	Home	Medasin	Irene	INDIFFERENT	3:15	55MCvtwvZn8	MPREb_CREs0BSkbu2	UCLFWRFzjIUfifA4VNsEvoOw
43	Realm	Masayoshi Iimori	Sable Valley Summer Vol. 1	INDIFFERENT	2:53	wbkJ1XCNliE	MPREb_hYjEOm3G0ZJ	UCduQaQbWJ_YDtxhQfPhf2hg
26	Shino & Kyoko	Les Gordon	Abyss	INDIFFERENT	2:59	SE3-m_r091o	MPREb_rhyv4SW0oKz	UCNhnIuFYhUujKdN069ndGBA
34	Canyon Walls	Koresma	Canyon Walls	INDIFFERENT	3:43	QN3O4EWU_Fw	MPREb_p1lET56mN5w	UCK8bQyGe9H_oNSmuReJbsWA
6	Float	Kill Paris	Foreplay	INDIFFERENT	2:48	JYe6NOw6sEE	MPREb_PSSZ5pPRjrV	UCRV_-5zO9sSmEGwVrUZqU9A
29	Christ Person, Woman God	Jackal	Christ Person, Woman God	INDIFFERENT	3:08	YeB-zIIA-2g	MPREb_qnuBF21n5T7	UC7Mx3xgIBby-tEO0umieGTw
25	Monte Fisto	Hudson Mohawke	B.B.H.E.	INDIFFERENT	3:52	pFtgtRILHnQ	MPREb_mF1RFQgxSRD	UCB9xU4WcqTheZX69u2sYWeA
24	Sure	Herzeloyde	Yep // Sure	INDIFFERENT	3:14	Gj__SQAVCrM	MPREb_adww1Fumczr	UCzCr2nhM6IdLstVh2GnDauA
41	The Schism	Haywyre	Monstercat 017 - Ascension	INDIFFERENT	5:20	EgKz8ra970w	MPREb_R2w2tFJHcTs	UC7Nq2bti8IlQ6jW5E81soGw
14	Stay A While	Getter	Inner Workings	INDIFFERENT	3:12	Pod0uDIHXq0	MPREb_FQ8LGL6wecE	UCbnxG73UYGdX5Lf1h_KV3gg
17	Cleopatra	GEOTHEORY	Interstellar Love	INDIFFERENT	3:41	8cK7Nys6HHk	MPREb_htuwSYURaCb	UCQ66TfOrmYX5E0fnJEIgwxw
13	Rushing Back (Instrumental) (feat. Vera Blue)	Flume	Rushing Back (Alternate Versions)	INDIFFERENT	2:22	gyc1efNY5K4	MPREb_F11amDseemF	UCEdhHl4ZB0JXIinqZ367F6w
33	Phosphene	Evil Needle	Phosphene	INDIFFERENT	4:07	7c6VW3fOmjc	MPREb_l7nWumo1Idu	UCg2TAN484obS3oqbATNdaEw
15	Flips and Flops, Drips and Drops	Electric Mantis	Flips and Flops, Drips and Drops	INDIFFERENT	3:35	DW-IMdHzFsc	MPREb_7M5vV26TtJu	UCcTNj19Kg2GIKx23FzZGZQA
35	Daybreak	Electric Mantis	Daybreak	INDIFFERENT	3:00	YMasLaYYzZ8	MPREb_6OOH51TEgXH	UCcTNj19Kg2GIKx23FzZGZQA
36	Renaissance	Eastern Odyssey	Crusade	INDIFFERENT	3:04	ZFpAmIYJvy0	MPREb_PPUZmZxMO1D	UCD-YNkPhcEpzD-Zy7ZdacNA
42	Kintsugi	Droeloe	Kintsugi	INDIFFERENT	3:29	o4jF8lf5N4A	MPREb_4ErNzmAUI05	UCXv6UMItAxIebYSLqsfcXnQ
9	Circles	Deon Custom	Bliss EP	INDIFFERENT	3:56	iVEpBzK3l3s	MPREb_vPjvQyMFuOM	UCAf_LwFA2YK8RbmaKaPa5yg
20	The Opposite	Dabow	The Opposite	INDIFFERENT	2:39	DkyaZH5Awt8	MPREb_X2JB3rCSZux	UCTLT4JxiP-p_vklUf_ygFfw
22	To Be Honest	Dabow	Rooftops Horizon Compilation, Vol. 2	INDIFFERENT	2:33	ROP2J9uISh8	MPREb_uA7K8PjKTZs	UC0xSbJSe6jM9hww5e8KEc9Q
8	Diving at Night	Coyote Kisses	Thundercolor - EP	INDIFFERENT	2:41	pTb0LEIwIFc	MPREb_PoUD8PZPjLM	UCxyQLOLRTZ6HXXtRoLaF2jw
31	Illusion	Coyote Kisses	Illusion	INDIFFERENT	3:37	AaMKA8J7Up8	MPREb_CRiw1ACuyL4	UCxyQLOLRTZ6HXXtRoLaF2jw
39	Kiss Kiss (Lidolido Remix)	Cashmere Cat	Mirror Maru	INDIFFERENT	4:09	dmohoUGCrqY	MPREb_mEEoao65Es5	UC8Bm47ZusvwBV-w_WyRyEjw
40	Heirloom	Basenji	Trax 9 Future beats	INDIFFERENT	3:28	ZSpowu-S5ig	MPREb_8OPM8ejtEeB	UC4E_vAD7CBK7_N4yN0-s6zQ
4	In Chains	Alizzz	Whoa!	INDIFFERENT	4:10	bBRjLsNAYIw	MPREb_g7vz0qXRClI	UCg-eGzFGXBogKodYLAgv97Q
