title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Os Tincoãs - Deixa A Gira Girar (j g b edit)	millemon - electronic / world music		LIKE	3xt8Mp8oWzc		UCOzLLM-wTfbnz9cJAXSB08g	Global Sunset Grooves
Strings of Light	Yussef Kamaal	Black Focus	LIKE	SDQkyXsNFhE	MPREb_M7QWEt3hckg	UCCNsAuss6vs3IdLChZ3Bo9g	Global Sunset Grooves
Rust (feat. Tom Misch)	Yussef Dayes	Rust	LIKE	SiD0Pzf15VM	MPREb_UWYemD0nWwS	UCYcspWd3pc4eBNmUosxRz3A	Global Sunset Grooves
Today Is the Day	Yo La Tengo	Summer Sun	LIKE	6KwKyOkvvUw	MPREb_kKFUqmWfuxE	UCz5bvM-t9ynI48T0u195y2A	Global Sunset Grooves
Lost My Mind	Will Van Horn	Pedal Steel Guitar	LIKE	zrLXBIc6F8E	MPREb_BA3zYDQ48np	UC6luo6X9j7QhQh2eoH9vHCA	Global Sunset Grooves
Impossible Germany	Wilco	Sky Blue Sky	LIKE	eY-7q42UZR0	MPREb_dcLLfawEzwl	UCb5aNlKdWOySR6Z-CnQieFQ	Global Sunset Grooves
Hate It Here	Wilco	Sky Blue Sky	LIKE	XgugX6NflbE	MPREb_dcLLfawEzwl	UCb5aNlKdWOySR6Z-CnQieFQ	Global Sunset Grooves
Either Way	Wilco	Sky Blue Sky	LIKE	Ox2g83kGE-U	MPREb_dcLLfawEzwl	UCb5aNlKdWOySR6Z-CnQieFQ	Global Sunset Grooves
Evicted	Wilco	Cousin	LIKE	x9zVWO5dstY	MPREb_X10jx7CZL0V	UCb5aNlKdWOySR6Z-CnQieFQ	Global Sunset Grooves
Far, Far Away	Wilco	Being There	LIKE	vtE8vEthw4k	MPREb_HrVaaOk6oc8	UCb5aNlKdWOySR6Z-CnQieFQ	Global Sunset Grooves
On Green Dolphin Street	Vince Guaraldi	In Person	LIKE	loXiFNnO5tQ	MPREb_g2QUCDhmjMk	UC_DRP-u7c3iOwytg4-ddifw	Global Sunset Grooves
Tongo Barra	Vieux Farka Touré	Ali	LIKE	S8Bo0jl8SCU	MPREb_kZxZtia47LW	UCZrKdZ2-mhDRf01r9gse4PA	Global Sunset Grooves
Lobbo	Vieux Farka Touré	Ali	LIKE	8FtYCEc6Xog	MPREb_kZxZtia47LW	UCZrKdZ2-mhDRf01r9gse4PA	Global Sunset Grooves
Alakarra	Vieux Farka Touré	Ali	LIKE	ruezN4AaWxg	MPREb_kZxZtia47LW	UCZrKdZ2-mhDRf01r9gse4PA	Global Sunset Grooves
Sicily' Box (feat. Rocco Palladino)	Venna, Yussef Dayes, & Marco Bernardis	Sicily' Box	LIKE	w_a5mRbwr-o	MPREb_MWSSRy23dmE		Global Sunset Grooves
Moondance	Van Morrison	Moondance	LIKE	7kfYOGndVfU	MPREb_bbfrRCKmRfQ	UCCiTDgyKWFNs6GXxMVR2ZbQ	Global Sunset Grooves
Nadja	Unknown Mortal Orchestra	V	LIKE	ASr_r6iqqf4	MPREb_tlev4kiSiVm	UCXMAKzy9duqBltrR8TrHmpQ	Global Sunset Grooves
Hunnybee	Unknown Mortal Orchestra	Sex & Food	LIKE	KT06acweumY	MPREb_YQbpvbqFahL	UCXMAKzy9duqBltrR8TrHmpQ	Global Sunset Grooves
Thin Brown Layer	Tommy Guerrero	Soul Food Taqueria	LIKE	2xOPkdtFeHM	MPREb_jn2cTe2Zfjr	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
The Color of Life	Tommy Guerrero	Soul Food Taqueria	LIKE	ZY9FI9EI82w	MPREb_jn2cTe2Zfjr	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Terra Unfirma	Tommy Guerrero	Soul Food Taqueria	LIKE	sr7i-Vw3g7M	MPREb_jn2cTe2Zfjr	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
White Sands	Tommy Guerrero	Road to Knowhere	LIKE	AAHjDgtYTiI	MPREb_YiGAksT8rwH	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Slow Roll	Tommy Guerrero	Road to Knowhere	LIKE	Sdh6U945PI0	MPREb_YiGAksT8rwH	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Postcard Home	Tommy Guerrero	Road to Knowhere	LIKE	e-TRJr5tt48	MPREb_YiGAksT8rwH	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Heat in the Streets	Tommy Guerrero	Road to Knowhere	LIKE	JhZDP8hkJnU	MPREb_YiGAksT8rwH	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Sun Rays Like Stilts	Tommy Guerrero	Perpetual	LIKE	vmF2TABkgsQ	MPREb_2XJLkrg1MFu	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
The Lone Pistolero	Tommy Guerrero	No Mans Land	LIKE	bINJy0n0rx8	MPREb_lwRMNxxPRO2	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Through the Mosaic	Tommy Guerrero	Amber of Memory	LIKE	QPJ9D0pc9ok	MPREb_gbIOYiyC7BO	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Reflections of Now	Tommy Guerrero	Amber of Memory	LIKE	AunFgn7qbZU	MPREb_gbIOYiyC7BO	UCsZx_92ubPsc-kgCWxkQ0xw	Global Sunset Grooves
Semi Suite	Tom Waits	The Heart Of Saturday Night	LIKE	Z4h7wwyn75U	MPREb_DBhApQtkwOR	UC39N3pyt2Z15oOMjouokl8A	Global Sunset Grooves
Tidal Wave	Tom Misch	What Kinda Music	LIKE	Wb6VsjwjinA	MPREb_kNg5Xp4BMf0	UCCCWJwLEvpPAs4r_nJiKe2Q	Global Sunset Grooves
Fire	Thomas Naïm	Sounds of Jimi	LIKE	e-qMhYPPDSw	MPREb_Ks2BFwHtVyB	UCjqiB_U0Hx7zCl-UbE5xutw	Global Sunset Grooves
Will I See You Again?	Thee Sacred Souls	Will I See You Again?	LIKE	63MO1jPE8BE	MPREb_oy99db1yft4	UCgGIZ3hJxYNdHR7JspoxWFQ	Global Sunset Grooves
Messages from the Stars	The Rah Band	Past, Present & Future	LIKE	LfX6JxfND44	MPREb_nij6Y71IwOh	UC5XKHzJsdnrTo5sR6jhH-ew	Global Sunset Grooves
Messages from the Stars	The Rah Band	Past, Present & Future	LIKE	LfX6JxfND44	MPREb_nij6Y71IwOh	UC5XKHzJsdnrTo5sR6jhH-ew	Global Sunset Grooves
