	title	artist	album	likeStatus	videoId	albumId	artistId
244	It's Bigger Than Hip-Hop (feat. Tahir And Peoples Army)	dead prez	Let's Get Free	LIKE	VfMy_p0HZWI	MPREb_iKUhvOJbuUA	UCtTL8izoraajUAufCZQJrAQ
199	Damn! (Club Mix) (feat. Lil' Jon)	YoungBloodZ	Drankin' Patnaz	LIKE	6f5rS4zMkfU	MPREb_Qg479bdVlXe	UCOSzRcjCxJAotFoqhjqr3vQ
19	BedRock (feat. Lloyd)	Young Money	BedRock	LIKE	VjuhCPhtoIo	MPREb_ada7cX1GLu0	UC0FFfZn51PJ4Cvzhtcetu2A
223	Soul Survivor (feat. Akon)	Young Jeezy	Let’s Get It: Thug Motivation 101 (Deluxe Edition)	LIKE	DtC3Vtq-1ns	MPREb_RFYtDNs8VCd	UCpo3AnV4YNbdNhbbscuB46w
96	Wait (The Whisper Song)	Ying Yang Twins	U.S.A. (United State of Atlanta)	LIKE	yT7rPjFva0c	MPREb_7I814oYQquA	UCCp8EyM33-__F6a3cTUZgag
162	FDT (feat. Nipsey Hussle)	YG	Still Brazy (Deluxe)	LIKE	UvmwnGr2Vu8	MPREb_W7oy4hKigpT	UCfmbK1auGXazD_UOiU2y1dg
74	C.R.E.A.M. (Cash Rules Everything Around Me)	Wu-Tang Clan	Enter The Wu-Tang (36 Chambers) [Expanded Edition]	LIKE	or5C2jV1qRc	MPREb_eRevYdOLt8G	UCdQKMtGgbbahJWE3rkPaGoA
38	Black and Yellow	Wiz Khalifa	Rolling Papers	LIKE	O7_hvm34Obo	MPREb_uzP9yiszLIO	UC3QmG1Jn9cE5fTMt14DLuZw
62	Gettin' Jiggy Wit It	Will Smith	Big Willie Style	LIKE	5VPm2yckO3k	MPREb_ZoEsu93vJDr	UCdHscQsCBWSfcW50NjdJWkA
221	Friends	Whodini	Escape (Expanded Edition)	LIKE	19HZrAngClg	MPREb_yLuTh1cRpMH	UCxv5p3OwsFof6_A4w80gY_g
154	Gangsta Nation	Westside Connection	Terrorist Threats	LIKE	cfHtgIdwk38	MPREb_P364SIOsqGl	UCKufI_BH1qyYJiUwnEw5qMg
7	Regulate (feat. Nate Dogg)	Warren G	Regulate… G Funk Era	LIKE	a02YJhCeTQk	MPREb_oVGsyTdbo50	UCdVRxxZs3-ZP7lNso5lO2RQ
204	Bad (feat. Tiara Thomas)	Wale	The Gifted	LIKE	ucbBDcpi-g4	MPREb_5xomYB7uK7C	UC-ZdvsS3ZOVkyKpDXUavCcg
201	Yeah! (feat. Lil Jon & Ludacris)	Usher	Confessions (Expanded Edition)	LIKE	XGXZOQ8yTU4	MPREb_SWsgZy2lpfg	UCILuIcqzJMtkxCmftNVjNBQ
58	Overnight Celebrity (feat. Miri Ben-Ari)	Twista	Kamikaze	LIKE	z3JmMF6dGGk	MPREb_OL7xg6BHTL6	UC1GtH-7UdrHhYqU2bjIPovQ
236	All Gold Everything	Trinidad James	Don't Be S.A.F.E.	LIKE	aIiWHtvdGTA	MPREb_5pjOwEVNDMn	UCSRxAXTP3OrfoOrb8nxXMZQ
