	title	artist	album	likeStatus	videoId	albumId	artistId
23	Chained	The xx	Coexist	LIKE	ukiXCK10zfU	MPREb_WrbwUL6Qk5p	UCQ1Xqlk89CLZ9aAFyo-1THg
231	Money	The Drums	Portamento	LIKE	u6DxHN-rwKE	MPREb_tKsHEAfyqDo	UCHiYJh90qceWigS2h6p01hA
157	Staring at the Sun	TV on the Radio	Young Liars	LIKE	qHX-FKTV8Rk	MPREb_eUmj8S9yQZ4	UCyRprZQCBFlc-lMRR2uQq-Q
189	Strange Mercy	St. Vincent	Strange Mercy	LIKE	vDGmAJ4-J_I	MPREb_mOk9xrbPrQB	UCGjbexoF9La7TxGeFP64m8A
41	Balance	Future Islands	On the Water	LIKE	vSMWVKVfhME	MPREb_Kux6EDt3PNN	UCdNPLyZ46MPYkRy2yOYsYfQ
193	Out of My League	Fitz and The Tantrums	More Than Just a Dream	LIKE	qyI4-LPFC5s	MPREb_xkyiTys4uQQ	UCYDHG41CGrBZhbFw7lZMI9w
12	Fragile Bird	City And Colour	Little Hell	LIKE	RX2Ai2qNKhk	MPREb_wIVpax394sW	UC9rTPiSAfswoLoqCJThN1Zg
16	Ominous Cloud	Broadcast	Haha Sound	LIKE	ukISu5PmloI	MPREb_ZIT3iGJCDr5	UCDggJrcSehoG8n7qepc9LCA
6	Chariot	Beach House	B-Sides and Rarities	LIKE	RjHUgsrHFhU	MPREb_AH0jcFDlquB	UC785fnTclD2P2WQXRAt2BVg
19	Tenuousness	Andrew Bird	Noble Beast	LIKE	-S3JHjCBS2E	MPREb_j4ePTRF5IDC	UCWWyLppgObl9xS8wdSpiv8Q
153	Poison Arrow	yeule	Poison Arrow	INDIFFERENT	l1X_NeIV96g	MPREb_UsTMPev0yfm	UCINnTJcNT6MQaU-jYNoXhbA
81	king	slenderbodies	soraya	INDIFFERENT	8EVE3eWyVHA	MPREb_5k8OncDDBLD	UC4CG_fvRrMeB3T79fIVjL1g
135	mirror	slenderbodies	are we?	INDIFFERENT	IVL75w2GKcc	MPREb_6XcHCVlmONW	UC4CG_fvRrMeB3T79fIVjL1g
244	If You Want To	beabadoobee	Patched Up	INDIFFERENT	17tOKiX4BcU	MPREb_anKUtLQSBRl	UCcGMuu89vageEKV8zUKhwdA
137	Something to Believe In (Live Acoustic)	Young the Giant	Something to Believe In (Live Acoustic)	INDIFFERENT	tnP0nsE80HM	MPREb_UhUNnMd8yLf	UC7xy1_cEwDPN2Ffk1fyFbIQ
167	Mind Over Matter	Young the Giant	Mind Over Matter	INDIFFERENT	PqdISWdk2eg	MPREb_tPfEmX8XZ69	UC7xy1_cEwDPN2Ffk1fyFbIQ
36	Shame	Young Fathers	White Men Are Black Men Too	INDIFFERENT	-a3thRmI1VI	MPREb_h7V4O2gI6L2	UCsw1eYgQHQnndIoGX7RbYWg
174	Hysteric	Yeah Yeah Yeahs	It's Blitz!	INDIFFERENT	KfQW8zLaqBg	MPREb_vm5ZvJ1mjhE	UCK49WVAaBRnVci8fmM4NiLQ
22	Grounds For Divorce	Wolf Parade	Apologies To The Queen Mary	INDIFFERENT	EP3x9Hvu7r0	MPREb_wgqd7Q0mKXX	UCcSBYlEz6WW8M9b2WhmtveA
229	Weighty Ghost	Wintersleep	Welcome to the Night Sky	INDIFFERENT	E0kZiJ6ivkA	MPREb_j0knoUH9aS6	UCziWj6Ek8fTYMMYPy6mNHvw
136	Anna	Will Butler	Friday Night	INDIFFERENT	coIk9sqcde4	MPREb_nOog0aCQJyZ	UCEd75a0YY8haGuA84dAne4A
192	Mr. Quiche	Wildcat! Wildcat!	Wildcat! Wildcat!	INDIFFERENT	fo9S-ZaS3ek	MPREb_PobuzYUVJxq	UCgUT3IoOlBRNdZW8Ech2T2w
91	FTA	Whitney	FTA b/w Far, Far Away	INDIFFERENT	jj8E8ItK8z0	MPREb_EWyr4OhmSd5	UCCt7QN57gBlfnLVZicNGwQQ
168	Everyday	Weyes Blood	Titanic Rising	INDIFFERENT	Ay6_iBJV9cc	MPREb_TN1ByWUr0Xt	UChpnWWkg9ZAgAZ5KwkeQkFg
194	Royals	Walk Off The Earth	Royals	INDIFFERENT	HxZIgw9sTmM	MPREb_oML0vn8UvM3	UCr_NjdI2AnxtefeOBC2RAqg
274	The Vowels, Pt. 2	WHY?	Alopecia	INDIFFERENT	pg6jmFXqLHY	MPREb_2raQacLM6bM	UCaJ2OTu3u7XHI_j6CyhjV6w
141	Got to My Head	WATERS	What's Real	INDIFFERENT	BRFR7OGQasY	MPREb_3EXNKI7zGOQ	UC5kNab24JDU-XVsgWzc4y-w
106	The Start Of Something	Voxtrot	Raised By Wolves	INDIFFERENT	P9gVuloGJNE	MPREb_hUFr4Q0QBZo	UCrgF99VJrHmMO_qVBV4pX-g
25	Byegone	Volcano Choir	Repave	INDIFFERENT	a0WsIwNAQsQ	MPREb_qj8JmDpnkeW	UCvLyakgN-ZcYKbgJQ1mzyjg
104	Riptide	Vance Joy	Dream Your Life Away (Deluxe Edition)	INDIFFERENT	En_6WWOWh8E	MPREb_umGTIcPNlIt	UCwNoBkSn4w8l4olCKDCTplQ
223	So Sad, So Sad	VARSITY	Cult of Personality - So Sad, So Sad	INDIFFERENT	2C9Z5zO4g6c	MPREb_qbJm1wBpKtP	UC2Lh1d71B_hNrOxf1pSgfMw
264	Water Fountain	Tune-Yards	Nikki Nack	INDIFFERENT	legh82Ga-4U	MPREb_dQcVDTR4rnb	UCtPTLKDh21P9EHTU6oRae0g
245	Tell Me How You Really Feel	Trapt	Shadow Work (Deluxe)	INDIFFERENT	fjppbFwVY4w	MPREb_vtIGCoCZ3Ib	UCVuiAIW8LBJrJVFlSm3TVAA
199	Mangrove	Toukan Toukän	Kitsuné Parisien (The Antique Olive Issue)	INDIFFERENT	rSRYVRe4Iqo	MPREb_b6d0NAZFSw4	UC63B6g9PWkKWWciCQLrZyZw
126	You and I	Toro y Moi	Boo Boo	INDIFFERENT	FYhELqqcwMQ	MPREb_iskeONxPDbY	UCJikOjbf3VffCdLXTsbxfxg
32	Greek Tragedy	The Wombats	Greek Tragedy	INDIFFERENT	y0j-7ntpjZ8	MPREb_gCaSU1ETNUd	UCOnpj5LAFlRDLcvzrodnpOQ
108	1517	The Whitest Boy Alive	1517	INDIFFERENT	C6CIFEHXYnI	MPREb_NhNkhZIHAxi	UCDoG-cyeL-Q2ISEjfnH5Y1g
282	Buttons	The Weeks	Comeback Cadillac (Expanded Edition)	INDIFFERENT	IHbdFfs12zU	MPREb_BSfOSYhd82W	UCQnNg4l5dyjcgaEs1LmGPew
66	Family Friend	The Vaccines	What Did You Expect from The Vaccines?	INDIFFERENT	XfGvPAAxr7E	MPREb_nYKxQXIzowe	UCgkRceouNXGqiX0QHQNUr_Q
73	King of Spain	The Tallest Man On Earth	King of Spain	INDIFFERENT	cKt_bPNKs_A	MPREb_QSQ8BwytHBi	UCL2-Z80Bwi8W73F7ijvxHzg
149	1904	The Tallest Man On Earth	There's No Leaving Now	INDIFFERENT	lhV7ZCmVf9U	MPREb_mlm835q2QzF	UCL2-Z80Bwi8W73F7ijvxHzg
184	The Dreamer	The Tallest Man On Earth	Sometimes The Blues Is Just A Passing Bird	INDIFFERENT	k7rzbFbPL1M	MPREb_Fh9ImkKyb4t	UCL2-Z80Bwi8W73F7ijvxHzg
8	The Ballad Of The RAA	The Rural Alberta Advantage	Hometowns	INDIFFERENT	yBpRbIS3yJ0	MPREb_0ipeW4RB0p2	UCp9rhTIZqyR1QBVAPCZwgOw
57	D-D-Dance	The Royal Concept	D-D-Dance	INDIFFERENT	LLs1HKkI1Fk	MPREb_vkhbpU8Ka6K	UCbGKE75OM8-eyuNmN-Imyuw
30	Heaven's on Fire	The Radio Dept.	Heaven's on Fire	INDIFFERENT	jD2vVQMFFWI	MPREb_aZO9YUGiCN5	UClO2BunQnwWLpfovalbf5MA
183	We Will Become Silhouettes	The Postal Service	We Will Become Silhouettes	INDIFFERENT	pp2N2u4uAg4	MPREb_93eIQxinZGj	UCdL-sNJMw2GOLWb_rBRCwew
60	Light Years	The National	I Am Easy to Find	INDIFFERENT	jGUDBy8bUjM	MPREb_UAbWTz2sWcy	UC1bWXfKY5YoBduVCcSP8SGQ
89	I Need My Girl	The National	Trouble Will Find Me	INDIFFERENT	8fzwUtna4eg	MPREb_0jhJQp1jos6	UC1bWXfKY5YoBduVCcSP8SGQ
165	Day I Die	The National	Sleep Well Beast	INDIFFERENT	sAntw9879k0	MPREb_k8DO709PjGE	UC1bWXfKY5YoBduVCcSP8SGQ
267	Come As You Are	The Naked and Famous	Come As You Are	INDIFFERENT	DBY79ONiBn4	MPREb_lpIkLErBodP	UCx1134TOoCCPpzjJSv1OxtQ
277	Blinding Lights	The Naked and Famous	Blinding Lights	INDIFFERENT	n38RL-1eUUw	MPREb_40i4vrvkRoV	UCx1134TOoCCPpzjJSv1OxtQ
85	Hearts Like Ours	The Naked And Famous	In Rolling Waves	INDIFFERENT	Za6jjX0xCvQ	MPREb_z3iZZmsPugD	UCx1134TOoCCPpzjJSv1OxtQ
154	No Children	The Mountain Goats	Tallahassee	INDIFFERENT	fqGKZ3fzN1M	MPREb_y34rpsJKBij	UCZxwihQYwXEogN-DGfngwcw
158	Neon Medusa (Edit)	The Midnight	Neon Medusa	INDIFFERENT	3PajUEJKy3M	MPREb_7WBTeGmFZ4w	UCkhnqwH8DtT0Ap3A-mi_GJQ
172	Blood	The Middle East	The Recordings of the Middle East	INDIFFERENT	9FxfjJa_24g	MPREb_tOa9kGfx1MQ	UCnL4ix-j0t9RMidhmUPifPw
21	Hold It Together	The Marías	Hold It Together	INDIFFERENT	UgctoczKTeM	MPREb_oJH6qAHlpJe	UCVV5M4OEFsKnB9HBhwOhHbA
51	Hush	The Marías	Hush	INDIFFERENT	UQsA-YvjaJw	MPREb_K4PVaLUuZWb	UCVV5M4OEFsKnB9HBhwOhHbA
88	Un Millón	The Marías	Un Millón	INDIFFERENT	KiLyOOKItL8	MPREb_trumWgrxKZu	UCVV5M4OEFsKnB9HBhwOhHbA
2	Gunga Din	The Libertines	Anthems For Doomed Youth	INDIFFERENT	pucfwyC_kk0	MPREb_xvZkAnL3QV8	UCogNpfX1l0OtcXb8Khc_Gjw
117	Mr Polite	The Jungle Giants	The Jungle Giants	INDIFFERENT	uu_VGD0E7Is	MPREb_O9DafPUCTHH	UCl87EAIqTXCeyFoBqXjyJ3Q
148	She's A Riot	The Jungle Giants	She's A Riot	INDIFFERENT	ClJM959KErM	MPREb_V7MFuHIesSL	UCl87EAIqTXCeyFoBqXjyJ3Q
143	Dionne (feat. Justin Vernon)	The Japanese House	Chewing Cotton Wool	INDIFFERENT	qzxObzCLb6k	MPREb_n5Kp88kaHm2	UCh8JCRvBOr6ndmhzcKdFC6Q
253	Cats and Dogs	The Head And The Heart	The Head And The Heart	INDIFFERENT	DoS6pZbX1S0	MPREb_eLA8yv5N3pf	UCfgmSmdaYvNi2g7-VyGlEcg
87	Cough It Out	The Front Bottoms	Back on Top	INDIFFERENT	tsgUC84sbyE	MPREb_Dmn7skiTLUz	UC5BNXI3BnCAB2XQJC-6jY_A
221	Flashlight	The Front Bottoms	The Front Bottoms	INDIFFERENT	0r21Kbhvqqo	MPREb_jKpyvUNhIJb	UC5BNXI3BnCAB2XQJC-6jY_A
240	4th and Roebling	The Districts	A Flourish and a Spoil	INDIFFERENT	PmvAhTTPot0	MPREb_IkUyDT7fpxw	UCPhn693FNWIU12CipGTqP4w
