	title	artist	album	likeStatus	duration	videoId	albumId	artistId
14	A Little While	Yellow Days	Harmless Melodies	LIKE	5:18	7OopD1mdbL8	MPREb_BNS7r0aPEWY	UCuo2J6HEzc4xiaOMu9dRXNg
55	Gimme Some	Weval	Easier	LIKE	5:08	r4tJdmves4Q	MPREb_PPXJXBboxpg	UCJscGoudXZmNmADZX2Uk0hw
0	Dear Mr. Fantasy	Traffic	Mr. Fantasy	LIKE	5:34	sS_eHdqcrM8	MPREb_pEzFtyHuF1q	UCFh-Yyaep1Gl5c0O1JTvEBQ
12	Rock And Roll (Full Length Version) [2015 Remastered]	The Velvet Underground	Loaded	LIKE	4:42	J_bQMsqUoD4	MPREb_Xi6tzkPzoO5	UCXNWrugB_J3sRBYR9idQWzg
37	Oh! Sweet Nuthin' (2015 Remastered)	The Velvet Underground	Loaded	LIKE	7:25	YjYrfV2xIwI	MPREb_Xi6tzkPzoO5	UCXNWrugB_J3sRBYR9idQWzg
57	Pale Blue Eyes	The Velvet Underground	The Velvet Underground (45th Anniversary / Deluxe Edition)	LIKE	5:40	MA3aKUwu-Dk	MPREb_xT5IebzU8rB	UCXNWrugB_J3sRBYR9idQWzg
77	New Age (Full Length Version) [2015 Remastered]	The Velvet Underground	Loaded	LIKE	5:10	gRpNHKbohKg	MPREb_Xi6tzkPzoO5	UCXNWrugB_J3sRBYR9idQWzg
97	Cool It Down (2015 Remastered)	The Velvet Underground	Loaded	LIKE	3:05	pccl1bnvlwo	MPREb_Xi6tzkPzoO5	UCXNWrugB_J3sRBYR9idQWzg
19	New Slang	The Shins	Oh, Inverted World	LIKE	3:51	1veF_lrvij8	MPREb_rypGRr8hnNo	UCp8bBB0AoKgBaNlUiKn8SHg
58	Caring Is Creepy	The Shins	Oh, Inverted World	LIKE	3:20	UqMbZY_iv6E	MPREb_rypGRr8hnNo	UCp8bBB0AoKgBaNlUiKn8SHg
30	Can't You Hear Me Knocking (2009 Mix)	The Rolling Stones	Sticky Fingers (Deluxe)	LIKE	7:15	Gz5mI6tqm_Q	MPREb_LNV4afvPPtZ	UCNYhhkQqeFLUc-YEDcLpSYQ
50	You Can't Always Get What You Want	The Rolling Stones	Let It Bleed	LIKE	7:28	jv9sDn_2XkI	MPREb_kha2P1MrZxA	UCNYhhkQqeFLUc-YEDcLpSYQ
78	Gimme Shelter	The Rolling Stones	Let It Bleed	LIKE	4:30	EJRdDhnTRoo	MPREb_kha2P1MrZxA	UCNYhhkQqeFLUc-YEDcLpSYQ
62	Green Grass & High Tides	The Outlaws	The Outlaws	LIKE	9:51	cz2CAtExXgQ	MPREb_qoY2UsU2xSG	UC7-uHQ3DoO1ee7IwMmNJIiw
15	Can't You See	The Marshall Tucker Band	Love Songs	LIKE	3:20	kiLX2WYjws4	MPREb_UugcoWDhizS	UCtkFGqxsQ1ykX0Sw-wtBEeQ
88	Like a Rolling Stone	The Jimi Hendrix Experience	Iconic Performances from the Monterey International Pop Festival	LIKE	6:48	RBVGa5D6GDY	MPREb_PZ8BJdutphk	UC5NwXf8hOgZgInaYiOCZmUg
53	Listen to the Music	The Doobie Brothers	Toulouse Street	LIKE	3:47	S3ta4T9tIUM	MPREb_yu0UbPpPhcH	UCu_glVzsM9pvbSyXi2zzuVA
39	Little Black Submarines	The Black Keys	El Camino	LIKE	4:11	DhKAh4RJM0Q	MPREb_UsiBrDeAuea	UCchwuI134MUX4GSZqYLpYGA
2	Let It Happen	Tame Impala	Currents	LIKE	7:47	NMRhx71bGo4	MPREb_AjwAqo5hI0U	UCGz-eguN8tcic5kUG4s1ZgA
22	New Person, Same Old Mistakes	Tame Impala	Currents	LIKE	6:03	tEXYfT_G0W0	MPREb_AjwAqo5hI0U	UCGz-eguN8tcic5kUG4s1ZgA
42	Sundown Syndrome	Tame Impala	Sundown Syndrome / Remember Me	LIKE	5:49	pWqueQ8JO9E	MPREb_GaKTgLrG7Sd	UCGz-eguN8tcic5kUG4s1ZgA
65	Sure Thing	St Germain	Tourist	LIKE	6:21	NnzSkIjrtQ0	MPREb_OhETbLW0vTo	UCt6hEfb0FYRuDMJnMff2_-g
1	Dear Stranger	STRFKR	Future Past Life	LIKE	4:32	2P_qgHYu7NU	MPREb_0ARDWGvJJmF	UCL6qpCZZBTfp1MtI3bmL7jw
17	Afro Blue (feat. Erykah Badu)	Robert Glasper	Black Radio	LIKE	5:08	H_hT61-E5kg	MPREb_5vdrZmHfN3d	UCLFHVgbSwvTgM1PcsOCvHjw
25	Where Is My Mind?	Pixies	Death To The Pixies	LIKE	3:52	49FB9hhoO6c	MPREb_FphDKHWtHqG	UCRt5ckI8kNVMFr-jyj1IIVg
45	Hey	Pixies	Doolittle	LIKE	3:32	tVCUAXOBF7w	MPREb_chb7xdBVmOZ	UCRt5ckI8kNVMFr-jyj1IIVg
84	Wish You Were Here	Pink Floyd	Wish You Were Here	LIKE	5:34	hjpF8ukSrvk	MPREb_pYj3YFxjhPp	UCO6LS_5W7vqG9mALDNzSFug
59	The Whether Channel	Oneohtrix Point Never	Magic Oneohtrix Point Never	LIKE	6:09	siTHqctz41A	MPREb_jbniupSIn2b	UCnj8OjhJVGOgCq8zEN1tGNg
56	Down by the River (2009 Remaster)	Neil Young with Crazy Horse	Everybody Knows This Is Nowhere	LIKE	9:18	KflCXmEX6BY	MPREb_87Zm1C9KpdG	UC6JhadLTf6g6f-ZdeEaAqBQ
36	Cortez the Killer	Neil Young	Zuma	LIKE	7:29	uX9k9aoX6gk	MPREb_qTIpTrnwZO7	UC6JhadLTf6g6f-ZdeEaAqBQ
76	Old Man (2009 Remaster)	Neil Young	Harvest (Remastered Version)	LIKE	3:22	rAtDrFdomN4	MPREb_KmYrZvSr21k	UC6JhadLTf6g6f-ZdeEaAqBQ
72	Blue Light	Mazzy Star	So Tonight That I Might See	LIKE	5:11	H7VUO-WxppY	MPREb_IIz0ShywXW2	UCi8cblgb3PyU8HzGvXWhuEg
18	Moonlight on the River	Mac DeMarco	This Old Dog	LIKE	7:03	1VYbKamjB-4	MPREb_yqW8Fq7FHrp	UCs95LJSHhdVhYQLvqsZqp_A
46	One More Love Song	Mac DeMarco	This Old Dog	LIKE	4:02	eMztEjtPm4o	MPREb_yqW8Fq7FHrp	UCs95LJSHhdVhYQLvqsZqp_A
34	Simple Man	Lynyrd Skynyrd	Pronounced' Leh-'Nerd 'Skin-'Nerd	LIKE	5:56	l-5aPNxv-pU	MPREb_WEpbzETNFBg	UCk-bnZ8hrdOrKYGJ4JGcVzQ
9	You Shook Me (Remaster)	Led Zeppelin	Led Zeppelin	LIKE	6:29	aywXuljytH0	MPREb_NtigsSPkRuU	UCYtap7ujIPaxTS2iCDoMi3g
49	No Quarter (Remaster)	Led Zeppelin	Houses of the Holy (Deluxe Edition)	LIKE	7:03	wdqDmJbm2eY	MPREb_DY6DlruwzRd	UCYtap7ujIPaxTS2iCDoMi3g
69	Dazed and Confused (Remaster)	Led Zeppelin	Led Zeppelin	LIKE	6:29	yO2n7QoyieM	MPREb_NtigsSPkRuU	UCYtap7ujIPaxTS2iCDoMi3g
89	Babe I'm Gonna Leave You (Remaster)	Led Zeppelin	Led Zeppelin	LIKE	6:43	UyOg0mt2R2k	MPREb_NtigsSPkRuU	UCYtap7ujIPaxTS2iCDoMi3g
70	Someone Great	LCD Soundsystem	Sound of Silver	LIKE	6:31	eISo-iFGGDg	MPREb_cuPW1vT6K8X	UCdsmJG8eFcr6Lxgau8E7afg
8	Machine Gun (Live At Filmore East, 1970 / 50th Anniversary)	Jimi Hendrix	Band Of Gypsys (50th Anniversary / Live)	LIKE	12:41	Lw2L_vGUMtE	MPREb_QaTjtwflNc4	UC5NwXf8hOgZgInaYiOCZmUg
75	Could Heaven Ever Be Like This	Idris Muhammad	Turn This Mutha Out	LIKE	8:36	0skigTyA4NE	MPREb_MNx5oUyThmu	UCRwpLHeyBtqeFRV44VlsD1Q
90	Oblivion	Grimes	Visions	LIKE	4:12	JQOZjFz00-A	MPREb_yC4awaI50HN	UCzVh-F-RZdTHGV3S1o4KBWQ
6	Idle Moments	Grant Green	The Best Of Grant Green	LIKE	14:58	vRgvGOmEDSU	MPREb_gf2hGLcQSq1	UC0bbAAPQu2YK6Sw-FrKAKQw
40	Love Cry	Four Tet	There Is Love In You	LIKE	9:13	PEomRXY45xM	MPREb_JYAqc6f22rK	UCd6q-S_HAePombe72bczCkA
38	Heart It Races (Cover Version)	Dr Dog	Heart It Races	LIKE	3:53	NHPXXphhiBc	MPREb_oMxIA2f7KAG	UC-JBTXpS5x83eafG3HQMClA
95	I Can't Think About It Now	Dawes	All Your Favorite Bands	LIKE	6:15	FVqIJjkMEwY	MPREb_cH0Lc6BMvaY	UCMClLcNNAstOzMpNIbNvUUg
79	Dove	Cymande	Cymande	LIKE	4:40	7U84ems_Ock	MPREb_1IlhmESR3ig	UCIWFx0nG2yp5URl3z0IofXQ
7	Locket	Crumb	Locket	LIKE	5:18	xKmqwrQFlpA	MPREb_f7LfMCd8ODr	UCpGhvsN-Gw-q5yaQ4e3w2Vg
35	Suzie Q	Creedence Clearwater Revival	Creedence Clearwater Revival	LIKE	8:37	7x60p7UNLnQ	MPREb_D3f320YzQSn	UCRbMcMQeSFVvsyEuOn7uAKQ
81	Born On The Bayou	Creedence Clearwater Revival	Bayou Country	LIKE	5:15	Exu8w2sp2Gg	MPREb_by3zlCBXWyZ	UCRbMcMQeSFVvsyEuOn7uAKQ
5	Neighborhood #1 (Tunnels)	Arcade Fire	Funeral	LIKE	4:48	qg7XMMAuCJo	MPREb_X7jiu0wnwSt	UCXvAK640Ko85SLbI-zA0ZCg
73	Reflektor	Arcade Fire	Reflektor (Deluxe)	LIKE	7:33	4G7B8wAzqCk	MPREb_oLPfnp1iv4Q	UCXvAK640Ko85SLbI-zA0ZCg
32	La femme d'argent	Air	Moon Safari	LIKE	7:07	wLmfNFVDa_U	MPREb_n2c7cMLeLVP	UCH_Q3OLUXLZNF0qmnY3bCXg
26	Winter Rose (The Bees Remix)	A Band Of Bees	Every Step's A Yes	LIKE	4:56	QqVKvXF1QDs	MPREb_DVtlpVeUthH	UCRSD0CIUo2M16GXNSdN2Rig
96	Be Thankful for What You Got	William DeVaughn	70's Pop Gems	INDIFFERENT	3:26	RXQxdj0N-es	MPREb_PVQOcprUzOk	UCQlxYjYDdXO0kzfWSblVmIQ
80	My My My! (Hot Chip Remix)	Troye Sivan	My My My! (Remixes)	INDIFFERENT	6:19	SGKr5g_mxuY	MPREb_fFH9KzwPcyr	UC11RplprGRVVtT2tgtcYzWg
87	Seven Nation Army	The White Stripes	Elephant	INDIFFERENT	3:51	D_QLxj8jCF0	MPREb_sn5Vym75jtL	UCD0Wge1UpszMtqK3P9x50vA
16	Under The Pressure	The War on Drugs	Lost In The Dream	INDIFFERENT	8:52	3n07aGITsz8	MPREb_866cCKMqeRe	UCnAZ69DaeHv6RR63qdp1U8g
10	Sympathy For The Devil (50th Anniversary Edition)	The Rolling Stones	Beggars Banquet (50th Anniversary Edition)	INDIFFERENT	6:19	uWepTCBBnLo	MPREb_Ir7Xm3VAPcS	UCNYhhkQqeFLUc-YEDcLpSYQ
41	Everybody Loves The Sunshine (feat. José James)	Takuya Kuroda	Rising Son	INDIFFERENT	9:25	lZ8zu1aRYA8	MPREb_285ghILmnxz	UCB6bsre7LNzxJo7yk1iEcOg
