	title	artist	album	likeStatus	duration	videoId	albumId	artistId
168	Viscount Rock	The Viscounts	Harlem Nocturne	LIKE	2:30	avZOnJu-L28	MPREb_3lK1UVVX2GI	UCqH9KbZvBW5Q3555lzRkr7Q
453	Chug a Lug	The Viscounts	Harlem Nocturne	LIKE	2:27	qDL75PIUQag	MPREb_3lK1UVVX2GI	UCqH9KbZvBW5Q3555lzRkr7Q
189	Guitar On Fire	The Virtues	Guitar Classics	LIKE	2:35	ZM-ka1Aurm4	MPREb_ELvv7LOw0yc	UCKmaZo5qGO8A3ZNUuPPTUcg
64	Telstar	The Ventures	Gold	LIKE	2:37	-Ko-mf0038A	MPREb_4SKSi0m2J36	UCBTyn_Hs6HQQ6poBYsiQiVw
207	Road Runner	The Ventures	Twist With The Ventures	LIKE	2:26	R4EsSI_mjGs	MPREb_3GHWuYkBiF4	UCBTyn_Hs6HQQ6poBYsiQiVw
233	The Stranger	The Shadows	The Shadows in the 60s	LIKE	2:44	9TikhUzKmTk	MPREb_z9LVGyTYCBO	UCcjz131E-j2SQhQ_mO8eY5w
512	Shazam	The Shadows	The Shadows in the 60s	LIKE	2:20	DWc0Dbc9c14	MPREb_z9LVGyTYCBO	UCcjz131E-j2SQhQ_mO8eY5w
92	Let's Go (Pony)	The Routers	Let's Go! With The Routers	LIKE	2:21	_lF0_VSg2fk	MPREb_yfZGESzTe3I	UCgdMPSSj0k40Ow9Qsbuz01w
462	Cowboys to Girls	The Intruders	The Gamble Records All-Stars	LIKE	2:39	qYxF8Gp9JP8	MPREb_tmyyAuwdQwv	UCzJef68VLJLqE1_TZPiGvIw
306	The Spur	The Fireballs	Here Are the Fireballs	LIKE	2:23	QORKT5TcYOQ	MPREb_EohysHye2Oe	UCMjYgTzmxt162I4kx_UesWg
242	Are You Keeping Score	The Exciters	Tell Him - The Best Of	LIKE	2:44	sHKEPtQrUsQ	MPREb_vwBe9sD0vqq	UCJ9EjFMQSTCPeRiv2CA2oJQ
178	Sweet Talkin' Guy	The Chiffons	The Chiffons Absolutely The Best!	LIKE	2:27	UAPaGi7HuKo	MPREb_2tTNPLsBuKR	UCrrXKjbhymi4ucJCPsoM1Vg
346	Too Much Tequila	The Champs	Greatest Hits	LIKE	2:12	EU1RprNuNM4	MPREb_OwFSLM6hGvo	UCc47Uy2mCfkT1GoWT-Lp-3w
383	Limbo Rock	The Champs	The Champs' Limbo Rock	LIKE	2:04	-G_-wfKhcgc	MPREb_XxAxydsbXBP	UCc47Uy2mCfkT1GoWT-Lp-3w
32	Mr. Moto	The Challengers	Surfbeat	LIKE	2:05	AaxMFv7Fgvk	MPREb_y4pRoqPMVbe	UCm3Ah1N5nqS56PtAmVHprdg
155	Tidal Wave	The Challengers	Lloyd Thaxton Goes Surfing with the Challengers	LIKE	2:14	HghDiAEgYC0	MPREb_RNeZDGqlUp8	UCm3Ah1N5nqS56PtAmVHprdg
101	Three Caballeros	Santo & Johnny-Il Meglio	More	LIKE	1:56	WVHHQxsp6Vw	MPREb_2q9KBNpReX4	UCCX27qJ0il_LWZUlM12Kv5A
58	Don't Let the Sun Catch You Cryin'	Ray Charles	The Genius Of Ray Charles	LIKE	3:46	xxA0Q1WTmXA	MPREb_VdbXJv2WEpG	UClapQBGYNOoLYmCct6e3B5Q
396	Bongo Bongo Bongo	Preston Epps	Bongo Bongo Bongo	LIKE	2:10	3bxbOiKdAgs	MPREb_IatE7troeO7	UCWnW_vUOR18s9IQtbvr9IZw
264	Memphis	Lonnie Mack	Glad I'm In The Band	LIKE	2:29	4i0MzSsRbpI	MPREb_XWxZrWDKKAZ	UCCLnbmfcDHTga_cmjxM6DUw
387	Susie Q	Lonnie Mack	Memphis Wham!	LIKE	2:34	ygqWFEqtzvk	MPREb_k7oIPv1us9Y	UCCLnbmfcDHTga_cmjxM6DUw
392	Chicken Pickin'	Lonnie Mack	Memphis Wham!	LIKE	2:11	mt8oIXKtMA0	MPREb_k7oIPv1us9Y	UCCLnbmfcDHTga_cmjxM6DUw
717	Lillian	Link Wray & The Wraymen	Link Wray: Slinky! The Epic Sessions: 1958-1960	LIKE	1:51	sAOiTu7slGo	MPREb_D6s3XSMVzge	UCXFJOvhbAdYYwaqxdOpSB5w
415	Strollin' With Mr. Lee	Lee Allen	Walkin' With Mr. Lee	LIKE	2:27	B_o6BDMY4fY	MPREb_TIIjReqWRBD	UCV9dd0kZUmjdcPaTODLW7EA
437	Bee Hive	Lee Allen	Walkin' With Mr. Lee	LIKE	2:31	LvMiS8feB54	MPREb_TIIjReqWRBD	UCV9dd0kZUmjdcPaTODLW7EA
187	Reveille Rock (feat. Johnny Paris)	Johnny and the Hurricanes	Stormsville	LIKE	2:25	ybdYVCVAejc	MPREb_jqhZpLkqpmd	UCKUUCw_gE50oh7nXtRpUg5g
236	Red River Rock (feat. Johnny Paris)	Johnny and the Hurricanes	Red River Rock	LIKE	2:18	gOuQXckGkrc	MPREb_SNiLd8nYFnn	UCKUUCw_gE50oh7nXtRpUg5g
119	Cannonball	Duane Eddy	Have 'Twangy' Guitar Will Travel	LIKE	1:55	L9F4IDsKP3U	MPREb_wW4vKdUybag	UCwQjNmocxQ_8nXJiKu0bm0g
489	Forty Miles of Bad Road	Duane Eddy	Take Me Back, Vol. 2	LIKE	2:07	K-eYGRCJbqw	MPREb_4EpA3bMOC0r	UCwQjNmocxQ_8nXJiKu0bm0g
404	Just One Look	Doris Troy	Sings Just One Look And Other Memorable Selections	LIKE	2:32	GI3OYR_XM0w	MPREb_zp9Ai2rEK4t	UCQrC_HNrZaHof5OQM9C-0Yg
553	Gun	Chuck Berry	Back Home	LIKE	2:46	Oh8deUIMY58	MPREb_NsFg9vzq9Hn	UCUfKmP9mv1yUkxlE5DDX5Zg
216	Heads Or Tails	Booker T. & The M.G.'s	Soul Limbo	LIKE	2:32	oUNxKtnw7-g	MPREb_UREqPqugh3R	UCArwMp9q2N-UvSXih_0ahTA
