	title	artist	album	likeStatus	duration	videoId	albumId	artistId
57	Reel By Reel (2001 Digital Remaster)	XTC	Drums And Wires	LIKE	3:48	JoOgmgyM49U	MPREb_xWsn0CeyKLE	UCgsgbGAPI68KlnBRGFMtRuA
31	Three Girl Rhumba (2006 Remastered Version)	Wire	Pink Flag	LIKE	1:23	ctpzzTR15yo	MPREb_0uByMaayRnq	UCJOW5ijQ4MFnvZxhdCHha6Q
2	A Forest (Remastered Version)	The Cure	Seventeen Seconds	LIKE	5:55	SbAxbmAHgx4	MPREb_ufYzEkwkqDN	UCKuG9-MGolUuWbEcoz5qijw
13	Boys Don't Cry (Single Version)	The Cure	Three Imaginary Boys [Deluxe Edition]	LIKE	2:37	YSAqXEcgoZ4	MPREb_Kyq4XbsVPq2	UCKuG9-MGolUuWbEcoz5qijw
41	Primary (2005 Remaster)	The Cure	Faith (Deluxe Edition)	LIKE	3:40	zvAYSG5wvno	MPREb_FPGF2LHlhar	UCKuG9-MGolUuWbEcoz5qijw
48	10:15 Saturday Night (2005 Remaster)	The Cure	Three Imaginary Boys	LIKE	3:42	RcEDwxML-0s	MPREb_WFdgN4WzZew	UCKuG9-MGolUuWbEcoz5qijw
9	Marquee Moon	Television	Marquee Moon	LIKE	10:39	g4myghLPLZc	MPREb_1wY3VDFmd0T	UCUj5ybQ9JkhkZk1pzE9AJxg
35	Friction	Television	Marquee Moon	LIKE	4:44	vkXDUMQ6nLM	MPREb_1wY3VDFmd0T	UCUj5ybQ9JkhkZk1pzE9AJxg
38	New Feeling (2005 Remaster)	Talking Heads	Talking Heads '77 (Deluxe Version)	LIKE	3:09	qowEgRo3Q1E	MPREb_Lpjnw4k4o4d	UCCmr_pJ7az1JfWUiujsiHWg
61	Psycho Killer (2003 Remaster)	Talking Heads	Once in a Lifetime: The Talking Heads Box (2003 Remaster)	LIKE	4:20	syakTx5SuyA	MPREb_zpBzcAMj5qT	UCCmr_pJ7az1JfWUiujsiHWg
59	Swan Lake	Public Image Ltd.	Second Edition	LIKE	4:13	fiQk5hy54oE	MPREb_CCYMIiawVAX	UC7s9i97DKMBbSlAAslttU4Q
1	Dreams Never End	New Order	Movement [Collector's Edition]	LIKE	3:15	qGHDPbDYJdY	MPREb_9Wr2tPW6JnT	UCXExK7We8VKsIzFFQYNEgBg
6	Blue Monday	New Order	Singles	LIKE	7:31	iOEJHNZpeck	MPREb_pbZbHcIwm57	UCXExK7We8VKsIzFFQYNEgBg
18	Age of Consent	New Order	Power Corruption and Lies	LIKE	5:16	gG9fEaITgCk	MPREb_0pO77xWgInR	UCXExK7We8VKsIzFFQYNEgBg
