	title	artist	album	likeStatus	duration	videoId	albumId	artistId
1	Clear Spot	Captain Beefheart And The Magic Band	Clear Spot	LIKE	3:39	eOJHnfSURF4	MPREb_wW2r8b3RVLA	UCRlJs9KpXAXdQI36nkZRYTQ
2	Waymore's Blues	Waylon Jennings & The .357s	Waylon Forever	INDIFFERENT	5:02	AA12p-27TZ0	MPREb_0OVCmKL5b0X	
5	The Angry River (From the Hbo® Series True Detective) (feat. Father John Misty & S. I. Istwa)	The Hat	The Angry River (From the HBO® Series True Detective)	INDIFFERENT	2:55	SnrXhavK-6M	MPREb_qY64qcBs5tT	UCMqfqjq3tHPB5DSkSHTMphw
6	"Nowhere Road (From ""Black Dog"" Soundtrack)"	Steve Earle	Exit 0	INDIFFERENT	2:49	J_WNR75YQ4U	MPREb_zH3eeRUf301	UCOFb6pfPUawqjZmIim-ykZQ
11	The Devil's Right Hand	Steve Earle	Copperhead Road (Deluxe Edition)	INDIFFERENT	3:02	cy1PrLn2NR8	MPREb_fsWS5msAUNA	UCOFb6pfPUawqjZmIim-ykZQ
15	Trance Figure (Nobody Remix)	School of Seven Bells	Iamundernodisguise	INDIFFERENT	3:21	kLJXjv3vc0M	MPREb_71dLaoWq8Ru	UC4eoZWeKALIFuOvG0FhXOBQ
10	American Life	Primus	Sailing The Seas Of Cheese	INDIFFERENT	4:31	old-VkM6SjM	MPREb_tJFcZE4JwVJ	UC_g748A40yHw0fQjXRqZYug
14	The Brain Center at Whipples	Melvins	Hostile Ambient Takeover	INDIFFERENT	3:50	k5WBRJVUiXU	MPREb_1k9ThTgphWs	UCIiCAKBmdf7ef6w4ums3dtQ
7	The Only Thing Worth Fighting For (From The HBO Series True Detective)	Lera Lynn	The Only Thing Worth Fighting For (From The HBO Series True Detective)	INDIFFERENT	3:17	JcyhH1CulLs	MPREb_9IHjdiC7qpk	UCAZ8ZCGxG4LDqYmjfZWiS9Q
9	Casey's Last Ride	Kris Kristofferson	The Essential Kris Kristofferson	INDIFFERENT	3:36	3sOZCkN-4Tc	MPREb_T9p2gdY4uET	UCqvZ_tHW8lg7MQPleCtxZnQ
4	I'm A One Woman Men	Johnny Horton	American Originals	INDIFFERENT	1:58	BC_UQAuVVSY	MPREb_W58dGqH18UQ	UC148jhTSenkCKNLD5hXHFqQ
0	I See A Darkness	Johnny Cash	American III: Solitary Man	INDIFFERENT	3:42	YtVKfHfea20	MPREb_3K8reixNeEV	UCiGs21G3KeE2tpbbMPzn9Qg
12	Tupelo	John Lee Hooker	John Lee Hooker	INDIFFERENT	7:30	mufsr6JHVmE	MPREb_AIR8bqlrl78	UCcWk0Z6iOwjUeycdoh7mIMQ
13	Cryin' Time	Dwight Yoakam	Dwight Sings Buck	INDIFFERENT	2:41	sFjjQUERgxU	MPREb_Rtckd3JIrdJ	UCYHQtLvZheLBlWV-ep78CZg
3	American Flag	Cat Power	Moon Pix	INDIFFERENT	3:31	yHOITZffnnY	MPREb_1SqIZFpXwVJ	UC1s55OQBwZ1Cg-k9EC7HaGA
16	Universal God	C. J. Johnson	The Feel Sessions - Accoustic Set Vol. 4	INDIFFERENT	3:26	63aUqiRTyhI	MPREb_9tcG2E09Vkh	UCtIzMhrDRltLZ8MyrY_JEug
8	Illegal Business	Boogie Down Productions	By All Means Necessary (Expanded Edition)	INDIFFERENT	5:22	yHeBotnrwEI	MPREb_ArPlXlJXcCI	UCAdeA8wHp2-09EYtu4V3nsg
