	title	artist	album	likeStatus	duration	videoId	albumId	artistId
0	Breathe (feat. Angela McCluskey)	Telepopmusik	Genetic World	LIKE	4:43	kDz2Xk-LRN0	MPREb_fGr6LVKffPa	UCeBYZwQm-Qqez4Dy7WXauIg
1	Sour Times	Portishead	Dummy	LIKE	4:13	VoSoZyiHZ6o	MPREb_G6JQUdInW98	UCweAx0TIRdAylp6G1nviqbQ
9	Hunter	Portishead	Third	LIKE	3:57	aOajOz0SDYE	MPREb_Xo6ogxodCvt	UCweAx0TIRdAylp6G1nviqbQ
5	Still Crazy After All These Years	Paul Simon	Still Crazy After All These Years	LIKE	3:26	JrzmW-zmPl0	MPREb_vaviTHYLfed	UCocuTnrwKDhXqwr6Kv-T4_Q
3	River Man	Nick Drake	Five Leaves Left	LIKE	4:18	HQ9JBwuO128	MPREb_lhT6zoo6CGC	UCiryJZISyBldwm9ocAE-QfQ
7	Hey, That's No Way to Say Goodbye	Leonard Cohen	Songs Of Leonard Cohen	LIKE	2:56	uwG3n6eyrIk	MPREb_PRmKZZf0r8Q	UCWVX22z2KlJCQ0XqtfHIH7w
10	Kaputt	Destroyer	Kaputt	LIKE	6:17	JoIGQJ4Dnmk	MPREb_elre5Rzyg5T	UC_plNzaYghjuzu3CWNSv28g
6	Victim of Love (feat. Menahan Street Band)	Charles Bradley	Victim of Love	LIKE	3:31	zjdsks9KBCk	MPREb_FDpb1YrfR4r	UCP6eGHJYZIJiRqABUeZiIAw
2	It's Too Late	Carole King	Tapestry	LIKE	3:54	JOpNjHsXwzk	MPREb_SNlWMf3nqLG	UCf-kt3y-EgwvoznZcOB7Sqg
8	Leave It Alone	Broken Bells	After the Disco	LIKE	5:30	yhOAd17ak0g	MPREb_ECYQ0UYYmno	UCHEURKSdC-GByFdgBGtNDfQ
4	La femme d'argent	Air	Moon Safari	LIKE	7:07	wLmfNFVDa_U	MPREb_n2c7cMLeLVP	UCH_Q3OLUXLZNF0qmnY3bCXg
