	title	artist	album	likeStatus	duration	videoId	albumId	artistId
21	Sacrifice	the expendables	Gettin' Filthy	LIKE	4:53	XvZbDkjS7Zc	MPREb_ztxvA3jprcP	UCc6zNCb8VslfB3PnYlMAaIA
194	Bowl For Two	the expendables	Gettin' Filthy	LIKE	4:43	PIhf09SH3Fw	MPREb_ztxvA3jprcP	UCc6zNCb8VslfB3PnYlMAaIA
203	Let Her Go	the expendables	Gettin' Filthy	LIKE	3:49	jl-LlMG-OTQ	MPREb_ztxvA3jprcP	UCc6zNCb8VslfB3PnYlMAaIA
242	Jarmin in the Dark	Young Monks	Jarmin in the Dark	LIKE	5:14	rqekUkp8Flw	MPREb_g80ZkFtBNph	UCGsdnEpH4llmcl608e0r8jw
130	African Roots (King Tubby Mix)	Winston Edwards	King Tubby Meets the Upsetter at the Grass Roots of Dub	LIKE	2:59	Vo5HIlXB4tk	MPREb_5StIemW9NzB	UCel776r7lPk-Qe97484JBiA
131	No Justice for the Poor (Lee Perry Mix)	Winston Edwards	King Tubby Meets the Upsetter at the Grass Roots of Dub	LIKE	2:25	waKRKLOeP3s	MPREb_5StIemW9NzB	UCel776r7lPk-Qe97484JBiA
132	King Tubby & The Upsetter at Spanish Town (Lee Perry Mix)	Winston Edwards	King Tubby Meets the Upsetter at the Grass Roots of Dub	LIKE	2:31	mAOXYbqINgs	MPREb_5StIemW9NzB	UCel776r7lPk-Qe97484JBiA
186	Time Is A Moment In Space	Wayne Smith	Jammys From The Roots [1977-1985]	LIKE	3:14	Suj8gqkaTAA	MPREb_CgDI2MWWdz4	UCBFiL1ASsSgbk2qQ0kO8v4Q
195	In Your Eyes	Tribal Seeds	SoundWaves EP	LIKE	5:05	7AOaw0ZoEo0	MPREb_29f8ZiVLxve	UCKmxnVQwTEAPr0M3NK9zcCw
24	Louie, Louie	Toots & The Maytals	Funky Kingston	LIKE	4:28	BlFGvTtGMBI	MPREb_gvvgAulHpvF	UC2863SnaB0ZHk7G9KwjGvMA
157	Country Road	Toots & The Maytals	Funky Kingston	LIKE	3:25	raH3gShAylo	MPREb_gvvgAulHpvF	UC2863SnaB0ZHk7G9KwjGvMA
193	54-46 Was My Number	Toots & The Maytals	In The Dark	LIKE	3:24	wNxNwvjzGM0	MPREb_2lGfPUdAHJJ	UC2863SnaB0ZHk7G9KwjGvMA
197	Pressure Drop	Toots & The Maytals	Funky Kingston	LIKE	3:49	DKVB_CtU8XQ	MPREb_gvvgAulHpvF	UC2863SnaB0ZHk7G9KwjGvMA
254	Take Me Home, Country Roads	Toots & The Maytals	In The Dark	LIKE	3:22	a_i66vtoySQ	MPREb_2lGfPUdAHJJ	UC2863SnaB0ZHk7G9KwjGvMA
256	1865 (96º In The Shade)	Third World	96 Degrees In The Shade	LIKE	4:28	UwlUY3AQd2Q	MPREb_D7ppPHFsnZ7	UCJmKM1NoeP6wMQ3632XbgZg
39	Jerusalem	The Wailers Band	Jerusalem - Remastered Edition	LIKE	7:50	OW2QJC24FUU	MPREb_ggsKbFpZlka	UCIoJ4M0MjsC9gOKuFdlnAGA
7	Pass It On	The Wailers	Burnin' (Deluxe Edition)	LIKE	3:33	PQU50PWB0Rw	MPREb_CJzuUTJxbT5	UCIoJ4M0MjsC9gOKuFdlnAGA
31	Burnin' And Lootin'	The Wailers	Burnin' (Deluxe Edition)	LIKE	4:13	RqckEWeHGgg	MPREb_CJzuUTJxbT5	UCIoJ4M0MjsC9gOKuFdlnAGA
44	Small Axe	The Wailers	Burnin' (Deluxe Edition)	LIKE	3:59	r87iXzhB3VE	MPREb_CJzuUTJxbT5	UCIoJ4M0MjsC9gOKuFdlnAGA
74	Burnin' And Lootin' (Live At Leeds Polytechnic, 1973)	The Wailers	Burnin' (Deluxe Edition)	LIKE	8:29	9jY6ZIcPxSo	MPREb_CJzuUTJxbT5	UCIoJ4M0MjsC9gOKuFdlnAGA
76	Small Axe	The Wailers	Burnin'	LIKE	4:02	2shS9igUyo4	MPREb_57nsSazhJb4	UCIoJ4M0MjsC9gOKuFdlnAGA
77	Pass It On	The Wailers	Burnin'	LIKE	3:35	YYB6XiMQJ1c	MPREb_57nsSazhJb4	UCIoJ4M0MjsC9gOKuFdlnAGA
178	Get Up, Stand Up	The Wailers	Burnin' (Deluxe Edition)	LIKE	3:17	KP0V15PgFaQ	MPREb_CJzuUTJxbT5	UCIoJ4M0MjsC9gOKuFdlnAGA
198	Get Up, Stand Up (Live At Leeds Polytechnic, 1973)	The Wailers	Burnin' (Deluxe Edition)	LIKE	6:14	2IDeUHYB0Ng	MPREb_CJzuUTJxbT5	UCIoJ4M0MjsC9gOKuFdlnAGA
158	Patience	The Upsetters	Super Ape	LIKE	3:50	zIaMaLYF0ZI	MPREb_GDNf27a5iKG	UCFCsABx-h6iF2D94EeXjkKg
202	Rasta Pon Top	The Twinkle Brothers	Rasta Pon Top	LIKE	3:02	7HQ8XqWLlFo	MPREb_F84Lc8yQ4Yr	UCBlFUrSDB3mqD4LcM_OUtOg
225	Movin' out (Anthony's Song)	The Supervillains	Massive	LIKE	3:37	pJSSBZjWYRM	MPREb_RSs8Fzw1Mxr	UC-C01OLOYPAi9X-A777CadA
155	Stupid Marriage	The Specials	The Specials (Deluxe Version)	LIKE	3:51	5sf2euba6vY	MPREb_9GY6QSHJei5	UC2_ZQJKkRF9GapgwTMd_LMw
147	Wicked Dub	The Revolutionaries	Outlaw Dub	LIKE	2:47	zBFUMnius6M	MPREb_tYVWe3ypw12	UCgVomE5fUCJUY9mh4AzKXrg
226	Kunta Kinte Dub	The Revolutionaries	Drum Sound - More Gems From the Channel One Dub Room 1974 -1980	LIKE	4:26	K6XDIje4vJU	MPREb_mpG7ySvJbJb	UCgVomE5fUCJUY9mh4AzKXrg
140	Towers Of Dub	The Orb	U.F.Orb	LIKE	15:00	MEc8_2NAy4E	MPREb_c7pMvO76CzK	UCpoyFBLTLfbT2Z1D1AnlvLg
110	Our Day Will Come	The Heptones	The Heptones 22 Golden Hits	LIKE	2:33	T7Tzv5mT7lI	MPREb_sMjFf3spPNA	UCJpH5auKJk7w9_dsXOe_n8w
105	Yesterme, Yesteryou, Yesterday	The Gaylets	Original Reggae Hits of the 60's and 70's Vol. 2	LIKE	2:43	X6eR_RcIeaE	MPREb_XZ1EtXuS7ns	
251	Biggie - reggae The Funk's Come Around.mp3	The Funk's Come Around		LIKE	4:51	ACGvCFYCHGM		FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIRZnVua3MgY29tZSBhcm91bmQ
86	The Guns of Brixton	The Clash	London Calling	LIKE	3:10	G-n3YlWwhRU	MPREb_gGKGeAy3HOc	UCf-a_3DiA07vhQmoEaczDhw
38	Forward Unto Zion	The Abyssinians	Satta Massagana	LIKE	3:46	TaAWM_xxFPU	MPREb_L6zylNz4I3t	UCGN6v0VRG467JpG4Sv4d_ow
46	Declaration of Rights (Original Jamaican Mix)	The Abyssinians	Satta Massagana (Original Jamaican Mixes) [Deluxe Edition]	LIKE	3:32	HJRbMS4oiIQ	MPREb_AYAiqDoKRAs	UCGN6v0VRG467JpG4Sv4d_ow
59	The Good Lord	The Abyssinians	Satta Massagana	LIKE	3:25	APQhr3SnvfE	MPREb_L6zylNz4I3t	UCGN6v0VRG467JpG4Sv4d_ow
60	Know Jah Today	The Abyssinians	Satta Massagana	LIKE	2:55	q447paSUQAM	MPREb_L6zylNz4I3t	UCGN6v0VRG467JpG4Sv4d_ow
61	Black Man's Strain	The Abyssinians	Satta Massagana	LIKE	2:45	tT8LzIa48O8	MPREb_L6zylNz4I3t	UCGN6v0VRG467JpG4Sv4d_ow
62	Leggo Beast	The Abyssinians	Satta Massagana	LIKE	3:09	vre6PJAm690	MPREb_L6zylNz4I3t	UCGN6v0VRG467JpG4Sv4d_ow
247	Tetrack - Let's Get Together	Tetrak	Let's Get Started	LIKE	3:34	oUDp1Zp0kVg	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIQbGV0cyBnZXQgc3RhcnRlZCIDZ3Bt	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIGdGV0cmFr
233	Let's Get Together	Tetrack	Let's Get Started	LIKE	3:36	hj_lisSFDuk	MPREb_aQZ71BzKZ9t	UCL_S_BRb7AmKZBz3TJqKK-A
156	Baltimore	Tamlins	Sly & Robbie Hits 1978-1990	LIKE	4:38	AMjwpTpcdFc	MPREb_DDQMBbD0VXb	UCL5a7Dp7fzpfyWVx_w2qypQ
166	Lonely Boy (feat. Birdy Nixon)	Taggy Matcher	Singasong	LIKE	3:56	2UD3Mi_i7UM	MPREb_8lJiYQVpdpB	UCW8evrzNs08MwJRUbUrYcNg
20	So Good	Stick Figure	Burnin' Ocean	LIKE	2:36	VIjyvWYAEJ8	MPREb_rUthh8HboLB	UClMt1cGu9uCfHWiawNsg0FA
224	Weight of Sound (feat. TJ O'Neill)	Stick Figure	Burial Ground	LIKE	7:23	-CQOP3wptM0	MPREb_obLwIVWtmUi	UClMt1cGu9uCfHWiawNsg0FA
54	You've Got It Bad Girl	Stevie Wonder	Talking Book	LIKE	4:57	YVVh_JFLx_Q	MPREb_4GLAuYTyNiW	UCR83RRXHzXrEQbu_ZQmPMSg
153	Mystic Mix	Sly & Robbie	Dub Masters, Vol.1	LIKE	3:37	Cw6gotELOeg	MPREb_zr3H2XALcL0	UCJxGs3018gTmbHJYkClkRLA
152	Ain't to Proud to Beg	Slim Smith	Essential Slim Smith & Dubs	LIKE	2:40	2FtGdUsrFL0	MPREb_PCeqaiYB69Y	UCVsaO88VqtXBSYqUKR1u5Ow
3	Bandelero	Slightly Stoopid	Closer to the Sun	LIKE	2:47	VEgDAY_Bhj0	MPREb_YYEHOcjfqzB	UCr66v_8p6D0Kx0CHRQf7MKA
17	No Cocaine	Slightly Stoopid	Slightly Not Stoned Enough To Eat Breakfast Yet Stoopid	LIKE	4:46	4xoJhE4KvEw	MPREb_mbSwP8FiMMQ	UCr66v_8p6D0Kx0CHRQf7MKA
18	Officer	Slightly Stoopid	Everything You Need	LIKE	3:51	WGJLGR0D97s	MPREb_rtfJF3nXgd2	UCr66v_8p6D0Kx0CHRQf7MKA
19	Wiseman	Slightly Stoopid	Live & Direct: Acoustic Roots	LIKE	2:26	Rq9x55yO4uo	MPREb_xsTh5oxCy9h	UCr66v_8p6D0Kx0CHRQf7MKA
