	title	artist	album	likeStatus	duration	videoId	albumId	artistId
115	Virgin Suicide	宇宙ネコ子	君のように生きれたら	INDIFFERENT	3:06	dq-MmL2q-YI	MPREb_PgQzgXUXaSY	UC-NIZ7gKLKIw-gX4eiafNWQ
5	feed me with your kiss	my bloody valentine	feed me with your kiss	INDIFFERENT	3:58	S2vFtfobVn8	MPREb_bHVMPkVT9Tq	UCuoGeza7Dl9Ni_hmeLTPdkg
84	slow	my bloody valentine	you made me realise	INDIFFERENT	3:13	I1n68-_8AX4	MPREb_zSUUXkD5qwL	UCuoGeza7Dl9Ni_hmeLTPdkg
121	only tomorrow	my bloody valentine	m b v	INDIFFERENT	6:22	Fbmz_Icr8wU	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
122	she found now	my bloody valentine	m b v	INDIFFERENT	5:07	SE1nsleNzXA	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
123	new you	my bloody valentine	m b v	INDIFFERENT	4:59	3kgVKRgaN1s	MPREb_NTixiZJ3xDf	UCuoGeza7Dl9Ni_hmeLTPdkg
49	Molten Young Lovers	airiel	Molten Young Lovers	INDIFFERENT	4:40	yoOCt9xcPXs	MPREb_jjQw359M2QX	UCts4WdGUmD9Zuu2w8AllDIQ
50	Somersault	Zero 7	When It Falls	INDIFFERENT	6:56	upcQY18BiuE	MPREb_QGc7733ah9m	UCEIRECr4BQQ6blwSi9ogZvA
54	Don't Delete The Kisses	Wolf Alice	Visions Of A Life	INDIFFERENT	4:35	lXfGLZ2zz7A	MPREb_NWiqCjHkFMJ	UC0pJ-obBdqkyhBUvmXt646A
40	Gemini	Wild Nothing	Gemini	INDIFFERENT	5:20	A7SNj-MXQN0	MPREb_jsFGot6MMrD	UCbaJZUVqfEZPtwaUzGgdZ8A
63	Bored Games	Wild Nothing	Gemini	INDIFFERENT	4:04	oRdV8Nop-Ag	MPREb_jsFGot6MMrD	UCbaJZUVqfEZPtwaUzGgdZ8A
78	Leave	Whirr	Distressor	INDIFFERENT	4:13	qOXvour-B5c	MPREb_ACRY7zBApwT	UC26mM5xDcVtpIrZ1M6kCheQ
30	Switchblade Smile	Whipping Boy	Whipping Boy EP	INDIFFERENT	2:56	PS3GxfPUs3Y	MPREb_OJl8e8DMLEW	UCXvNaTJcZb60_0gyuwBohiA
132	Head in the Ceiling Fan	Title Fight	Floral Green	INDIFFERENT	3:59	ktfu22QX474	MPREb_kE9MnB56XKu	UC7TaiCy9-fIeGMosgz4tjZg
