	title	artist	album	likeStatus	duration	videoId	albumId	artistId
0	Smells Like Teen Spirit	Nirvana	Nirvana	INDIFFERENT	5:02	JirXTmnItd4	MPREb_x6BZ7EEfVbr	UCrPe3hLA51968GwxHSZ1llw
1	Even Flow	Pearl Jam	Ten	LIKE	4:53	u7T2OR-O2Vk	MPREb_IBgDGohw5WG	UCI1tnOMUhNh2QiHTpMrPDbw
2	Black Hole Sun	Soundgarden	Superunknown (Deluxe Edition)	LIKE	5:19	9kIv6vVRKpw	MPREb_nbiCFWcFGBK	UCfTh3k6OyoUutinINQJiIHA
3	Cherub Rock	Smashing Pumpkins	Rotten Apples: Greatest Hits	INDIFFERENT	5:00	Bp3SkJV2l70	MPREb_4107Aip9ATB	UCZM3bF24BS-qDMe0OigpeZw
4	Plush	Stone Temple Pilots	Core (Super Deluxe Edition)	INDIFFERENT	5:14	eb3kAUQxinQ	MPREb_Aj8JFeKqtVB	UCg26QwzVApb014fbJF-dptQ
5	Comedown	Bush	Sixteen Stone	INDIFFERENT	5:26	JtVZr022RJs	MPREb_CXj5g1euIco	UCzh6E5PwoxNGhn3Nwf2rrOg
6	Far Behind	Candlebox	Candlebox	INDIFFERENT	5:00	o9EeIscC8zA	MPREb_jJSOII8TnfM	UCmUR0eYQ9JD3R8W7JE7mXnw
7	Would?	Alice In Chains	Dirt	LIKE	3:27	4L56DPmFl8w	MPREb_Eb5P5T1be7H	UCjtMrcJSQnXyE0rGfQlr8MA
8	Violet	Hole	Live Through This	INDIFFERENT	3:25	jFKWVt8-9J0	MPREb_pjUxo14lEYF	UCnKx6kb8WqCUTEZmZlc58xQ
9	Heart Shaped Box (Original Steve Albini 1993 Mix)	Nirvana	In Utero (Super Deluxe)	INDIFFERENT	4:42	F9pwGlgQz2E	MPREb_gHQoSqbsKWU	UCrPe3hLA51968GwxHSZ1llw
10	Jeremy	Pearl Jam	Ten	LIKE	5:19	bQtPzo-7AHs	MPREb_IBgDGohw5WG	UCI1tnOMUhNh2QiHTpMrPDbw
11	Nearly Lost You	Screaming Trees	Singles - Original Motion Picture Soundtrack	INDIFFERENT	4:06	rWoG7jShUck	MPREb_3OHQROaVfst	UC-T0CSqs3yX7occF4MSAWog
12	1979	The Smashing Pumpkins	Mellon Collie and the Infinite Sadness (Deluxe Edition)	LIKE	4:27	A6M0yLxLCNA	MPREb_4ZhfDV3ZMNG	UCZM3bF24BS-qDMe0OigpeZw
13	Black	Pearl Jam	Ten	LIKE	5:43	IpwHB2U3J1s	MPREb_IBgDGohw5WG	UCI1tnOMUhNh2QiHTpMrPDbw
14	Rooster	Alice In Chains	Dirt	INDIFFERENT	6:15	ZUqBglpHTO0	MPREb_Eb5P5T1be7H	UCjtMrcJSQnXyE0rGfQlr8MA
15	Interstate Love Song	Stone Temple Pilots	Purple	LIKE	3:13	BsdXUx61un8	MPREb_0HWdkKQ3Ngq	UCg26QwzVApb014fbJF-dptQ
16	Come As You Are	Nirvana	Nirvana	LIKE	3:40	W2QeQ9ZufAk	MPREb_x6BZ7EEfVbr	UCrPe3hLA51968GwxHSZ1llw
