	title	trackCount	privacy	id
23	zz not like 2	5000.0	PRIVATE	PLWptjpDqazOwrksGupWCshkk8NjhYng6j
24	zz not like 1	4998.0	PRIVATE	PLWptjpDqazOzObLohDWnVTTDrgG87MDwD
11	zz not like 0	2896.0	PRIVATE	PLWptjpDqazOzXVGZ4OcnjuyhfAyiCkLWP
274	zq dj thumbs up	340.0	PRIVATE	PLWptjpDqazOwqMTsUps2PvNbVRUP3BJnU
497	zq dj remix	72.0		PLWptjpDqazOzG07M2D5oPCt-SBjp6ihVo
359	zq dj mixes library	279.0		PLWptjpDqazOwjsVYghWWURLjxjf_XO0Ib
358	zq dj gold	89.0		PLWptjpDqazOzhHvVDPJ91txunSiexhVO7
494	zq dj edits	209.0		PLWptjpDqazOxhjp0Dw86Abr4FufaXAeKk
469	zp world of velvet underground	27.0		PLWptjpDqazOzE2aWPKMzqHOpUSKEyf30B
452	zp world of kurt cobain	53.0		PLWptjpDqazOyrjyznjqW0HlOXXo4AeVKU
459	zp world of elliot smith	49.0		PLWptjpDqazOwvYXAS7abb5VrMTx8M4TI2
412	zp lynchian	48.0		PLWptjpDqazOxquMnZXWA1QijnLQ-_BrGi
375	zp kanye	75.0		PLWptjpDqazOyzTBkmXqMFqNg8CEuXfh_W
308	zp john prine	127.0		PLWptjpDqazOzm1c4s9DOjLKGunkZJe8QG
401	zp grateful dead live	48.0		PLWptjpDqazOw8lKUcwdULiYxkbEHcABnN
488	zp elvis	41.0		PLWptjpDqazOxj4VPDevYLprUCL7oG_NTK
442	zp dangermouse	58.0		PLWptjpDqazOwWrPhzfpag1pdR2k03Dfus
438	zp True Detective	20.0		PLWptjpDqazOy8fu-6EWmzK72HIeDFiBh8
445	zp RZA	27.0		PLWptjpDqazOxvgIUCN0a81OwsOCmtswAw
493	zp Pink Floyd epic	10.0		PLWptjpDqazOzGwXPh4lua_Ctdsr9CSRqd
379	zp Dilla	48.0		PLWptjpDqazOyfm7WpqCx4LslGKpZiwblT
376	zp DJ Premier	39.0		PLWptjpDqazOwf98PA2rFQPyFR7yUFjDsM
471	zp Beatles	194.0		PLWptjpDqazOw_up8PwXZAKrsh_WadMDW9
56	y mb need like	266.0		PLVuG9V3Xuz3I
47	y 2026 top	27.0		PLWptjpDqazOwXIkcUkfyZ0zoPfi6xn8Kr
48	y 2025 top	185.0		PLWptjpDqazOxhBea-0BJNZWLiERsNBDMD
108	y 2024 top	118.0		PLWptjpDqazOzHfEh3lBv6kGrb9nU5l8NM
107	y 2023 top	357.0		PLWptjpDqazOw9miInua8lzVtgeXDznUhV
49	y 2022 top	463.0		PLWptjpDqazOy1DcdEnvf-uJ8v4zxrOIYn
106	y 2021 top	179.0		PLWptjpDqazOy6zyXcdAdIe47jwVklgbg8
26	y 2020s early top	1423.0	PRIVATE	PLWptjpDqazOytrDlkve8jcZxLYxTpQGxZ
50	y 2020 top	536.0	PUBLIC	PLWptjpDqazOywnN0PoKWOb4TKsoB4oq6f
504	y 2019 top 50 albums	717.0		PLWptjpDqazOwbez3EwGvXZ_HSb0Y_L2uG
51	y 2019 top	628.0		PLWptjpDqazOyX8-_qo-f7M9lBUyG1nB4j
505	y 2018 top 50 albums	556.0		PLWptjpDqazOwXmARvM-jU6w9tw6PCwpED
52	y 2018 top	1542.0	PUBLIC	PLWptjpDqazOw90PiXec8qjgXI99NrtJJz
53	y 2017 top	765.0		PLWptjpDqazOzkQwuMolT7t-0MHTNHv4Ke
54	y 2016 top	1018.0	PUBLIC	PLWptjpDqazOxx3SDWGUUjolyaCTOqx2Mb
351	y 2015 top	1051.0	PUBLIC	PLWptjpDqazOwuGQrRBEFKzwcAphqaPaS8
352	y 2014 top	1077.0	PUBLIC	PLWptjpDqazOyPnED037mVsdZqhTT8JqFz
353	y 2013 top	1125.0	PRIVATE	PLWptjpDqazOwHR2E86174D166s-1vKxbM
354	y 2012 top	650.0		PLWptjpDqazOwPGQzackYMxEVYDJSHSrcX
355	y 2011 top	942.0		PLWptjpDqazOxbaMp-riDgYYFZkXhtmyJ0
34	y 2010s late top	4051.0	PUBLIC	PLWptjpDqazOxjJ4QUcmtUvzfuKtO0OQz8
35	y 2010s early top	4567.0	PUBLIC	PLWptjpDqazOzXOCUzwde2LNXexv420cUP
356	y 2010 top	816.0	PUBLIC	PLWptjpDqazOxRgljpWn5STnFPKFln9P0y
109	y 2000s late top	2035.0	PUBLIC	PLWptjpDqazOz30x1PbrlNXR_W-D1lb1ef
36	y 2000s early top	1575.0	PUBLIC	PLWptjpDqazOzwkbKwMod9R48YgWBUobg_
37	y 1990s late top	1305.0	PUBLIC	PLWptjpDqazOw8sBgs1L6_cb_iGfcTFpSX
38	y 1990s early top	1022.0	PUBLIC	PLWptjpDqazOwrBRdnvnifl0TnHn5kiVWI
110	y 1980s late top	412.0	PUBLIC	PLWptjpDqazOyld8JDj3fIFCzRJxIfvQ4A
39	y 1980s early top	587.0		PLWptjpDqazOxZOpg32F6Fnax3y5rD_TYU
40	y 1970s late top	993.0		PLWptjpDqazOxAEvHf-iqI0wmGeeyBIBEE
41	y 1970s early top	1384.0	PUBLIC	PLWptjpDqazOykS1Jal5_1ZNiepkCT1dFZ
42	y 1960s late top	1497.0	PUBLIC	PLWptjpDqazOy0lsz47l1CdNT-ufgssNPh
43	y 1960s early top	531.0		PLWptjpDqazOyYG6VPyxeS2SxuaHCfkzD2
55	y 1950s top	343.0		PLWptjpDqazOycNROl7uzxlMvVCQlaM-m3
44	y 1950s late top	385.0		PLWptjpDqazOy0h1lEZ5LnEm9ls9fh9RZr
45	y 1950s early top	72.0		PLWptjpDqazOw3a1jQwHIKVI3aFHFprdm8
27	y 1940s and older top	113.0		PLMYsjoSUnibQ
203	xr witchHouse radio	583.0		PLWptjpDqazOxvIYuMQfVwMd7jooij9x2y
240	xr unheardof radio	87.0		PLWptjpDqazOz0xEKs3VeRV3Cu45QcdsEK
190	xr triphop radio	850.0	PRIVATE	PLWptjpDqazOwntqx6q9keFgQZOD45u-Ts
287	xr treemusic radio	428.0		PLWptjpDqazOzfdKbBOjGYuSDUNud22pyd
139	xr treemusic albums	421.0	PRIVATE	PLWptjpDqazOyP4A8916jWl1QCx7ooREuw
138	xr treemusic	1843.0	PUBLIC	PLWptjpDqazOxNxw-kc2eJ1Tt6BFmLwYVH
205	xr trapmuzik radio	1066.0	PRIVATE	PLWptjpDqazOwlS6ilz_K8gqi_7_xSzJaZ
15	xr trapmuzik	193.0		PLWptjpDqazOzdod2_RK5KoTzt1-NFEYca
173	xr theOverload radio	773.0		PLWptjpDqazOxPr2qi9Bzq8_P63kI6UKJH
295	xr theOverload	93.0	PUBLIC	PLWptjpDqazOyzJuUJSFLdFFYBCNtCzIn0
241	xr synthwave radio	185.0		PLWptjpDqazOxG_dRC1bMvt4EWde0ksdlb
320	xr synthrock radio	164.0	PRIVATE	PLWptjpDqazOzcINgMg5ZVLoDMcZr1Qklj
456	xr synthrock	26.0		PLWptjpDqazOwEYY_u4FksLDFWAicQPWFF
191	xr stonerrock radio	549.0		PLWptjpDqazOxrxYpLV3oRgvvamTVG9hDF
140	xr stonerrock albums	224.0		PLWptjpDqazOzOvet5kUIgNR_ci523TRV9
141	xr spacemusic albums	180.0		PLWptjpDqazOxsYeX38rst3HMEzhns8bte
242	xr soca radio	49.0		PLWptjpDqazOzEa1OnXz5rfEisTfaqyBTJ
312	xr reggae albums	353.0		PLWptjpDqazOwKncLcrXesGez2ehO0qM0I
309	xr realdubstep radio	501.0		PLWptjpDqazOya9NAdrfgnU8FQ8xfzBjy0
298	xr realdubstep	62.0		PLWptjpDqazOxLvllR3H1_7d3ENvCpv_bz
310	xr psychedelicrock albums	446.0	PRIVATE	PLWptjpDqazOzZ1fNE1koysy9fG0Z4jJaI
244	xr psybient radio	92.0		PLWptjpDqazOw10uGcepQB-hQNO_AWRr-9
245	xr newretrowave radio	67.0		PLWptjpDqazOwVZX3I4pft5THL6GouVrHQ
111	xr neopsychedelia radio	61.0		PLWptjpDqazOwZm810IwTngKDxXMY7fZ_s
315	xr neopsychedelia albums	97.0		PLWptjpDqazOyR57c3wnKpt3UffYAWyMn0
10	xr neopsychedelia	165.0		PLWptjpDqazOyxdOl0KLC1p3rGuQUuI6fv
132	xr musicforconcentration radio	148.0		PLWptjpDqazOxdm_BfaWh987f4eNzf_dg8
148	xr musicforconcentration	27.0		PLWptjpDqazOwdpWFsAjnxK-imhWDT1Hab
186	xr monsterfuzz radio	562.0		PLWptjpDqazOxxGkqTJtKxAGDyolKBlbOx
286	xr monsterfuzz	38.0		PLWptjpDqazOwq7Jo226lWRLdxDY1GpImv
294	xr minimal radio	396.0		PLWptjpDqazOyMbuWAhkwyABuSvt2tnfXP
296	xr minimal	43.0		PLWptjpDqazOytLIbSTULwLCdADFHtod3X
145	xr metal radio	836.0		PLWptjpDqazOzBOdbZ8rQH6LbJSZBKVFb3
321	xr melodichouse radio	593.0		PLWptjpDqazOzbxKtxFzWFSFcii2csibRm
476	xr lofihiphop albums	165.0		PLWptjpDqazOySvUxFCwnEBBQWNqO0pc1Q
246	xr liftingmusic radio	43.0		PLWptjpDqazOwRVPONTkoaD4yp5lYYwwI4
247	xr krautrock radio	112.0		PLWptjpDqazOx0vFwS--0O3EshhDABrt54
149	xr krautrock albums	222.0		PLWptjpDqazOxWPkGDZx3daStgl1fl-UrM
208	xr kpop radio	60.0		PLWptjpDqazOweC74ZHMuactSyim1uPrvH
248	xr koreanrock radio	76.0		PLWptjpDqazOy9wWUI2pi5c1NwNcQvK4dM
150	xr kindie radio	99.0		PLWptjpDqazOxo2scXsUOB9ovyAsuam6JK
322	xr jazzyhiphop radio	471.0		PLWptjpDqazOxx5YhvuuvWMP_bLbYlXfQg
201	xr jazznoir radio	155.0		PLWptjpDqazOy53eCqN5QhZCqjtrR8sYq3
157	xr jazz radio	445.0	PRIVATE	PLWptjpDqazOxfhwfZM1ql8dOX6TLC7LIN
323	xr industrialmusic radio	91.0		PLWptjpDqazOw3o7yoGdny-qsEuGfudU6Y
209	xr indierock radio	225.0		PLWptjpDqazOzJNUNrn0iSo7tXMOHH7CPi
197	xr indie radio	1030.0	PRIVATE	PLWptjpDqazOxiDLxxdqpRz9tFlZczrFN9
307	xr idm radio	330.0		PLWptjpDqazOyPfmECKIsKdsSvD9HXlU1S
316	xr idm albums	110.0		PLWptjpDqazOwTPGnVsNOO9SJFmksR3rsu
249	xr icm radio	30.0		PLWptjpDqazOwIeSpwFTzviniXIDxo7tIL
210	xr house radio	535.0		PLWptjpDqazOxQJgaHkqpY8fiwMcSbN2np
211	xr house	130.0		PLWptjpDqazOxyqxyHQhfEbBteK6EEEsvT
212	xr hiphop radio	1767.0	PRIVATE	PLWptjpDqazOyg593lngmllPReC_RcW9I4
317	xr hiphop albums	388.0	PRIVATE	PLWptjpDqazOzMHdEnLSHBipiaKFvb3nUN
251	xr guiltypleasuremusic radio	90.0		PLWptjpDqazOyybCMtZb5AmVHSngGeHDFz
250	xr guiltypleasuremusic	27.0		PLWptjpDqazOxEk1gJCpm8Cyqm2gHHu5ZW
252	xr glitchhop radio	61.0		PLWptjpDqazOxVLm2YSC81rbrzdhIfiG0w
253	xr gamemusic radio	27.0		PLWptjpDqazOyYqtWSh1_cyv_IDFvs8KS7
324	xr futuresynth radio	636.0		PLWptjpDqazOwmyH_k1wyP2jrAqndbv4El
