	title	artist	album	likeStatus	duration	videoId	albumId	artistId
55	In the Midnight Hour	Wilson Pickett	The Very Best of Wilson Pickett	LIKE	2:38	uiy36UfftsI	MPREb_nIC3WcLjClE	UC_nBrnmRNUgbvTbsr20gssQ
54	Troubles, Troubles, Troubles (feat. Various Artists)	Various Artists	Blues Giants	LIKE	3:00	u8A4Subw7Xo	MPREb_AcgjiWKT3hV	UCeyx2t44xepKjxn74sK0nlQ
52	Let's Do It Again	The Staple Singers	Let's Do It Again Original Sound Track	LIKE	4:54	OOHTaknPTek	MPREb_ZD6L5P9f6Ar	UCES6P3frdkIMVkj95rxvLaw
20	Hey Joe	The Jimi Hendrix Experience	Are You Experienced	LIKE	3:31	Smp6AepJIhM	MPREb_8A32sVmzw1D	UC5NwXf8hOgZgInaYiOCZmUg
37	Purple Haze	The Jimi Hendrix Experience	Are You Experienced	LIKE	2:51	cbG7HEEPE1o	MPREb_8A32sVmzw1D	UC5NwXf8hOgZgInaYiOCZmUg
74	Little Wing	The Jimi Hendrix Experience	Axis: Bold As Love	LIKE	2:26	j1gfAStPNlU	MPREb_87dAc8h6pwW	UC5NwXf8hOgZgInaYiOCZmUg
75	Red House	The Jimi Hendrix Experience	Smash Hits	LIKE	3:51	HVaCfwjl_gM	MPREb_gaBJVZ2gUap	UC5NwXf8hOgZgInaYiOCZmUg
10	Somebody's Knockin'	T-Model Ford	Bad Man	LIKE	4:13	Nw_y-pyxa6M	MPREb_G0eZfqh9RUX	UCnDzoM-YVxXjFR-IpTnt_Lg
4	I Got A Break Baby	T-Bone Walker	The Complete Capitol / Black & White Recordings	LIKE	3:16	3IpwR3DD4Ec	MPREb_kdnP34Mpzj3	UCGUpBCmvcFSZUekLZjQnJFQ
53	Dirty Pool	Stevie Ray Vaughan And Double Trouble	Texas Flood	LIKE	5:01	gSLZaEFs1Mw	MPREb_e1QtSs6QaKL	UCG47N6MrGcPaJpVRgBoAVAQ
56	Pride and Joy	Stevie Ray Vaughan And Double Trouble	Texas Flood	LIKE	3:40	Chk4tCMRBxk	MPREb_e1QtSs6QaKL	UCG47N6MrGcPaJpVRgBoAVAQ
57	Texas Flood	Stevie Ray Vaughan And Double Trouble	Texas Flood	LIKE	5:21	OQuY7dHfWrM	MPREb_e1QtSs6QaKL	UCG47N6MrGcPaJpVRgBoAVAQ
