	title	artist	album	likeStatus	duration	videoId	albumId	artistId
140	Fine	yU	Before Taxes	LIKE	2:17	oN9RjSPXYuo	MPREb_giZ2KiLocrt	UCDU3iRt7rzlDZVabRVh9RjQ
255	Brooklyn	Youngblood Brass Band	center : level : roar	LIKE	6:52	p4AH_WQVz10	MPREb_794E4aCbD0X	UC9uBeewX9G6Nw2e0dU__Jfg
256	Heaven and Hell	William Onyeabor	World Psychedelic Classics 5: Who Is William Onyeabor?	LIKE	4:02	j5N8dQjrGnY	MPREb_zdWPPOphj5a	UCC8Kbo8OnDN_NQTB-y7HT4g
69	Taisho	Whitefield Brothers	Earthology	LIKE	2:23	THG-HmfhHeY	MPREb_QcJnNpoZES4	UCXWAfYnHSsWUEMLiUgEbTMw
245	Loco's Lament	Tommy Guerrero	No Mans Land	LIKE	2:24	G27pL-gBjnM	MPREb_lwRMNxxPRO2	UCsZx_92ubPsc-kgCWxkQ0xw
262	Soulful Strut	The Young-Holt Unlimited	The Definitive Young-Holt Unlimited	LIKE	3:01	Ygv4RMGwqMs	MPREb_3lwsA6jVQlV	UCTD25Heip4epnA7lTLMYHwQ
246	Insurrection	The Souljazz Orchestra	Freedom No Go Die	LIKE	3:39	jJoJsx0y_BU	MPREb_W1lRodJSB5r	UCw-Ke2v-tkGuf2ZK8LOcksA
260	Shaolin Theme	The Shaolin Afronauts	Flight of The Ancients	LIKE	4:38	4VnxKEZ6kcA	MPREb_ZpNyFkRhh47	UCVw8R983zHpdVQGmAocVhuA
267	Mercury's Odyssey	The Olympians	The Olympians	LIKE	3:38	ta4G1xOUcrE	MPREb_uIvIIC0SuA4	UCFE7df6PR_vdTFK4w73_9TQ
269	Sugarcane (Instrumental)	The M.G.'s	The MGs	LIKE	3:09	sNeZojDLTcc	MPREb_fgPpA0hZQMx	UCMO9n4XorIRdW3GnzWHBIvA
106	Dreams	The Electric Peanut Butter Company	Trans-Atlantic Psych Classics, Vol.2	LIKE	3:02	k9ju1tMpmVo	MPREb_lRxaRqNM9Lx	UCoMR2-mz-9BEK8ukntCnIoA
81	The Colour of Don Don	The Cactus Channel	Haptics	LIKE	4:04	81_oUB1rucE	MPREb_hdncGKqFBt4	UCxNZED9ZGW58mdS1QshBaJQ
20	Up From the South	The Budos Band	The Budos Band	LIKE	3:26	rNYUdeG6q4A	MPREb_a18sRKA9XRK	UCvQgxMD5WBq3JfJLHQkpcKA
63	Ghost Walk	The Budos Band	The Budos Band	LIKE	2:13	R6IXHHL7KA4	MPREb_a18sRKA9XRK	UCvQgxMD5WBq3JfJLHQkpcKA
85	T.I.B.W.F.	The Budos Band	The Budos Band	LIKE	2:40	WSVvMdfcp7I	MPREb_a18sRKA9XRK	UCvQgxMD5WBq3JfJLHQkpcKA
105	The Sticks	The Budos Band	Burnt Offering	LIKE	4:02	IGat7UOwVkA	MPREb_D9N9XS1N0RR	UCvQgxMD5WBq3JfJLHQkpcKA
108	Adeniji	The Budos Band	The Budos Band II	LIKE	2:45	mM0WZf_qJxA	MPREb_PSPFiwob1PY	UCvQgxMD5WBq3JfJLHQkpcKA
143	Aynotchesh Yererfu	The Budos Band	The Budos Band	LIKE	3:13	3npgQvoxa9w	MPREb_a18sRKA9XRK	UCvQgxMD5WBq3JfJLHQkpcKA
165	River Serpentine	The Budos Band	The Budos Band III	LIKE	3:10	AOhaGOl_Kng	MPREb_p4ZRPA5uUeS	UCvQgxMD5WBq3JfJLHQkpcKA
167	Reppirt Yad	The Budos Band	The Budos Band III	LIKE	2:57	7vtdsAQvJEI	MPREb_p4ZRPA5uUeS	UCvQgxMD5WBq3JfJLHQkpcKA
188	Unbroken, Unshaven	The Budos Band	The Budos Band III	LIKE	2:58	mWXFwdjp7s4	MPREb_p4ZRPA5uUeS	UCvQgxMD5WBq3JfJLHQkpcKA
257	Monkey See, Monkey Do	The Budos Band	The Budos Band	LIKE	6:00	j_kj-O_kCJk	MPREb_a18sRKA9XRK	UCvQgxMD5WBq3JfJLHQkpcKA
258	Eastbound	The Budos Band	The Budos Band	LIKE	3:43	YJDRBiDWXpo	MPREb_a18sRKA9XRK	UCvQgxMD5WBq3JfJLHQkpcKA
243	Lonely Boy (feat. Birdy Nixon)	Taggy Matcher	Singasong	LIKE	3:56	2UD3Mi_i7UM	MPREb_8lJiYQVpdpB	UCW8evrzNs08MwJRUbUrYcNg
244	La Californie	Souleance	La Beat Tape	LIKE	2:56	LmMzaS_JKjg	MPREb_tGQh6wsZIWK	UCfjIEqruZJbqsXvh4QOt-6w
251	Hot Shot	Saun & Starr	Daptone Records Singles Collection: Volume 4	LIKE	3:32	MBpVn_9zvTE	MPREb_1YteIs9OdXy	UCTyZ8aCg8IudLQXkj5VYXyA
3	Uprock (Instrumental)	RJD2	In Rare Form	LIKE	3:57	QCyztxAIZa4	MPREb_ftCA5So1c2g	UCi4oHqkqejwf7RWmHKaKKkA
117	1976	RJD2	Since We Last Spoke: Deluxe	LIKE	2:27	loz4wtmJIOU	MPREb_lokRPpqPjQF	UCi4oHqkqejwf7RWmHKaKKkA
174	Seven Light Years (Instrumental)	RJD2	In Rare Form	LIKE	4:07	IwRdbrUxrp4	MPREb_ftCA5So1c2g	UCi4oHqkqejwf7RWmHKaKKkA
16	When Everything Changed	Oddisee	Mental Liberation	LIKE	3:28	EF4_Ok9RHhU	MPREb_3cBlNP16es9	UC8saRlWqYkWEVtwgNH12ZeA
23	Mattered Much	Oddisee	Rock Creek Park	LIKE	3:55	idJFgD52eMM	MPREb_g27wqx3emZq	UC8saRlWqYkWEVtwgNH12ZeA
101	Skipping Rocks	Oddisee	Rock Creek Park	LIKE	4:10	N2xvWLXGmuE	MPREb_g27wqx3emZq	UC8saRlWqYkWEVtwgNH12ZeA
215	No Rules for Kings	Oddisee	The Beauty in All	LIKE	4:12	7wsvokn8cCg	MPREb_itGhBh4yRHI	UC8saRlWqYkWEVtwgNH12ZeA
248	Look at the sun	Mister Modo & Ugly Mac Beer	Modonut	LIKE	3:39	cGrkppJZnlA	MPREb_ys9FGFLoxqZ	UCj8mVWiBl256CIfVl3qFHwA
2	Tired of Fighting	Menahan Street Band	Make the Road By Walking	LIKE	3:32	F-OeFm6y384	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
21	Make the Road By Walking	Menahan Street Band	Make the Road By Walking	LIKE	3:04	iV93hXBZinw	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
39	Home Again	Menahan Street Band	Make the Road By Walking	LIKE	3:23	jEGUoWqFZu0	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
87	Karina	Menahan Street Band	Make the Road By Walking	LIKE	3:26	pbRMTtDwhD8	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
109	Going the Distance	Menahan Street Band	Make the Road By Walking	LIKE	2:35	FMHPqBu9Y-0	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
146	Montego Sunset	Menahan Street Band	Make the Road By Walking	LIKE	3:19	8J9PsnJ88UY	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
184	The Traitor	Menahan Street Band	Make the Road By Walking	LIKE	2:43	WmSb9YLDSYs	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
265	Make the Road By Walking	Menahan Street Band	Make the Road By Walking	LIKE	3:04	iV93hXBZinw	MPREb_aJm3Z1iHJvP	UCjuVg-DCkLMP-R83_iV_8pQ
273	Let's Stay Together	Little Beaver	Black Rhapsody Instrumental	LIKE	3:01	_7e0b_i-71M	MPREb_lBrUfM4lPuA	UCGtTXvijWuiKtPQUTRqR94g
15	Expressions Theme	Lee Fields & The Expressions	My World	LIKE	2:51	G3THBP53rag	MPREb_qEcwqnaUp0q	UCHpBOdDgNkQK2HK22WMffqw
38	Honey Dove	Lee Fields & The Expressions	My World	LIKE	4:06	ZkBCu4Vz6_s	MPREb_qEcwqnaUp0q	UCHpBOdDgNkQK2HK22WMffqw
66	All I Need	Lee Fields & The Expressions	Emma Jean	LIKE	3:34	Leb1hk--7qw	MPREb_fDrGdMAs1SB	UCHpBOdDgNkQK2HK22WMffqw
225	Special Night (Instrumental)	Lee Fields & The Expressions	Special Night (Instrumentals) (Instrumentals)	LIKE	5:54	UBrCkvuR6_Q	MPREb_0HHEW5W4tH6	UCHpBOdDgNkQK2HK22WMffqw
233	My World Is Empty Without You	Lee Fields & The Expressions	My World	LIKE	4:01	irNg3JO9Kdw	MPREb_qEcwqnaUp0q	UCHpBOdDgNkQK2HK22WMffqw
271	Special Night (Instrumental)	Lee Fields & The Expressions	Special Night (Instrumentals) (Instrumentals)	LIKE	5:54	UBrCkvuR6_Q	MPREb_0HHEW5W4tH6	UCHpBOdDgNkQK2HK22WMffqw
47	Faithful Man (Instrumental)	Lee Fields	Faithful Man (Instrumentals)	LIKE	4:05	VXNL4i_Wb7E	MPREb_WcSkZA13Z6z	UCHpBOdDgNkQK2HK22WMffqw
252	Gateau des rois (feat. Creestal)	La Fine Equipe	La Boulangerie	LIKE	1:59	Ey5397FAchk	MPREb_hgB91xG2nL3	UC7cHHrC1_cemc78cLheOrFA
263	Summer Madness	Khruangbin	Summer Madness	LIKE	3:22	NUuLhuHGVeg	MPREb_U1OFrBodNgb	UCW2SLxltqPa553qretr4KzQ
161	Hassaan Be Rappin' (Instrumental)	Kev Brown & Hassaan Mackey	That Grit	LIKE	3:15	S1PlTDvH1Yk	MPREb_eZBpMeWpzhD	UCCWtP_MFvR3c6_pCp8I2HyA
218	Blue Avenue	Jazz Liberatorz	Fruit of the Past	LIKE	3:11	gSUnPK-h-MI	MPREb_F0qm6F0WmxO	UCz7DdNBOAyIdc6qVos6pMyw
59	Heeey (Instrumental)	J. Rawls	The Hip-Hop Affect (Instrumentals)	LIKE	4:19	Fk1gourJ0Rs	MPREb_HFX4i6xs4uE	UC3TS-bTrEunHz-bNVX_FwEA
58	By Hook or by Crook	Ikebe Shakedown	Stone by Stone	LIKE	4:08	oAVz8zVcSIY	MPREb_diZNEPv7Dc4	UC20CZIzh2uR71kH3eapYPPw
89	Rio Grande	Ikebe Shakedown	Stone by Stone	LIKE	3:51	EgvBfkL7fJ8	MPREb_diZNEPv7Dc4	UC20CZIzh2uR71kH3eapYPPw
268	Gentle Thoughts	Herbie Hancock	Secrets	LIKE	7:03	E7-eYsjAp20	MPREb_heefY1tJYcy	UCq_O_14tCKbx9U9uUT_LEPA
40	Ain't No Sunshine	Harlem Underground Band	Death Mix: the Best of Paul Winley Records	LIKE	2:23	_dKURdXpt34	MPREb_3Q0s7X2kZFq	UCBMNRr5anqaA44FBwBJBq1Q
247	Didn’t I? (Guts Re-Edit)	Guts	Brand New Revolution - EP	LIKE	3:55	MizTXmTOOh0	MPREb_SPGTSV18JD8	UC09LsmkOdhB4tMimiqcZIpw
270	Brokenfolks	Georgia Anne Muldrow	VWETO II	LIKE	4:29	oJabLChQ8Bs	MPREb_zqxTjothig0	UCBProw_utwiRAa0wPtVnYeg
62	Never Stop Loving	Exile	Zip Disks & Floppies	LIKE	2:16	Q2jGB0AEtv4	MPREb_IZWuGtD5dym	UCXSWa3sewHZXLx8I9YCOOYg
272	Paint On My Old Skools	Eric Boss	Paint On My Old Skools	LIKE	3:43	pIoImdkKSf8	MPREb_v5B43lL9XkT	UCBbSiNuf8NqEKtZUCik-lPQ
0	C.R.E.A.M.	El Michels Affair	Enter The 37th Chamber	LIKE	2:54	6LjdJgTSIRo	MPREb_WaW9sNFB7rz	UCkT-SJm24vsK5gGcYzg8MRQ
7	Creation	El Michels Affair	Sounding Out the City	LIKE	3:10	HPzcea5UbrI	MPREb_Qxa6imt6Gpt	UCkT-SJm24vsK5gGcYzg8MRQ
9	Tearz	El Michels Affair	Return To The 37th Chamber	LIKE	2:31	1O4KN3U9XaM	MPREb_qkbubO5m0SN	UCkT-SJm24vsK5gGcYzg8MRQ
45	Can It All Be So Simple	El Michels Affair	Enter The 37th Chamber	LIKE	3:17	6_E3VzxtRMc	MPREb_WaW9sNFB7rz	UCkT-SJm24vsK5gGcYzg8MRQ
72	Snakes	El Michels Affair	Return To The 37th Chamber	LIKE	2:07	VnHZe_wwzdU	MPREb_qkbubO5m0SN	UCkT-SJm24vsK5gGcYzg8MRQ
90	Heaven & Hell	El Michels Affair	Enter The 37th Chamber	LIKE	2:09	65O3aUt9pDM	MPREb_WaW9sNFB7rz	UCkT-SJm24vsK5gGcYzg8MRQ
102	This Song's For You	El Michels Affair	Sounding Out the City	LIKE	2:45	Fd1A4Fu9Y3M	MPREb_Qxa6imt6Gpt	UCkT-SJm24vsK5gGcYzg8MRQ
249	Yennicita (Alternate Version)	El Michels Affair	Loose Change	LIKE	3:04	iQWU7cwtrN8	MPREb_piduMt65AD4	UCkT-SJm24vsK5gGcYzg8MRQ
