	title	artist	album	likeStatus	duration	videoId	albumId	artistId
21	Let It Snow, Let It Snow, Let It Snow	Vaughn Monroe	Presenting Vaughn Monroe	INDIFFERENT	3:05	o8rLgCyL6SI	MPREb_etlg1CpcjFJ	UCYeBCNM_ZyAzoMtlJJ03-mA
9	Have Yourself a Merry Little Christmas	Tony Bennett	A Swingin' Christmas Featuring The Count Basie Big Band	INDIFFERENT	4:35	AbtQQ8zsm3s	MPREb_RD6AJTdplXg	UCQgu2j5deAy_cJfByew18qg
35	My Favourite Things	Tony Bennett	Snowfall: The Tony Bennett Christmas Album	INDIFFERENT	3:17	bg8wCNm_uVI	MPREb_IuCQajrDGQn	UCQgu2j5deAy_cJfByew18qg
43	Winter Wonderland	Tony Bennett	A Swingin' Christmas Featuring The Count Basie Big Band	INDIFFERENT	2:30	pjFrka8dnaY	MPREb_RD6AJTdplXg	UCQgu2j5deAy_cJfByew18qg
55	Home for the Holidays	Robert Goulet	16 Most Requested Songs - Christmas Encore!	INDIFFERENT	2:42	v7gIWkQ-cTc	MPREb_dSXBWxYZ7mP	UCoy6ZOv7i1Yn2UeKCgBTGeQ
7	Santa Claus Is Comin' to Town (1946 Version)	Perry Como	A Perry Como Christmas	INDIFFERENT	2:22	uSIuZP4Rb0s	MPREb_Ac3szXPHZF1	UC5YpN7PZAbf-HHzsVSExZIw
29	It's Beginning to Look a Lot Like Christmas	Perry Como	Greatest Christmas Songs	INDIFFERENT	2:36	ex7A4R-_3-g	MPREb_zPqMUKBbL8c	UC5YpN7PZAbf-HHzsVSExZIw
45	Christmas Eve	Perry Como	A Perry Como Christmas	INDIFFERENT	2:48	-GxDKeUzGKU	MPREb_Ac3szXPHZF1	UC5YpN7PZAbf-HHzsVSExZIw
8	The First Noel	Pat Boone	White Christmas	INDIFFERENT	2:58	IZIfh0mxiCM	MPREb_2P4a8V2qdUl	UC8Ez4f5lLUgx6s8riDjVJ9w
51	O Holy Night	Pat Boone	A Happy Family Christmas	INDIFFERENT	2:06	cNKAlFx_gpc	MPREb_kd8FBaOBNGR	UC8Ez4f5lLUgx6s8riDjVJ9w
47	All I Want For Christmas (Is My Two Front Teeth)	Nat King Cole Trio	The Christmas Song	INDIFFERENT	2:33	PsoZf6W5T4g	MPREb_HhajNWNW2Mi	UCirPLQsYtHWBmalEbX1LcAA
3	The Christmas Song (Merry Christmas To You)	Nat King Cole	The Christmas Song (Expanded Edition)	INDIFFERENT	3:13	1Jp3XIqTR2w	MPREb_fckyR3KQsFB	UCirPLQsYtHWBmalEbX1LcAA
10	The Christmas Song (feat. Natalie Cole)	Nat King Cole	The Christmas Song (Expanded Edition)	INDIFFERENT	3:45	WqKFAzqBLa0	MPREb_fckyR3KQsFB	UCirPLQsYtHWBmalEbX1LcAA
22	Caroling, Caroling (1999 Remastered)	Nat King Cole	The Christmas Song	INDIFFERENT	2:03	62EZdywj3CE	MPREb_HhajNWNW2Mi	UCirPLQsYtHWBmalEbX1LcAA
40	O Tannenbaum (Remastered 1999)	Nat King Cole	The Christmas Song	INDIFFERENT	3:02	cZQEbJOFOHw	MPREb_HhajNWNW2Mi	UCirPLQsYtHWBmalEbX1LcAA
53	Mrs Santa Claus	Nat King Cole	Cosy Christmas: Fireside Classics	INDIFFERENT	2:10	ctiQ-xTxEag	MPREb_e4yKnA0xdy5	UCirPLQsYtHWBmalEbX1LcAA
42	It’s Beginning to Look A Lot Like Christmas	Michael Ball	Together At Christmas	INDIFFERENT	3:08	uuiN9s45owc	MPREb_U4RHXd8na27	UCF9x3d-8ROOIhx_FK-ZL2Gw
41	The Christmas Song (Chestnuts Roasting On An Open Fire) (Live At The Crescendo / 1955)	Mel Tormé	Mel Torme At The Crescendo (Live 1955)	INDIFFERENT	3:05	5Dcia2P3uXQ	MPREb_OZNK17yuW8V	UCYLwWpHekuN6mOxqmqUUJfw
44	Christmas Night In Harlem	Louis Armstrong	Traditional Jazz Christmas	INDIFFERENT	2:40	yBVxu_sXaPM	MPREb_3qifdOKnT96	UCCDaSui4C9VFMpeRlKEOHDA
48	Christmas In New Orleans	Louis Armstrong	Traditional Christmas Classics	INDIFFERENT	2:54	2mOir6MPSGw	MPREb_W0RsWXbuY6K	UCCDaSui4C9VFMpeRlKEOHDA
54	Merry Christmas, Baby	Lou Rawls	Merry Christmas Ho! Ho! Ho!	INDIFFERENT	2:38	PzFgUa5yCbs	MPREb_0KKUzGX5MSy	UCvmhRo4Bg1TCuSlONNP5gsg
6	Santa Claus Is Coming To Town	Johnny Mercer	The Year Without A Santa Claus	INDIFFERENT	2:47	wH9-EAqctd8	MPREb_Xd0naCRCq2C	UCzU9sXZyaZy_ByAti0C0sPA
0	Winter Wonderland	Johnny Mathis	Merry Christmas	INDIFFERENT	3:18	PwouhKWcOKY	MPREb_Wqw5YSM9kns	UCeiIptSgXN8lMHHrEKDy48g
19	We Need a Little Christmas	Johnny Mathis	Christmas Crooners	INDIFFERENT	1:55	vBvA-OlLjcw	MPREb_UF31sUHKv0n	UCeiIptSgXN8lMHHrEKDy48g
28	It's Beginning to Look a Lot Like Christmas	Johnny Mathis	Christmas Crooners	INDIFFERENT	2:15	Om7mLfU03mk	MPREb_UF31sUHKv0n	UCeiIptSgXN8lMHHrEKDy48g
37	Sleigh Ride	Johnny Mathis	Merry Christmas	INDIFFERENT	2:59	Lzw9B6r6CL4	MPREb_Wqw5YSM9kns	UCeiIptSgXN8lMHHrEKDy48g
39	Silver Bells	Johnny Mathis	Merry Christmas	INDIFFERENT	3:34	lj9PJZ9J35E	MPREb_Wqw5YSM9kns	UCeiIptSgXN8lMHHrEKDy48g
50	The First Noel	Jerry Vale	A Personal Christmas Collection	INDIFFERENT	2:45	EK87f9v-urE	MPREb_bvLmme6U2CX	UCT2CFZ12aF8P7ARMcoQOJog
2	Mary's Boy Child	Harry Belafonte	An Evening with Belafonte	INDIFFERENT	4:23	XuQY51elUh8	MPREb_6sqkhyICfEn	UCWmcGTCEbVYljjf7XKg8znQ
49	Pretty Paper	Glen Campbell	That Christmas Feeling	INDIFFERENT	2:49	cKs4fjAidsI	MPREb_4X9tBCiDIMK	UC15oEYQs4nloXRNtlO64_AA
38	Sleigh Bells (Single Version)	Gene Autry; Orchestra conducted by Carl Cotner	A Gene Autry Christmas	INDIFFERENT	2:20	UV7g9-musu0	MPREb_155x3Dswf4T	UC0mF9opJ3jUtv-5dUOINm9Q
32	Here Comes Santa Claus (Down Santa Claus Lane) (1947 Version)	Gene Autry	A Gene Autry Christmas	INDIFFERENT	2:30	iPi9PSU589k	MPREb_155x3Dswf4T	UC0mF9opJ3jUtv-5dUOINm9Q
34	Rudolph the Red-Nosed Reindeer	Gene Autry	Rudolph The Red Nosed Reindeer And Other Christmas Classics	INDIFFERENT	3:07	xjLTDaCUYuQ	MPREb_yLoyMVLnoNt	UC0mF9opJ3jUtv-5dUOINm9Q
16	Adeste Fideles	Frank Sinatra & John Francis Wade	Merry Christmas! Vol.10	INDIFFERENT	2:42	FEtZ4cOk7yM	MPREb_1F3Cpv3YsJo	
14	Have Yourself A Merry Little Christmas	Frank Sinatra	The Christmas Collection	INDIFFERENT	3:56	mkMMEMy4t6Q	MPREb_sSJZrr8vKjk	UC1zsfp3OD8qWQ0HfLbz2TXg
25	Jingle Bells (Remastered 1999)	Frank Sinatra	A Jolly Christmas From Frank Sinatra	INDIFFERENT	2:01	8aW5n_dV8VY	MPREb_ogPxqKs8VGj	UC1zsfp3OD8qWQ0HfLbz2TXg
36	The Christmas Waltz	Frank Sinatra	A Jolly Christmas From Frank Sinatra	INDIFFERENT	3:02	OfmcEok4mkE	MPREb_ogPxqKs8VGj	UC1zsfp3OD8qWQ0HfLbz2TXg
11	Christmas Alphabet	Dickie Valentine	Christmas Music Box	INDIFFERENT	2:08	jmm-cYSm8Pw	MPREb_sdPCrwHE1Fq	UCKWSdrph4MA3qYG-R4MlwGQ
5	I’ve Got My Love to Keep Me Warm	Dean Martin	Deluxe: Greatest Hits - Dean Martin	INDIFFERENT	2:46	Mvy3nQ_06mE	MPREb_8fObLR5kFLa	UCWbQ2D5aaB4tpqIE4TzTAAA
26	Merry Christmas Baby	Chuck Berry	St. Louis To Liverpool	INDIFFERENT	3:14	MN8o9jaVq_U	MPREb_NJQNtPcxGVO	UCUfKmP9mv1yUkxlE5DDX5Zg
52	The Bell That Couldn't Jingle	Burt Bacharach	Lost Christmas 2 - Holiday Rarities	INDIFFERENT	2:35	a8MWAcofzZY	MPREb_iTF9PqK8bFj	UC9ytb5oEKF9dpFtB6CiDOFw
12	Rudolph The Red-Nosed Reindeer	Burl Ives	Have A Holly Jolly Christmas	INDIFFERENT	2:11	5UqZi5OU6zM	MPREb_wvyK3q5awSj	UCl2j2shAiHLlGu0JSm-4dCQ
27	"Silver And Gold (From ""Rudolph The Red-Nosed Reindeer"" Soundtrack)"	Burl Ives	Rudolph The Red-Nosed Reindeer	INDIFFERENT	1:46	7t6DhAkhpq8	MPREb_3RiDt6WWajK	UCl2j2shAiHLlGu0JSm-4dCQ
31	A Holly Jolly Christmas (Single Version)	Burl Ives	Have A Holly Jolly Christmas	INDIFFERENT	2:16	P_dI6fVZwd0	MPREb_wvyK3q5awSj	UCl2j2shAiHLlGu0JSm-4dCQ
57	I Saw Mommy Kissing Santa Claus	Bobby Sherman	111 Superhits for Christmas	INDIFFERENT	2:18	1jqZxlcQGfg	MPREb_iw7llr3Miqr	UCcN2x9ZsnRpYZB67C0qbRyA
20	O Come All Ye Faithful	Bobby Darin	25th Day Of December With Bobby Darin	INDIFFERENT	2:23	J5eX3zFfekA	MPREb_8MLHx34dHL7	UCj_otreRPRMynq2_gZj9s3w
13	Do You Hear What I Hear? (Remastered 2006)	Bing Crosby	Bing Crosby - Christmas Classics	INDIFFERENT	2:46	FhTnDaEmA5k	MPREb_MgP4yVxm5KX	UC3BuiU3nA2hT9Fq0ekBIcuQ
