title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Springs	oOoOO	Our Loving Is Hurting Us	LIKE	vxoZakNGD7I	MPREb_8sgoz8WpJla	UCdTMMegAh48Awz6QuL-T1HA	electronic Underjord
Horrid	Zomby	With Love	LIKE	gR7_Wr681GI	MPREb_ZeJ9ThrM4Jk	UCOYlATyfI4ceyExJblL2KCw	electronic Underjord
Times	Youandewan	Times	LIKE	P1CoZZGmQqM	MPREb_PECXRoXM0YJ	UCU6zBxNudv6wTSNC-B4MsTA	electronic Underjord
1988	Youandewan	Tarifa Groove Collections 13 - Masterpiece	LIKE	D3-YjTTnQ4g	MPREb_o1T4zqSH8OA	UCU6zBxNudv6wTSNC-B4MsTA	electronic Underjord
DMT	Xxyyxx	XXYYXX	LIKE	HA4WjTHFZ9M	MPREb_xqxz87ZIhzx	UCUcx3EbMec0VefJ--nbarOA	electronic Underjord
About You	Xxyyxx	XXYYXX	LIKE	IrXduTLS2qk	MPREb_xqxz87ZIhzx	UCUcx3EbMec0VefJ--nbarOA	electronic Underjord
Circles (feat. WIFE)	WIFE	Stoic EP	LIKE	wXq8azwRY3s	MPREb_FIkeH4FM1Qa	UC4jqKoY4ou9c0cSWEjNBBoQ	electronic Underjord
Hasty Boom Alert	U-Ziq	Lunatic Harness	LIKE	3c_E09gib-Y	MPREb_suLHdTyws8L	UC7IoxqTlXj7Kky2eW3Hnvpg	electronic Underjord
Digital Love Letters	Two Inch Punch	Saturn: The Slow Jams EP	LIKE	24GXokLY40U	MPREb_WzRkWKlJ1Ui	UCIR_TrTahQOrS88b-lscVsA	electronic Underjord
Moan (Trentemøller Remix)	Trentemøller	Moan	LIKE	1LaCkGJSnC4	MPREb_mQpOHRoTKSM	UCVKQD_Paj5SopCxS-qudbHg	electronic Underjord
Candy Tongue (Jenny Wilson Version)	Trentemøller	Lost Reworks	LIKE	dzeBBXiFuQ8	MPREb_SR8XIirNpOj	UCVKQD_Paj5SopCxS-qudbHg	electronic Underjord
Shadower	Throwing Snow	Shadower / Sanctum	LIKE	MIl1W7zuXi4	MPREb_FSrNgj4J0ph	UCA4-_IvCNYKlFzQMPy1EUFw	electronic Underjord
