	title	artist	album	likeStatus	duration	videoId	albumId	artistId
8	Trytry	oOoOO	Our Loving Is Hurting Us	INDIFFERENT	3:00	SqmolniFayw	MPREb_8sgoz8WpJla	UCdTMMegAh48Awz6QuL-T1HA
34	inside	jhfly	sounds and things	INDIFFERENT	1:50	RImF4YKZSQM	MPREb_fucYM6iQwOG	UCnJ-mD-pzJbyJmU8eyB35vA
20	Laundry	edIT	Crying over Pros for No Reason (Deluxe Edition)	INDIFFERENT	5:45	KHDHQHm5-js	MPREb_UF2U4BXwCGA	UCeNjTa3N2IrAaOA-rZoIVJg
15	Soliloquy	Zomby	With Love	INDIFFERENT	3:57	2C9Uwl5WWko	MPREb_ZeJ9ThrM4Jk	UCOYlATyfI4ceyExJblL2KCw
16	Not The Only One	William Arcane	Permanence	INDIFFERENT	3:25	e-EBy1_xddY	MPREb_EOLQdq7zKZB	UCLTL3qnqhzhFw1jMnjFQM2g
0	Reconsider (Jamie xx Edit)	The xx	Jamie xx Edits	INDIFFERENT	5:32	nnI62ttLk1g	MPREb_hEhZE0JytDO	UCQ1Xqlk89CLZ9aAFyo-1THg
10	Ra	The Acid	Liminal	INDIFFERENT	3:23	iHpZgRAfPHM	MPREb_YKW6fSUaz72	UCNcXNgHHNzVXLsl06pp16Ug
26	Dress	Sylvan Esso	Sylvan Esso	INDIFFERENT	3:50	UCuC-BI9bFU	MPREb_mikDhqzf0UX	UCo2TtupcsAkNLwwK6yrO9dw
32	The Upper Peninsula	Sufjan Stevens	Michigan	INDIFFERENT	3:23	_iSp7vVp4_E	MPREb_bjNX9dNCCNA	UC5sOhxfts379lOCXaIAinyw
30	Meet Ur Maker	Shlohmo	Dark Red	INDIFFERENT	5:24	r2XxCOZ1X7Q	MPREb_npgcvne7U0a	UCnCEHQJ4sNkIkkqsPp9u-Ag
22	Lexapro Delirium	Sewerslvt	Draining Love Story	INDIFFERENT	7:16	0KNxOBerr_8	MPREb_rV7kVqTR7Ja	UCKGYsaY8I62fXzHhywZAG6w
28	Swinging in His Cell	Sewerslvt	Draining Love Story	INDIFFERENT	5:23	CKNP6fzTGxw	MPREb_rV7kVqTR7Ja	UCKGYsaY8I62fXzHhywZAG6w
4	Never Never (feat. Sampha)	SBTRKT	SBTRKT	INDIFFERENT	3:58	0p4mSHT-U_0	MPREb_LCPfgujuplX	UCaWaWjoxiBI0Pcj4l8fKzmQ
