title	artist	album	likeStatus	videoId	albumId	artistId	playlists
'Round Midnight	Thelonious Monk	The Very Best	LIKE	4AOc8a2Nv2M	MPREb_XsQJjyKfiC0	UCyCL_gVNVoWZTjkw-KnuIDg	jazz blue note radio
Midnight Blue (Remastered 1999/Rudy Van Gelder Edition)	Kenny Burrell	Midnight Blue (The Rudy Van Gelder Edition)	LIKE	F5xhrGqTeos	MPREb_Az7ym79DUwT	UCxIGOyqgyrj2pKCPKZmDRYg	jazz blue note radio
Wes' Tune	Wes Montgomery	Montgomeryland	INDIFFERENT	Sxd1XfHnhXY	MPREb_kyhE0VLZr08	UCYs8ep9Xe3RQc3Oy4BWKNAw	jazz blue note radio
Speak No Evil (Remastered1998/Rudy Van Gelder Edition)	Wayne Shorter	Speak No Evil (The Rudy Van Gelder Edition)	INDIFFERENT	Vdc3KJVopU4	MPREb_YdfvnV0sRce	UC3X4afoYfFCLWw1LTfeLCqA	jazz blue note radio
Cantaloop (Flip Fantasia) (feat. Rahsaan & Gerard Presencer)	Us3	Hand On The Torch	INDIFFERENT	yn1XU_vgjag	MPREb_zuTz9tNWpbE	UCt9tMG_6HOqK-oFsJsAT83g	jazz blue note radio
Who Knows? (Rudy Van Gelder 24-Bit Mastering / 2001 Digital Remaster)	Thelonious Monk	Genius Of Modern Music (Vol.1, Expanded Edition)	INDIFFERENT	jVaE9cNVqJU	MPREb_tSGaCpiYtC1	UCyCL_gVNVoWZTjkw-KnuIDg	jazz blue note radio
Perception (Remastered 2005/Rudy Van Gelder Edition)	The Blue Mitchell Quintet	Down With It! (Remastered 2005/Rudy Van Gelder Edition)	INDIFFERENT	SwI1tFGmzP4	MPREb_52qD4QHZwsN	UCwNhF_DdyQc4G7Of8aVFV6g	jazz blue note radio
Fred Brown	Terence Blanchard	Bounce	INDIFFERENT	lTao2Hm0JQk	MPREb_56OoIdtUAgN	UCj_Q6_C3UFxfxaALqmAavkQ	jazz blue note radio
Of Things To Come	Stefon Harris	Black Action Figure	INDIFFERENT	-Mnb5WwODDg	MPREb_NKK9TPtFIKB	UCl_bI2T0l9XVciStvO4Q4wA	jazz blue note radio
La Fiesta	Stanley Turrentine	The Spoiler	INDIFFERENT	byzyso1nqwY	MPREb_UUleOMxHvPw	UCeciEMrSBKfcTShhF-Xe1Lg	jazz blue note radio
Stolen Moments	Stanley Jordan	Stolen Moments	INDIFFERENT	6fuSTTcSDF4	MPREb_SYWveNyhL2R	UCM7zEKsOsfBKsFGuAajqmRA	jazz blue note radio
Doin' Something	Soulive	Doin' Something	INDIFFERENT	hO9fXnps-O4	MPREb_0WeVGM5BYQM	UCMPLkcyo1_DcwCzKzZW0Bfg	jazz blue note radio
Blame It On The Blues (Alternate Take)	Sidney Bechet	The Best Of Sidney Bechet	INDIFFERENT	W7pYLULtH-A	MPREb_Ye73yp0OZ1q	UCJdP0RSsGpcdI8S_aH5Y7yQ	jazz blue note radio
Point Of Many Returns	Sam Rivers	Contours	INDIFFERENT	PpAm_uL6Dbs	MPREb_S1gbiArUWu5	UCXaK4_jdTYQ_9We2OEI8yxQ	jazz blue note radio
No Pay, No Play	Ronny Jordan	Off The Record	INDIFFERENT	EoZYzGAmE7Y	MPREb_V0qfdpCeahW	UCpVqUbp1Q3LPlOg4DG6F6pQ	jazz blue note radio
Always There	Ronnie Laws	Pressure Sensitive	INDIFFERENT	aiHLQWUq0hI	MPREb_uDoyjbHfBjv	UCWO4HapT5n_pFzCVcjA0i_g	jazz blue note radio
Calls (feat. Jill Scott)	Robert Glasper Experiment	Black Radio 2 (Deluxe)	INDIFFERENT	jNlgQ25pGoM	MPREb_TQ0R02MsATl	UCLFHVgbSwvTgM1PcsOCvHjw	jazz blue note radio
Maiden Voyage / Everything In Its Right Place	Robert Glasper	In My Element	INDIFFERENT	z_5Q8jPNnvw	MPREb_EqNjGjzMzLB	UCLFHVgbSwvTgM1PcsOCvHjw	jazz blue note radio
Mr. Big Stuff	Reuben Wilson	Set Us Free	INDIFFERENT	DVKg7VketJM	MPREb_KR0ROkQh18r	UCHmQ54YzASQz0ksHN8CCopA	jazz blue note radio
Round Trip	Ornette Coleman	New York Is Now!	INDIFFERENT	-j5UZ5RMiX0	MPREb_cWuppq62VNR	UCMD_nRrrkezVzMumc1hBuwQ	jazz blue note radio
Come Away With Me	Norah Jones	Come Away With Me	INDIFFERENT	mvLDrx3YQ4Q	MPREb_zaeXNvUHDOB	UCxRuL2yOu2ydTJNZuYdU0qg	jazz blue note radio
Dear Old Stockholm (Remastered 1998)	Miles Davis Sextet	Take Off: The Complete Blue Note Albums	INDIFFERENT	1e9sNrg-5MA	MPREb_KE60IbQqAr2	UCIev2PktTH5mI-QlGmbUkiw	jazz blue note radio
Move (Remastered 1998)	Miles Davis	The Complete Birth Of The Cool	INDIFFERENT	I9ik43_XsNU	MPREb_irvT6VQhWcx	UCIev2PktTH5mI-QlGmbUkiw	jazz blue note radio
Bloody Oil	Medeski Martin & Wood	End Of The World Party (Just In Case)	INDIFFERENT	Fs2h8DditUk	MPREb_KkBbjkSDdPh	UCXlUuoNxnI4-44DG3AEL64Q	jazz blue note radio
Four By Five	McCoy Tyner	The Real McCoy (Remastered / Rudy Van Gelder Edition)	INDIFFERENT	1CO-eIhgxuU	MPREb_RufL3itQ28T	UCry80POSt0-Wwzfn1geo9_A	jazz blue note radio
Midnight Creeper	Lou Donaldson	Midnight Creeper	INDIFFERENT	L-juHx0LdgM	MPREb_xetUBHHfr64	UCSakqU-Bxg4YHej0uQPKtpQ	jazz blue note radio
Pot Belly	Lou Donaldson	Blue Break Beats	INDIFFERENT	DHG_ZVeCP7o	MPREb_YQLkxAnLurV	UCSakqU-Bxg4YHej0uQPKtpQ	jazz blue note radio
Straight Ahead (Remasted 1998/ Rudy Van Gelder Edition)	Kenny Dorham	Una Mas	INDIFFERENT	7dxoLesUB5M	MPREb_gMMR1zLaJLG	UC_Ce7qu1JxsmB8Rd8BBFA2g	jazz blue note radio
Bigtop	John Scofield	Steady Groovin': The Blue Note Groove Sides	INDIFFERENT	XA1E9zcM6rQ	MPREb_ohd0oTbdtBQ	UC0rFZyc35e4rMpKcJswXwKQ	jazz blue note radio
Homestretch (Rudy Van Gelder Edition / 1999 Digital Remaster / 24-Bit Mastering)	Joe Henderson	Page One	INDIFFERENT	_Gkj1mQIONI	MPREb_AL1dT0bEGPD	UCesI76Zv2OMBh6SyN6iydfw	jazz blue note radio
Groanin' (Rudy Van Gelder/24-Bit Remastering/2003)	Jimmy Smith	Home Cookin'	INDIFFERENT	1DkfIKbGwUo	MPREb_ZR3vlMJ9zRj	UCQe7Yuc7HJi_u2X_TPv3MJA	jazz blue note radio
Back At The Chicken Shack	Jimmy Smith	Back At The Chicken Shack	INDIFFERENT	3rmIIvimeUY	MPREb_e4NKpU1gb0H	UCQe7Yuc7HJi_u2X_TPv3MJA	jazz blue note radio
Planet Rock (Instrumental)	Jason Moran	Modernistic	INDIFFERENT	2xwEoAn-Grk	MPREb_lx8XyOip8Tw	UC3Nr0amVupkcDTaanwQjv7A	jazz blue note radio
Right Now	Jackie McLean	Right Now	INDIFFERENT	HINNMrDOsWg	MPREb_wIV8kXkfsuI	UCoyhDuOmAW7PpH25RO-pm1g	jazz blue note radio
