	title	artist	album	likeStatus	duration	videoId	albumId	artistId
12	I Wish I Knew	Wes Montgomery	So Much Guitar!	INDIFFERENT	5:28	OEqNewy3VVc	MPREb_MmqwfqnChK9	UCYs8ep9Xe3RQc3Oy4BWKNAw
33	The Thumb	Wes Montgomery	Tequila (Expanded Edition)	INDIFFERENT	4:49	zFCVV-dFAe8	MPREb_4TsLAZ02fKY	UCYs8ep9Xe3RQc3Oy4BWKNAw
5	Over The Rainbow / If I Only Had A Brain	Tuck Andress	Reckless Precision	INDIFFERENT	4:42	6gVRJcq083g	MPREb_kYfesX8yS6V	UCO1SxGpSxHAtP0fcz8YHCvA
9	Angels We Have Heard On High	Tuck Andress	Hymns,Carols And Songs About Snow	INDIFFERENT	1:17	JIm3j3KfN5Q	MPREb_GRnYAwcka5i	UCO1SxGpSxHAtP0fcz8YHCvA
58	Autumn Leaves	Tal Farlow	The Interpretations Of Tal Farlow	INDIFFERENT	1:42	dBMg111K1us	MPREb_7B3LD5M9VAy	UC5-rxXBIg9AAuGe094HT3cg
16	The Two Lonely People (feat. Stephen D. Anderson)	Stephen D. Anderson	Remembering the Rain: The Music of Bill Evans	INDIFFERENT	4:07	UKpmpU97HFg	MPREb_b97IjUCwTdj	UCvZbluR5L70kKrVY1OhgP2g
7	Fried Bananas	Philip Catherine & Martin Wind	New Folks	INDIFFERENT	4:21	uRsi4BrzeRg	MPREb_kjGNgFWH4bg	UCj5NzqFnOQdGrUwvdx4hhog
49	It's A Shame	Paul Jackson Jr.	Blue Note Plays Stevie Wonder	INDIFFERENT	4:14	VeehkWPFGao	MPREb_qEC2pjKwfUl	UCkTsNv_LQz7MFXrtG-uy3Dg
57	Three Flights Up	Pat Metheny	Question and Answer	INDIFFERENT	6:10	QmwLpPl6dws	MPREb_z5gK0PPPN8A	UCFFpzGzXK2Zw8fPher2JObA
29	In Your Own Sweet Way	Pat Martino	Formidable	INDIFFERENT	8:16	QVrS0r4wvMw	MPREb_KsOtfjIEpzw	UCUB31jF3RaFkHG-Ty55vaIQ
31	Impressions	Pat Martino	Giants of Jazz: Pat Martino	INDIFFERENT	4:38	9kL1XslxiUY	MPREb_LYD4HbypWot	UCUB31jF3RaFkHG-Ty55vaIQ
17	'Round Midnight	Pasquale Grasso	Solo Monk	INDIFFERENT	5:09	yARVN-hVi7k	MPREb_GT9ewHMPJ3a	UCZ8DiSzuQ-e1RRRUV4-LfNA
23	Smoke Gets in Your Eyes	Pasquale Grasso	Solo Ballads	INDIFFERENT	4:10	qEPrNPJ2Gwg	MPREb_fyrkVsRaPBe	UCZ8DiSzuQ-e1RRRUV4-LfNA
