title	artist	album	likeStatus	videoId	albumId	artistId	playlists
If You Need Me	Wilson Pickett	Soul Friends	LIKE	2Q3EpU9oNYc	MPREb_i0DqsjK7Ygk	UC_nBrnmRNUgbvTbsr20gssQ	oldies 1950s
It's All In The Game	Tommy Edwards	The Best Of Tommy Edwards	LIKE	6CvLIlQUhYk	MPREb_BOkMLDeI3OI	UCw98F06BDBc0eP3AZMPxAMg	oldies 1950s
Little Bitty Pretty One	Thurston Harris	Lost Hits Of The 50's	LIKE	pLOruXaPFMM	MPREb_ygB4bPsuhe8	UCjROSSeFCmUydt-HtjhmATA	oldies 1950s
Walk, Don't Run (Stereo)	The Ventures	Walk Don't Run	LIKE	j81sy1Ibf9M	MPREb_lO4gXgwLoF4	UCBTyn_Hs6HQQ6poBYsiQiVw	oldies 1950s
Walk, Don't Run	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	dzL3jvnmqPM	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw	oldies 1950s
Since I Don't Have You	The Skyliners	Since I Don't Have You (50th Anniversary Golden Edition)	LIKE	oj7yF6YcTqk	MPREb_ycvsXYO3xlE	UCMpnAYi2Zf9X1VnGP975XNw	oldies 1950s
Get a Job	The Silhouettes	Summer Souvenirs	LIKE	KF33Xzh_kY8	MPREb_7zLTf4NBkxE	UCHGm4eCiyzxh6C1iOu-JPMA	oldies 1950s
Will You Love Me Tomorrow (Rerecorded)	The Shirelles	Heartbeats: 16 Songs About Love from the Sixties	LIKE	Nwhsq0u4cWI	MPREb_k6etzXUh2yD	UC5mRtMvmUCwSGLQK4A8lSyg	oldies 1950s
Be My Baby	The Ronettes	Presenting the Fabulous Ronettes Featuring Veronica	LIKE	QBDem6bffyo	MPREb_18EEQCkwn2d	UCJGP43sKxv1SaS2CugSkBWQ	oldies 1950s
I'm Sorry	The Platters	The Platters	LIKE	HXQscq3wRhs	MPREb_yw0VqDpG7en	UC5AYr3HMVGWEselwAxdRuxA	oldies 1950s
Only You (And You Alone)	The Platters	Highlights From The Soundtrack Of American Graffiti	LIKE	85-6op3kt_g	MPREb_f3hBSfyGOMS	UC5AYr3HMVGWEselwAxdRuxA	oldies 1950s
Earth Angel (Will You Be Mine)	The Penguins	The Best Of The Penguins	LIKE	-j6OAEOcNCE	MPREb_2T12GMHgbZF	UC9No4FSLGRc1OiLVxVnq1bg	oldies 1950s
