	title	artist	album	likeStatus	duration	videoId	albumId	artistId
27	Love Is to Die	Warpaint	Warpaint	LIKE	4:52	hdaEEAx9Hj8	MPREb_g8n0NPHmS0V	UCvQT_XAgFdh-6wYEKxKGcGw
32	Elephants	Warpaint	Exquisite Corpse	LIKE	4:45	tNk6ugXVTJE	MPREb_bH0iwzYU72t	UCvQT_XAgFdh-6wYEKxKGcGw
45	Isabella Rossellini's Shoe	Triumph Of Lethargy Skinned Alive To Death	Some Of Us Are In This Together	LIKE	3:04	TQPbKJXxBpc	MPREb_4WVcUvd17Mm	UCK049bKRC3dp7I3CYARm-aQ
18	Murder In The Red Barn	Tom Waits	Bone Machine	LIKE	4:29	n2A5SxccpGk	MPREb_zerdgY4WnVT	UC39N3pyt2Z15oOMjouokl8A
8	The Last Goodbye	The Kills	Blood Pressures	LIKE	3:42	uBkKq-ccIgA	MPREb_UDqlivxCu1m	UCWItzUtiZcsghdjdl5vDznw
37	At First Sight	The Durutti Column	Short Stories for Pauline	LIKE	4:15	jP4GjZGn6-E	MPREb_ptZkwL33ZsA	UCA8bhj3kqeHTBZ6sF2mqGpg
31	Three to Get Ready	The Dave Brubeck Quartet	Time Out	LIKE	5:23	VtJz9vjAKss	MPREb_Gr0oi0q2BWb	UCMBevFAp40kVlvIcOvzv5Bw
43	Please Hurt Me	The Crystals	Twist Uptown Plus 2 Classic Singles	LIKE	2:18	Xhm2bpbcST4	MPREb_RWMS4xxT76K	UCthfOgdYMCdvfPALgf9V18A
36	The Things (That) I Used to Do	Stevie Ray Vaughan & Double Trouble	Couldn't Stand The Weather	LIKE	4:55	Xy38VCMn81I	MPREb_gxwXNKePI0b	UCG47N6MrGcPaJpVRgBoAVAQ
21	Bring It On Home	Sonny Boy Williamson II	The Real Folk Blues	LIKE	2:37	eQCBdGXsJnA	MPREb_mwHWvcoOrch	UCWEMaF6bf_6V2swH692S1EQ
33	Eye	Smashing Pumpkins	Lost Highway	LIKE	4:52	kmqS01NMips	MPREb_kCTBXgb6AFc	UCZM3bF24BS-qDMe0OigpeZw
7	In Dreams	Roy Orbison	In Dreams	LIKE	2:50	6tEdYQozrM8	MPREb_bGh9FqEjoHI	UCjMI6Jhz6i608_B2pvYNrfg
4	Roads	Portishead	Dummy	LIKE	5:04	7nxWP9BhI7w	MPREb_G6JQUdInW98	UCweAx0TIRdAylp6G1nviqbQ
