	title	artist	album	likeStatus	duration	videoId	albumId	artistId
75	Mind Flowers (Original Mono Mix)	Ultimate Spinach	Behold & See (Original Mono Mix)	LIKE	9:37	SAU7rGQtepc	MPREb_In9SFysR9cj	UCBSdneSAd8cybOQPLEf9mbQ
162	EGO TRIP	Ultimate Spinach	Ultimate Spinach	LIKE	3:13	D6psolHL-oM	MPREb_qM85N2u6a4R	UCBSdneSAd8cybOQPLEf9mbQ
147	Meshkalina	Traffic Sound	Meshkalina	LIKE	5:23	IwCgb-DFbJE	MPREb_GQKW8IEUiUG	UCYijYIqAGsd63FIOjLz25Hw
148	Tibet's Suzettes	Traffic Sound	Traffic Sound	LIKE	4:45	nifGtkfcNLk	MPREb_IEDWr5z82cC	UCYijYIqAGsd63FIOjLz25Hw
149	Yellow Sea Days	Traffic Sound	Virgin	LIKE	9:12	eESwECv-Apo	MPREb_zxf9aQXx5hp	UCYijYIqAGsd63FIOjLz25Hw
146	The Dream	Thee Oh Sees	Live in San Francisco	LIKE	5:14	UwkqXK756ik	MPREb_M77b3cSnMdk	UCy-Gzb-aCE1vWkbwQZaoIXQ
79	Can't Nobody Love You	The Zombies	Begin Here	LIKE	2:11	FoxLRyCvHDs	MPREb_ivzqyH65Ze9	UCweKPvb6MUhb8X4X0nbObBw
80	Time of the Season	The Zombies	Odessey And Oracle	LIKE	3:30	pfw20G0nU2o	MPREb_hHBMVqtUkIH	UCweKPvb6MUhb8X4X0nbObBw
131	Hung Up On A Dream	The Zombies	Odessey And Oracle	LIKE	2:17	9Jz_faLtRus	MPREb_hHBMVqtUkIH	UCweKPvb6MUhb8X4X0nbObBw
165	Help, I'm a Rock	The West Coast Pop Art Experimental Band	Part One	LIKE	4:26	HpPghmWhY-g	MPREb_rOOHvAyDUXj	UCKECYanyhVAioxt4hFTFYJw
170	Smell of Incense	The West Coast Pop Art Experimental Band	Vol. 2	LIKE	5:52	RX3RrlOONDg	MPREb_pqfvdgQ8QLG	UCKECYanyhVAioxt4hFTFYJw
78	Heroin	The Velvet Underground & Nico	The Velvet Underground & Nico [Deluxe Edition]	LIKE	7:13	2f_Md22IIj0	MPREb_6ieKPEzGz1N	UCXNWrugB_J3sRBYR9idQWzg
97	All Tomorrow's Parties (Alternative Version)	The Velvet Underground & Nico	The Velvet Underground & Nico [Deluxe Edition]	LIKE	5:53	2EV8PGUzYnY	MPREb_6ieKPEzGz1N	UCXNWrugB_J3sRBYR9idQWzg
76	Sweet Jane (Live at Second Fret, Philadelphia, May 9, 1970)	The Velvet Underground	Loaded: Re-Loaded 45th Anniversary Edition	LIKE	7:08	ZiSzVOMnDpU	MPREb_8szr0G2x7vG	UCXNWrugB_J3sRBYR9idQWzg
77	I Found A Reason (2015 Remastered)	The Velvet Underground	Loaded	LIKE	4:15	T0E5aR7_9G8	MPREb_Xi6tzkPzoO5	UCXNWrugB_J3sRBYR9idQWzg
96	Heroin (Mono)	The Velvet Underground	The Velvet Underground & Nico (45th Anniversary / Super Deluxe Edition)	LIKE	7:15	_ntTHVebJOk	MPREb_OjjaAKPXuWQ	UCXNWrugB_J3sRBYR9idQWzg
154	Wild Thing (from Major League) (Re-Recorded)	The Troggs	Movie Soundtrack - Songs from Film & Tv	LIKE	2:32	3goZdUpvM8E	MPREb_BK1gMtL5xBR	UCHN3v9j_PgirkSPp9nFUcpg
178	Lose Your Mind	The Third Bardo	I'm Five Years Ahead of My Time	LIKE	2:15	YcHXoC5aTa4	MPREb_qXKiyRHiipf	UCDJLs_mnxPoBjLVF4aYm_Ig
163	Dirty Water (Stereo Remix)	The Standells	The Very Best Of The Standells	LIKE	3:06	5jv4ntukPC0	MPREb_7Z6JMPFzabd	UCztpwWlN0F9CAjAFSwutaEg
171	My Little Red Book	The Standells	Why Pick On Me - Sometimes Good Guys Don't Wear White	LIKE	2:27	tjjFM2rRIag	MPREb_tByLTppGO1a	UCztpwWlN0F9CAjAFSwutaEg
175	Hey Joe, Where You Gonna Go	The Standells	Dirty Water (Expanded Edition)	LIKE	2:14	tsnd93FPr6E	MPREb_ss5smRmKVC0	UCztpwWlN0F9CAjAFSwutaEg
69	Money	The Sonics	Here Are The Sonics	LIKE	2:00	Sumq7cU5dlM	MPREb_CknrXtJEkFD	UCRj3ssXllXwutAfPI-mu4CA
159	Psycho	The Sonics	Introducing The Sonics	LIKE	2:10	BqpMhpEp13o	MPREb_mcvX5sLEZ63	UCRj3ssXllXwutAfPI-mu4CA
169	The Witch	The Sonics	Maintaining My Cool	LIKE	2:47	6C4YDg14Wxo	MPREb_yIDgSnKhDDf	UCRj3ssXllXwutAfPI-mu4CA
177	I'm A Man	The Sonics	Maintaining My Cool	LIKE	3:05	XXsm2rIBMyw	MPREb_yIDgSnKhDDf	UCRj3ssXllXwutAfPI-mu4CA
111	Bad Little Woman	The Shadows Of Knight	Back Door Men	LIKE	2:38	QcF-hOHPK0c	MPREb_s1niwP7c1Df	UCvTr-5UOpKGqomBiMPYhE4g
137	Dark Side	The Shadows Of Knight	Gloria	LIKE	2:03	veIRqFIyyYg	MPREb_FCjKSQS2VyV	UCvTr-5UOpKGqomBiMPYhE4g
158	Gloria	The Shadows Of Knight	Gloria	LIKE	2:37	7xR2dEHNHvg	MPREb_FCjKSQS2VyV	UCvTr-5UOpKGqomBiMPYhE4g
164	I Got My Mojo Working	The Shadows Of Knight	Gloria	LIKE	3:32	Dd952mrUGIY	MPREb_FCjKSQS2VyV	UCvTr-5UOpKGqomBiMPYhE4g
153	Shout	The Sentinals	Big Surf	LIKE	2:55	JgffoPaTCjY	MPREb_uefoxPqxiYB	UChbOBLTTzmVZ9U4tGQsRcyw
136	Nobody Spoil My Fun	The Seeds	The Seeds	LIKE	3:53	x0NerviL7oE	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIFc2VlZHMaBXNlZWRzIgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIFc2VlZHM
145	Let It Bleed (Live / Remastered 2009)	The Rolling Stones	Stripped	LIKE	4:15	-lYqiJUAr2Y	MPREb_5pEWlPNbGOj	UCNYhhkQqeFLUc-YEDcLpSYQ
125	Death	The Pretty Things	S.F. Sorrow	LIKE	3:05	ZBwN7r9EIZs	MPREb_HiZHk0L3zug	UCy_gWSTLrwaserTXU-HHh5A
134	Walking Through My Dreams	The Pretty Things	S.F. Sorrow	LIKE	3:46	hMrdyU9ITQM	MPREb_HiZHk0L3zug	UCy_gWSTLrwaserTXU-HHh5A
180	If You Want My Love	The Nightcrawlers	The Nightcrawlers	LIKE	3:18	gt_yUqg9pqg	MPREb_e9zKZIyPlOM	UCskia0Mz-bswIiXG4J7Q41g
58	Anyway The Wind Blows	The Mothers Of Invention	Freak Out!	LIKE	2:55	mS_fAjXyaFI	MPREb_kPC3H2G06lO	UCj5ZiBBqpe0Tg4zfKGHEFuQ
183	The New Breed	The Mojo Men	Garage '66	LIKE	3:37	kEaRIX10e0I	MPREb_dednvdJStgW	UCKwsO8UQALSBRWgukHpwCIw
187	Rack My Mind	The Litter	Distortions	LIKE	3:42	-IV2SJTvHP8	MPREb_LETjT9HBAbH	UCq_J5AhYN1eO2YecNW-WKxQ
52	Rosy Won't You Please Come Home (Mono Mix)	The Kinks	Face to Face (Deluxe Edition)	LIKE	2:32	SwtvHcQhu5Y	MPREb_gNrJdaRZM6h	UCsQHS0_Fw1vIXm3TEbPokvA
