	title	artist	album	likeStatus	duration	videoId	albumId	artistId
114	Autumn Sweater	Yo La Tengo	I Can Hear The Heart Beating As One	LIKE	5:19	jTI5dX83NZc	MPREb_pjgfqa6nbLu	UCz5bvM-t9ynI48T0u195y2A
129	More Human Than Human	White Zombie	Past, Present & Future	LIKE	4:30	OyO18QrJ3zw	MPREb_FESFqIoi057	UChSu4bOA2ZCxGwG9g2-uYlg
10	Say It Ain't So	Weezer	Weezer (Blue Album)	LIKE	4:19	LQcMOI8dMas	MPREb_0xZRFGm5l6S	UCtHZHneyvFGwxg6MHcbMLAw
14	My Name Is Jonas	Weezer	Weezer (Blue Album)	LIKE	3:25	wxlfkFMjLZc	MPREb_0xZRFGm5l6S	UCtHZHneyvFGwxg6MHcbMLAw
40	Only In Dreams	Weezer	Weezer (Blue Album)	LIKE	8:00	ha3QivnjbIU	MPREb_0xZRFGm5l6S	UCtHZHneyvFGwxg6MHcbMLAw
84	The World Has Turned And Left Me Here	Weezer	Weezer (Blue Album)	LIKE	4:20	sRfu94lOEPo	MPREb_0xZRFGm5l6S	UCtHZHneyvFGwxg6MHcbMLAw
122	Tired Of Sex	Weezer	Pinkerton	LIKE	3:02	THDc2MAMwok	MPREb_nrpUXJsZqQ5	UCtHZHneyvFGwxg6MHcbMLAw
153	Undone - The Sweater Song	Weezer	Weezer (Blue Album)	LIKE	5:06	ONhfmrKJ5kE	MPREb_0xZRFGm5l6S	UCtHZHneyvFGwxg6MHcbMLAw
85	American Music	Violent Femmes	Why Do Birds Sing? (Deluxe Edition)	LIKE	3:51	hft5UankdZo	MPREb_7ASbwDOlFsj	UCoPPSCV914UPLHG-LoKBDQw
108	American Music	Violent Femmes	Why Do Birds Sing?	LIKE	3:51	mryMZZnf5nk	MPREb_48xeDBWwmyX	UCoPPSCV914UPLHG-LoKBDQw
142	Seether	Veruca Salt	American Thighs	LIKE	3:17	PzrWPdQ3VYo	MPREb_zIYN42iUQsg	UCyiGBqAtZHRaqdSBgoYro5w
151	Volcano Girls	Veruca Salt	Eight Arms To Hold You	LIKE	3:19	cTXJxoa10Tc	MPREb_7gVum6OnIv1	UCyiGBqAtZHRaqdSBgoYro5w
3	Mysterious Ways	U2	Achtung Baby	LIKE	4:04	LZegcL_zQSs	MPREb_2Jq60bAnmqb	UCqIQRxCUGi7hyJisyzv9zYQ
120	All I Want	Toad The Wet Sprocket	fear	LIKE	3:17	braLp970GIo	MPREb_Q3ZIX1pmMPK	UCtAE324W6BsNA8UQUtapXFw
106	Birdhouse in Your Soul	They Might Be Giants	Flood	LIKE	3:19	9zOKBvHNWus	MPREb_wnz6V1UbCW3	UCuVDbfvBzNkyCUuKNVHDeNw
19	6th Avenue Heartache	The Wallflowers	6th Avenue Heartache	LIKE	5:38	WxHpuzTkX2w	MPREb_ZH821C0Y4sr	UCo5omxucc1GfxRRwisE1QJw
165	One Headlight	The Wallflowers	Bringing Down the Horse	LIKE	5:13	yjbzUEJONNU	MPREb_ImRCgCuYAJH	UCo5omxucc1GfxRRwisE1QJw
101	Photograph	The Verve Pipe	Villains	LIKE	4:56	cPVv_bYtIS0	MPREb_SV2d3yUxDlC	UCPxPCiS8DmHSQ_DZJ9On_uw
146	Slide Away (2016 Remastered)	The Verve	A Storm In Heaven	LIKE	4:04	TEqHAc1Y0NY	MPREb_wC7jmKXAMhf	UCt2KxZpY5D__kapeQ8cauQw
169	Bitter Sweet Symphony	The Verve	Urban Hymns (Super Deluxe / Remastered 2016)	LIKE	5:58	JnRw8bXVbPI	MPREb_KOt6PrA0bWj	UCt2KxZpY5D__kapeQ8cauQw
38	Possum Kingdom	The Toadies	Rubberneck	LIKE	5:09	zm-QI2_i2oQ	MPREb_Cz3sIsiDAyf	UCIm5pgtqD7m5gmwvuuklvdA
2	1979	The Smashing Pumpkins	Mellon Collie And The Infinite Sadness (Deluxe Edition)	LIKE	4:27	A6M0yLxLCNA	MPREb_4ZhfDV3ZMNG	UCZM3bF24BS-qDMe0OigpeZw
