	title	artist	album	likeStatus	duration	videoId	albumId	artistId
199	Wicked Game	Chris Isaak	Heart Shaped World	LIKE	4:50	G8Hq9UB8zB8	MPREb_ytW4UsnQEZV	UCR1yd7JFrY7agCcYU1Ddzew
163	Hanky Panky (Remixed Version)	k.d. lang	Reintarnation	INDIFFERENT	2:00	bGF5pfFMWSA	MPREb_UFPelHS8Dl1	UCxAieA2XBqBFQ7X93nlQk4Q
166	Up To Me	k.d. lang	A Truly Western Experience - 25th Anniversary Edition	INDIFFERENT	3:06	RjkTke3-5b4	MPREb_aSW5iRLiY50	UCxAieA2XBqBFQ7X93nlQk4Q
139	Come On	Wynn Stewart	I'd Rather Have America	INDIFFERENT	1:58	T9eZK7GCjFQ	MPREb_j7eiipWUNmJ	UCmSyPomAdCIJb4FpWVUXd9g
81	All I Can Do Is Cry	Wayne Walker	How Do You Think I Feel: The Best Of	INDIFFERENT	2:07	1lfLh_aggkE	MPREb_Kflo5AJMFJL	UC1VETq6tRsSkJko2Doe-blQ
140	Shake Baby Shake	Wayne Raney	100 Rock Hits 50'	INDIFFERENT	2:03	violhZGikck	MPREb_A2n2uVooA66	UCaYp65YfKgYLItmeR7cVoUw
74	Ubangi Stomp	Warren Smith	Rokabilly Legend	INDIFFERENT	1:59	Cdjdp_1SQas	MPREb_3cUsbQhiqYX	UCpS_zAyW8-0-VMIR35s6nYA
78	Uranium Rock	Warren Smith	Cadillac Rockabilly	INDIFFERENT	2:09	gRP-SuSZfRc	MPREb_JMnehbH65FZ	UCpS_zAyW8-0-VMIR35s6nYA
24	Fujiyama Mama	Wanda Jackson	20 Rock 'N' Roll Hits	INDIFFERENT	2:16	f9GiaXNqHqE	MPREb_tBBEaqF6j0a	UCSL4p-2ochWDDOjCWOoeSvw
102	Alley Cat	Walter Brown	Rock & Roll Mashup, Vol. 5	INDIFFERENT	2:03	d-jSOu40JvY	MPREb_KwPHHyHx5DH	
107	Pink Elephant	Wally Willette	The Beer Album	INDIFFERENT	1:54	xMUhhzcY6W8	MPREb_lgp4MhT0p3C	
131	Thunder and Lightning	Tooter Boatman	Teen Rock Oldies	INDIFFERENT	2:06	N_GNB3GA-ys	MPREb_DOZq2AztrWu	UCgERZob07n17H6yTLYOkjdA
95	Showdown	Tony Casanova	The Dore Story: Postcards from Los Angeles 1958-64	INDIFFERENT	2:12	97nvuPftc_4	MPREb_uUKTtCpT0rJ	UCaCm_hZ--nbx1nj-cVnMHew
64	Swamp Gal	Tommy Bell	Teenage Rebels, Vol. 2	INDIFFERENT	2:10	2Y5lGA68k7g	MPREb_lfJ5yKowCi3	UCg039i26G-MZBldCQ1wmBXQ
145	Outlaw Heart	Tiger Army	Tiger Army	INDIFFERENT	3:58	Ud0xseP0XAc	MPREb_dbhN7aQS5WQ	UCkcG8gGFAhT4gyDQ5CCXqTQ
149	Twenty Flight Rock	Tiger Army	Tiger Army	INDIFFERENT	1:33	cYxc006oIdc	MPREb_dbhN7aQS5WQ	UCkcG8gGFAhT4gyDQ5CCXqTQ
119	Booze Party	Three Aces & A Joker	The Rum Diary	INDIFFERENT	2:22	-TRQVhjQnO8	MPREb_XDyYs2sDmkC	UCEII5Qd661fX_-YYLENyxIg
23	Pretty Baby	The Vibes	Let's Mix Rock & Roll, Vol. 4	INDIFFERENT	2:12	aVcEVU67k6U	MPREb_sTTIEpYk16C	UCVjGpNAMQJnFec_k94dx0dg
161	Stray Cat Strut (Acoustic Version)	The Stray Cats	Stray Cats Ball, No Dogs Allowed	INDIFFERENT	3:28	X__nkfJWPd0	MPREb_jdjSyxTG0T3	UC0gJ5apzM5borvq4HHWxpxQ
5	Boss	The Rumblers	Boss!	INDIFFERENT	2:21	c6IwymXka5o	MPREb_MYfSYpUYLQ6	UCs0FCgYl_ubPh5QyicSfyOg
16	I Wanna Be Your Man (Mono)	The Rolling Stones	The Rolling Stones In Mono	INDIFFERENT	1:45	fn0fHHGKRZU	MPREb_Q5z7dGBnMq6	UCNYhhkQqeFLUc-YEDcLpSYQ
28	Not Fade Away (Mono Version)	The Rolling Stones	England's Newest Hitmakers	INDIFFERENT	1:47	NfSAtNMc59g	MPREb_UJh1P2Mg0XE	UCNYhhkQqeFLUc-YEDcLpSYQ
55	Crazy Baby	The Rockin' R's	Teenage Rebels, Vol. 2	INDIFFERENT	2:33	EwxgeZHDds0	MPREb_lfJ5yKowCi3	
