	title	artist	album	likeStatus	duration	videoId	albumId	artistId
55	In the Midnight Hour	Wilson Pickett	The Very Best of Wilson Pickett	LIKE	2:38	uiy36UfftsI	MPREb_nIC3WcLjClE	UC_nBrnmRNUgbvTbsr20gssQ
95	Land of 1000 Dances	Wilson Pickett	The Exciting Wilson Pickett	LIKE	2:27	FchOg9kXbHo	MPREb_hKYWC1qijZy	UC_nBrnmRNUgbvTbsr20gssQ
96	In the Midnight Hour	Wilson Pickett	In the Midnight Hour	LIKE	2:38	VgHgpUabkGY	MPREb_R5BjSeU1Sdh	UC_nBrnmRNUgbvTbsr20gssQ
97	Mustang Sally	Wilson Pickett	The Very Best of Wilson Pickett	LIKE	3:08	OLSgNhce4VY	MPREb_nIC3WcLjClE	UC_nBrnmRNUgbvTbsr20gssQ
54	I Forgot To Be Your Lover	William Bell	The Best Of William Bell	LIKE	2:18	DcyERDIGXsA	MPREb_xlgG88EPhsM	UCHDFo0CwsKuV1KE_rtSRNYQ
56	Soulful Strut	The Young-Holt Unlimited	Brunswick Top 40 Singles 1966-1975	LIKE	2:57	ka-uyaky0VM	MPREb_M1BVhZPF2aP	UCp7EZfJxuGlv7lOuAQTILsg
53	Spreadin' Honey (Remastered Version)	The Watts 103rd. Street Rhythm Band	Hot Heat And Sweet Groove (Remastered & Expanded)	LIKE	2:20	KaDltVvhgvU	MPREb_A1Wwzhe1W0G	UCY7ei7pm1cDPBaNZBW5Uzlg
51	I'll Take You There	The Staple Singers	Be Altitude: Respect Yourself	LIKE	4:48	qXvirzznSn4	MPREb_I2e3FXmsHWQ	UCES6P3frdkIMVkj95rxvLaw
43	More Mess on My Thing	The Poets of Rhythm	Practice What You Preach	LIKE	4:11	GlbIUEMEWPk	MPREb_y2TLEyXBr0G	UCdFEpyvXo2A4iwpXsrpPCRQ
34	Cissy Strut	The Meters	Funk	LIKE	3:06	3Ok4L7hg_Nk	MPREb_lPcZu9NFB3q	UCwye34yhtCbWGQsrFS4oMNw
29	Please Mr. Postman (Single Version / Mono)	The Marvelettes	20th Century Masters: The Millennium Collection: Best Of The Marvelettes	LIKE	2:31	MYbzFyaWd6Y	MPREb_uZ7oSzM5e0U	UCGN3uYjaqF3jGIrGwfDFBxQ
52	Superstition	Stevie Wonder	Talking Book	LIKE	4:26	ftdZ363R9kQ	MPREb_rZZHgjASXzQ	UCR83RRXHzXrEQbu_ZQmPMSg
