title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Like A Hunger (feat. Amber Mark)	Wilma Archer	Like A Hunger	LIKE	9GnXRiQUNJI	MPREb_1vIoZJt6Dh8	UCTrnCrcacsiCPtch-nycypA	soul kings and queens radio
Tonight You Might feat. Lady Wray (feat. Lady Wray)	Synthia	Tonight You Might feat. Lady Wray	LIKE	HwWu-6N-bCs	MPREb_LY5Q9qwRk98	UCoYfzfZAm-PzJbXRmqM9mQA	soul kings and queens radio
Kiss of Life	Sade	The Best of Sade	LIKE	uEcKk2U_U7A	MPREb_6mgYXAVHMgn	UCgxBu-PnULL4WRG7HcNpRvg	soul kings and queens radio
Queen Tings (feat. Tiffany Gouché)	Masego	Lady Lady	LIKE	flU8o3-h1mY	MPREb_efBlj68HqOM	UCnNg7G379GMitKDisM5wO8Q	soul kings and queens radio
Shy	Leon Bridges	Good Thing	LIKE	giyJRviHzNE	MPREb_sJYHOWuxDGq	UCnqQ2w8U9bqdEkGKSiBVkRA	soul kings and queens radio
LOVE. (feat. Zacari)	Kendrick Lamar	DAMN. COLLECTORS EDITION.	LIKE	XKkV2j9DbIQ	MPREb_FQT8RhNisCl	UCprAFmT0C6O4X0ToEXpeFTQ	soul kings and queens radio
Spread Too Thin (feat. Lindsay Olsen)	Joomanji	Manj	LIKE	ev965LIA0zE	MPREb_9m41KuCxtTu	UCja-fYB2bYp5BPFv9E8C1ww	soul kings and queens radio
Gone Baby, Don't Be Long	Erykah Badu	New Amerykah Part Two: Return Of The Ankh	LIKE	Vnt9XZjqxsc	MPREb_VZKVqGawZzY	UCxUb-_eniV4jqmipDxroS9g	soul kings and queens radio
Day by Day (feat. Sam Hudgens & Omar Apollo)	Burns Twins	Day by Day	LIKE	6z_C8-KWd9Y	MPREb_5u8De9XIMUn	UCeAIwhE7WSmj6Fr8vhAiwPg	soul kings and queens radio
Fuck The World (Summer in London)	Brent Faiyaz	Fuck The World	LIKE	7CbaZDjPOdQ	MPREb_ilXQlZpDOPX	UCRBHVPw68XPbJnsl2Cf_eUw	soul kings and queens radio
