	title	artist	album	likeStatus	duration	videoId	albumId	artistId
36	Take on Me	a-ha	Hunting High and Low	LIKE	3:46	HzdD8kbDzZA	MPREb_5xYAryDnQqC	UCx00XxqRCfPS6zaTzRm3H2A
77	Bust A Move	Young MC	Stone Cold Rhymin'	LIKE	4:24	6rM8ksGHnFc	MPREb_8xG5Nmi1vsk	UCFvVXmHUxvaePjU6HZFjk5A
33	Owner of a Lonely Heart	Yes	90125 (Deluxe Version)	LIKE	4:29	IG_VDj8Eh_g	MPREb_N9KiQcTZrDh	UCtwW_44fofodl7K_12nXOEg
165	Owner of a Lonely Heart (2008 Remaster)	Yes	Yesstory	LIKE	4:28	AY7ktU1Db2A	MPREb_Hwg9Xp2nnSq	UCtwW_44fofodl7K_12nXOEg
13	Senses Working Overtime (Remastered 2001)	XTC	English Settlement	LIKE	4:51	kjt7AdLYT2w	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA
88	Here I Go Again	Whitesnake	Whitesnake	LIKE	4:36	7eX83V-DUQI	MPREb_WdKqY21CRWv	UCVOHyO39P5Y_GxjzhwaSmLg
34	Wake Me Up Before You Go-Go	Wham!	Twenty Five	LIKE	3:53	17t7SEsoKfE	MPREb_HHxyMdWTmrr	UCpVKXA1YEpLtD_keJogkCwg
81	Jump	Van Halen	1984	LIKE	4:02	bX9RMdcFQAw	MPREb_T6mRNpECuLb	UCPi7wU0ppI6ad7EEpHs7lHg
82	Panama	Van Halen	Best of Volume 1	LIKE	3:33	2wHU5ocfFsA	MPREb_J36n4OiVuN3	UCPi7wU0ppI6ad7EEpHs7lHg
148	I Will Follow	U2	The Best Of 1980 - 1990	LIKE	3:36	KGnz0VIxPro	MPREb_BbqUa7UXLpX	UCqIQRxCUGi7hyJisyzv9zYQ
105	Fast Car	Tracy Chapman	Greatest Hits	LIKE	4:57	JpscHOoGIqQ	MPREb_5GikwGBg2Hk	UCndrh03uIKb9SUR7-znGZ9w
142	Fast Car	Tracy Chapman	Tracy Chapman	LIKE	4:57	IJ8i49EqgYI	MPREb_vKX5oVsmqCd	UCndrh03uIKb9SUR7-znGZ9w
94	Hold the Line	Toto	Toto	LIKE	3:56	ZP69PLBqFUo	MPREb_RtpxJDpku6b	UCewH1MBbYlEZMWx3ZUNywyg
124	Africa	Toto	Rock Classics	LIKE	4:22	y8Nla-98CRY	MPREb_FlPQDc6nWZr	UCewH1MBbYlEZMWx3ZUNywyg
156	Wild Thing	Tone-Loc	Loc-ed After Dark	LIKE	4:24	G_upnEFGDcM	MPREb_zyeju4abXNh	UCByTu-eVh85UNLURn0oVIYA
112	Genius of Love	Tom Tom Club	Tom Tom Club	LIKE	5:35	AWmEgwS3VUU	MPREb_GY3PnFZJs6r	UC1IvcSg0OixDDluBFShToCA
113	The Waiting	Tom Petty And The Heartbreakers	Hard Promises	LIKE	3:59	DdiFZw6jMjs	MPREb_Pc5xcjrinQo	UC6hGusDLTI8bW-P4pMYdIqA
85	I Won't Back Down	Tom Petty	Full Moon Fever	LIKE	2:59	3efKaFVBcMU	MPREb_DYgLTIGWoaC	UC6hGusDLTI8bW-P4pMYdIqA
106	Free Fallin'	Tom Petty	Full Moon Fever	LIKE	4:16	PIuAFrLeXfY	MPREb_DYgLTIGWoaC	UC6hGusDLTI8bW-P4pMYdIqA
75	What's Love Got to Do with It	Tina Turner	Private Dancer (30th Anniversary Issue)	LIKE	3:51	1avX1lX7gSs	MPREb_cl6H2eYtAe5	UC3XcDooUnwiaiTPlICV6-ig
99	Hold Me Now	Thompson Twins	Into the Gap	LIKE	4:47	3c3P86kALbk	MPREb_KmoxvT5uZ6s	UCMRJ1CdKBBR_x5b0cdHIrWA
132	She Blinded Me With Science (2009 - Remaster)	Thomas Dolby	The Golden Age of Wireless (2009 - Remaster;Bonus Tracks Edition)	LIKE	3:43	ff2Zar6KCiQ	MPREb_zQNVthLN73G	UCUFQNbMKZ5Jy01q_joLC7Kw
72	End Of The Line	The Traveling Wilburys	The Traveling Wilburys, Vol. 1	LIKE	3:30	stxftCSiVBc	MPREb_FdHDUDCeVjk	UC2zPxEtkJD0hh8cpXq2Rl9A
2	There Is a Light That Never Goes Out	The Smiths	The Queen Is Dead	LIKE	4:05	3r-qDvD3F3c	MPREb_LK6XKj3XSaf	UCklWLf-5N7mE8S06rj2OrQw
74	Every Breath You Take	The Police	Synchronicity (Remastered 2003)	LIKE	4:14	-SaUrDhp034	MPREb_8lrA5KA4Gfv	UCbsRGw640UF_F7AIwHW-zmg
