	title	artist	album	likeStatus	duration	videoId	albumId	artistId
346	Blue Room	The Orb	U.F.Orb	LIKE	17:35	S2Uolg1saNM	MPREb_c7pMvO76CzK	UCpoyFBLTLfbT2Z1D1AnlvLg
342	Acid Tracks	Phuture	Acid Tracks	LIKE	12:20	yKHGv6Es610	MPREb_JldSkgnItrH	UCCUELnkZaArxNe7zDLl-wtg
57	Cat's Squirrel	Cream	Fresh Cream	LIKE	3:04	M2yaF7ySR7w	MPREb_sotpraKK1Vz	UC_oKib7DXJ7JE5erWrFUbEQ
58	Toad	Cream	Fresh Cream	LIKE	5:10	Ky-RD2_b4xs	MPREb_sotpraKK1Vz	UC_oKib7DXJ7JE5erWrFUbEQ
343	Rollin' And Tumblin'	Cream	Fresh Cream	LIKE	4:43	1PLLjfSnTV0	MPREb_sotpraKK1Vz	UC_oKib7DXJ7JE5erWrFUbEQ
344	Chemz	Burial	Chemz / Dolphinz	LIKE	12:32	c1vNol9QdR4	MPREb_0Uz6TKT2rAW	UCQcNEJM-RtTiomfm8Avt5UQ
345	Polynomial-C	Aphex Twin	Classics	LIKE	4:47	h5Y06xYRspQ	MPREb_jyc2oRlHdBd	UCWmnkYUzoOiOztmPBhIlZjg
185	Parliament Road	ØRGIE	Proelium	INDIFFERENT	5:22	VMp8X1BFKWY	MPREb_zlwGfriFMMw	UCWKU43VU3VY4YvHPPx1lv2Q
302	Afterlife (Disruption Remix)	re:akt & disruption	Motions	INDIFFERENT	6:25	yFu-CWuCqaQ	MPREb_Hm0Abp5SW0o	
47	It Never Ends	nthng	It Never Ends	INDIFFERENT	9:17	z6cR8D9aVAI	MPREb_Ep52FZEMe22	UCkPQVXC3kEjLp2TBVezhzuA
84	Infrared	Yan Cook	Cold Spots	INDIFFERENT	5:48	-O0OiYtk0yw	MPREb_U9Kz7M1b3hP	UCPL4L_Qv3FqfDTEVXg56czQ
127	Cosmonaut (Digital Exclusive)	Yan Cook	Inferno EP	INDIFFERENT	6:00	T6dWScxo_Y8	MPREb_Y41obo99QUJ	UCPL4L_Qv3FqfDTEVXg56czQ
18	Fixing the Error	Xhin	Fixing the Error / Link	INDIFFERENT	11:49	2f0hbfMdbEo	MPREb_lOPSvVPz6Jr	UCpycX2xEklPQAargBcQo9tw
22	Slingshot	Xawytlas	Slingshot	INDIFFERENT	8:24	ZpsR87eYMoI	MPREb_UVlaTEvtKuC	
102	Elevation (Journey Mix)	X CLUB.	Now or Never	INDIFFERENT	8:14	RmLw9U7Boyw	MPREb_g2JeKesAEq3	UCtz4w1dt9lQzd4Idgu528Qg
224	Jack And The Rave	Wild Card Hendricks	Dark Grooves	INDIFFERENT	3:22	6Z9HIQohZSc	MPREb_KrzjmrgsISA	UC4q75teUohec3_7NLFflVaw
51	Clap Your Hands	Whilk & Misky	Clap Your Hands	INDIFFERENT	5:06	KxB8RWkUl40	MPREb_exlCCQvnYDc	UCxj0t7Njx2oAPX8yS_tjaqA
136	30003a	Wax	30003	INDIFFERENT	7:00	AVzEb3dJxjY	MPREb_fVmUL0PTuJR	UCWB27P-B4-ZSwK7IsPa5PfQ
245	Cylinder	Wata Igarashi	New Dawn EP	INDIFFERENT	5:44	Fn4RYB5hzX0	MPREb_vHzY0DSDk5i	UC_hbn8DFUkhmJDytTGErprA
182	BOSOZOKU	WHOKILLEDXIX	19	INDIFFERENT	2:55	jOpUgINuIoA	MPREb_CfsUwBkfqZG	UCsJYw3slrPa20w_I796l_1g
95	Alte Seele (Voiski Remix) (feat. Voiski)	Vril	Alte Seele	INDIFFERENT	7:33	Kz6G3AXPPLM	MPREb_N9xydYgUkB0	UCW51GomilBzOqqsEX36Sxaw
88	the return of the drunken son	Vladimir Dubyshkin	Pornographic Novel	INDIFFERENT	5:47	POiOvVlHLas	MPREb_4KmfZ1RWqQX	UCDqasS3xoHOWiXpRdQZ8FZg
115	I Decided to Fly	Vladimir Dubyshkin	Cheerful Pessimist	INDIFFERENT	5:47	8qDZEbVhDcc	MPREb_kMWEtFOo5qk	UCDqasS3xoHOWiXpRdQZ8FZg
283	No Tell Motel	Vladimir Dubyshkin	The Botox Queen	INDIFFERENT	5:05	cGOJB5xqMGc	MPREb_2ZG2SVzloU8	UCDqasS3xoHOWiXpRdQZ8FZg
15	Poney Pt. I	Vitalic	OK Cowboy	INDIFFERENT	5:23	iJ4-9PryZJw	MPREb_63TDKQ4orHu	UC3FJZVVqKpdQ6fyoz_hGXkg
64	You Prefer Cocaine	Vitalic	Poney	INDIFFERENT	5:42	_QHm3C0NG8w	MPREb_xH5SofeHn3H	UC3FJZVVqKpdQ6fyoz_hGXkg
74	Snake Does Cry (Unpolished Mix)	Viper Diva	Snake Does Cry	INDIFFERENT	6:10	ZvmqKXQGMts	MPREb_0toWn1SIxiL	UCR-iUlMJTfQzBw8BYtezrwQ
4	Lyot (Maurizio Mix)	Vainqueur	Lyot	INDIFFERENT	7:10	wTvELHN6lK8	MPREb_ocpCtgWWPUu	UCkeZCy_Cd4Y6G2C1VNvbGtA
39	Believe You Me	Uun	Sacred Sevens I	INDIFFERENT	6:22	92OCkXEEHsw	MPREb_6C5rT5Yslmf	UCeRi-ccxVjyz4WuSlTwZrYg
92	Analysis Paralysis	Uun	Sacred Sevens I	INDIFFERENT	5:59	hdDLC57Qhx4	MPREb_6C5rT5Yslmf	UCeRi-ccxVjyz4WuSlTwZrYg
303	Geryon	Uun	Infernal Measure EP	INDIFFERENT	6:17	PS1k4lyfnjY	MPREb_JlzHWrqMh6Y	UCwv4tv4njHTtopr-rqL9_6g
336	Vermilion Tomb	Uun	Infernal Measure EP	INDIFFERENT	4:46	4cvU1iN15GE	MPREb_JlzHWrqMh6Y	UCwv4tv4njHTtopr-rqL9_6g
338	Cuneiform	Uun	Herdersmat Part 19-22	INDIFFERENT	6:33	FukXmtvrlrM	MPREb_JM2n5HEZzNV	UCag7oTOjvQYXSFacdimb7uA
117	Border Country	Underworld	DRIFT Episode 4 “SPACE”	INDIFFERENT	6:56	9axDWI2fIgs	MPREb_Gy4DywZPSWc	UCahiOREGlmLx7vi-35NbdBg
214	Dark And Long (Dark Train)	Underworld	1992 - 2012	INDIFFERENT	10:54	sHK9usHwxSs	MPREb_RBZUcY62L7S	UCahiOREGlmLx7vi-35NbdBg
217	Rez / Cowgirl (Live / Brussels, Belgium / 1999)	Underworld	Everything, Everything (Live)	INDIFFERENT	11:48	hRo4U_VHsYo	MPREb_wI2bpSs8Iw5	UCahiOREGlmLx7vi-35NbdBg
277	The Seawolf	Underground Resistance	Nocturbulous Behavior - The Mix	INDIFFERENT	2:15	xJszWjDaMXc	MPREb_NiDOVK5CDyn	UC0J4_hDszToYc8wo3GzbqaA
322	The Final Frontier (Nomadico Remix)	Underground Resistance	The Final Frontier (Nomadico Remix)	INDIFFERENT	6:58	OsEbmNOgZvM	MPREb_VUmfZtquv0s	UC0J4_hDszToYc8wo3GzbqaA
296	Slave to the Rave	Umwelt	Rave or Die 07	INDIFFERENT	4:58	WWjt2IZYOmg	MPREb_TKiHoXkIZ8x	UCoqs5EqpWCh3xXe2uZlDyKQ
77	Axis of Revision	Tzusing	A Name out of Place, Pt. I	INDIFFERENT	4:08	LgmGLhR4eoQ	MPREb_GPUIkYjSTRF	UCTtirhVMD-JeVN15aP8YZDg
225	4 Floors of Whores	Tzusing	A Name out of Place Pt. II	INDIFFERENT	5:06	OB3K4ofuHbs	MPREb_Fnyn16zcNTc	UCTtirhVMD-JeVN15aP8YZDg
2	Wave 2	Truncate	Wave 2	INDIFFERENT	5:14	2Tq_QtWC8wI	MPREb_Mos3PJvOcwQ	UCaOpe3vAy9wiq440oqNGmfw
201	страсть	Trudge	100	INDIFFERENT	7:54	dx-zzugl-P0	MPREb_Jn3AkowYIYv	
238	Jan Roller	Trevino & Fossil Archive aka Roberto	Formarcus	INDIFFERENT	7:18	FDtV_4TJs2k	MPREb_YP8vKHEsSha	UCYCe52b25T1tMaV2y7B8SAA
317	The Search	Trancesetters	The Search	INDIFFERENT	9:46	1OI9M1XKf1c	MPREb_gsUFAwpGNtA	UCGkVGZwvg8rS7XVGgk0ZVEA
279	Afters Acid	Tin Man	10 Years Of Acid Test	INDIFFERENT	7:02	t385Fb6ziFw	MPREb_IO0XjBzTSJ5	UCT6gPqQmn6nG0ECpBMxJKGw
138	Damage Per Second	Tim Tama	VA Essential Memories EP Part III	INDIFFERENT	5:42	vVFIopilMU8	MPREb_PMyZq6CSv1X	UC5CgmSgd7tKAcMBH0ViiHFA
112	Kopfgeister	Thomas P. Heckmann	Kopfgeister, Pt. 2 (1994-1999)	INDIFFERENT	6:31	r7KpZyV4zm0	MPREb_4cekaNbLdDT	UCtgQY-ECQAwHYdwf4qGovqQ
321	Big Dreams	The Score	Big Dreams	INDIFFERENT	3:06	FOsYyUGFigI	MPREb_638bxRrccco	UCdQICt_YIo4FEOaLtTOi4RA
292	Love Rules (Loveparade 2003)	The Love Committee	Love Rules (Loveparade 2003)	INDIFFERENT	6:53	pCh9ayafYNQ	MPREb_EapWNxpHYuj	UCSeum6e4D6HUKXgctD3yNgQ
45	One Night in Nyc	The Horrorist	Manic Panic	INDIFFERENT	4:15	K423XiHkPbU	MPREb_T9XiZ3HPlYL	UC2jRBnfviXf9nqlfv7FYuEw
66	Fast Forward (Intet Glemt, Intet Tilgivet)	The Empire Line	Rave	INDIFFERENT	6:32	l59Udqxyxek	MPREb_MB89HP1o9mW	UCvKmnoWf8j3ArmAcL8F2afA
28	Mononix	The Advent	Collection 100	INDIFFERENT	5:35	LI24vXDSNuE	MPREb_jpwkfDWizUk	UC3mblxHphEitUTpkUBS1h3Q
326	C. Control	The Advent	New Beginning	INDIFFERENT	7:09	GfREUiVOBs8	MPREb_vRyeJikYFMm	UC3mblxHphEitUTpkUBS1h3Q
253	The Wipe (5 AM Synaptic)	Teste	The Wipe	INDIFFERENT	4:58	oFsL3klsnto	MPREb_awxrpcWwG2z	UC1FWaj4FhYhPdOJw9X-goNA
179	The Beholder	Temudo	Not The End But A Change	INDIFFERENT	7:18	mBTuY23sru0	MPREb_Mkhs5caUOKM	UCmGT0V57OFOUJWRpmrfW2tw
309	Neue Dimensionen	Techno Bert	Neue Dimensionen	INDIFFERENT	6:42	UOSPZh3eLts	MPREb_gHaRlmh3BR7	UCaho_OPH1zrhhgDnhU6YwkA
174	Vortex	Taupe	Vested EP	INDIFFERENT	5:49	VQOTAqOZmfg	MPREb_uOH2d3gsXVY	UC5a00NaLdpAMXlKMU2B2LoA
171	Raduga	Tanzkarte	Raduga	INDIFFERENT	6:44	kK_Wy68Nm5E	MPREb_23E0BzU2DVX	
257	Anarchists	Takaaki Itoh	Killing All Anarchists	INDIFFERENT	5:05	ML3YTWZzIxI	MPREb_iVQICRzXb3U	UC47UfQboCGF9-JWPT3WRhCQ
246	Liquid Night	T78	Liquid Night	INDIFFERENT	7:38	TydDF7aVP50	MPREb_eWgEA0TtCh3	UCwmYPFeICSmbpya6jYvisYA
113	Returning to the Purity of Current	Surgeon	Force + Form	INDIFFERENT	8:23	dp6uRnzsXrI	MPREb_WYA3O2ATneU	UCrF4-hkEJsSZMu0QS_UjxeQ
328	La Real, Pt. 1	Surgeon	La Real	INDIFFERENT	6:13	uj-aP1s6-z0	MPREb_CAhfEtMS65Z	UCrF4-hkEJsSZMu0QS_UjxeQ
333	Action	Surgeon	Dynamic Tension EP	INDIFFERENT	6:12	UZ6SC7GzAAA	MPREb_1FjWl4XVcm8	UCrF4-hkEJsSZMu0QS_UjxeQ
334	Emerge 1 (British Murder Boys Remix, Pt. 1)	Substance	Remixes Chapter 1	INDIFFERENT	5:28	uDygmJVQNbY	MPREb_OagvsXrBu0H	UCrbie_piEsHTIROjncPKtLw
261	Satyricon	Sterac	Missing Secrets	INDIFFERENT	9:08	pvEeYjJG0lU	MPREb_Ms4zgSfU2NR	UCXC4tLHu-ovXdFAfvV7aM-w
323	Not Coming	Sterac	More Or Less	INDIFFERENT	5:27	tRCVHTHuHjc	MPREb_lNrFfvDOlYC	UCUmaTPVc-5xwfz8VX8IbDsQ
42	Diamant	Stephan Bodzin	Unity	INDIFFERENT	9:08	0Qyn2dLtQzo	MPREb_uETcIl3Lq1f	UC83NvL9c9qU7pIxVgX1XvYA
122	Am Treptower Park	St. Concrete	Utility I	INDIFFERENT	5:40	yA09BZp1Kk8	MPREb_vQjfwRlnIMg	UCuueJKiBP_TLEwhKCkCVggQ
128	Mühlenstr	St. Concrete	Utility I	INDIFFERENT	5:36	6jrV2Mcs5k4	MPREb_vQjfwRlnIMg	UCuueJKiBP_TLEwhKCkCVggQ
231	Tresor	Speedy J	Rise	INDIFFERENT	6:53	PB3uJEDqsGA	MPREb_9sCX6epI2Sj	UCA8ylwXHLCyvcPJZ8KT7oHQ
159	Release It	Source	Organized Noise	INDIFFERENT	6:36	KTPSxvd-Rbk	MPREb_G0Bje9AXnMW	UCwrxhUclavI4NL19g8Psm6Q
