	title	artist	album	likeStatus	duration	videoId	albumId	artistId
29	dlp 1.1	William Basinski	The Disintegration Loops	LIKE	1:03:35	juH-dWmfcVM	MPREb_BMGXDV34c2i	UCi6J6_Fl9zUHMFmduDLISfw
7	Quiet Friend	Steve Roach	Structures From Silence	LIKE	13:23	dMBBeND2zNU	MPREb_T5yO1RaMw3C	UCepS-kV4mOOgXwvP2_nCd4A
200	Telahora	Nicolas Jaar	Telas	LIKE	16:16	MfPJ7on8SIE	MPREb_jkG5EgrdPeO	UChW6_xMkaHkjBmQgIdiFaBw
260	An Arc Of Doves (2004 Digital Remaster)	Harold Budd	Ambient 2: The Plateaux Of Mirror	LIKE	6:30	9_frHl9zybU	MPREb_cWfRSZc1iS5	UCD_irSJt5hBidim8LYmC3EQ
272	Creature, Pt. 1	Djrum	Portrait with Firewood	LIKE	4:44	QMwqww7h89I	MPREb_zWfxWjbB5WW	UC-gNRMqAmhHUUkzCIkHzpxQ
97	1/2 (Remastered 2004)	Brian Eno	Ambient 1: Music For Airports	LIKE	12:08	R4S8be2xlD8	MPREb_5aNAcGxsnUX	UCoWPCwCsQmBwoXBCL_laaIw
199	An Ending (Ascent) (Remastered 2005)	Brian Eno	Apollo: Atmospheres & Soundtracks	LIKE	4:27	hvzQQOAjuoU	MPREb_6awKoJWipN7	UCoWPCwCsQmBwoXBCL_laaIw
188	My Machine	Boris	Pink	LIKE	2:00	D39h4PFHEmo	MPREb_sorVy2Qbuq4	UCQw0ksJNGo4bMlj2EViW8LQ
254	Kid For Today	Boards of Canada	In A Beautiful Place Out In The Country	LIKE	6:24	zV0P-WO0Mds	MPREb_Ds9iPjlSZFa	UCidyEq0ZC6rcqZmwKt_g_2g
225	Deep Distance	Ashra	New Age Of Earth	LIKE	5:50	BJZ9PVvu9OA	MPREb_pH9UhAArlRT	UCxICdazAuxfYyfl6c4Cyl-A
196	Nattens Øre Lytter	øjeRum	Butterfly Tongues More Ancient Than Flowers	INDIFFERENT	3:30	dgK5xWRP8uA	MPREb_ZolE82f958Z	UCVK3j-Gu09OsAGS4Qh7yQ6A
235	Fyret Der Lyser Over Skyerne	øjeRum	Lav Sol	INDIFFERENT	9:40	NnZP0DokPBs	MPREb_iwU4Jf0F0qZ	UCVK3j-Gu09OsAGS4Qh7yQ6A
2	Charlie	loscil	Plume	INDIFFERENT	8:49	lm9BbFaFXPk	MPREb_Ng1iG2NwySQ	UC9EE9HaPwLsC7F6C9Po0HVg
124	Estuarine	loscil	Endless Falls	INDIFFERENT	8:20	MYtX2zYlfdA	MPREb_5petiP3xRKC	UC9EE9HaPwLsC7F6C9Po0HVg
158	Anthropocene	loscil	Monument Builders	INDIFFERENT	4:39	WmhPWGkAqUw	MPREb_1RwiUcSLJJA	UC9EE9HaPwLsC7F6C9Po0HVg
170	Lake Orchard	loscil	Endless Falls	INDIFFERENT	7:40	0NvNhTLlDRI	MPREb_5petiP3xRKC	UC9EE9HaPwLsC7F6C9Po0HVg
20	聾者	desert sand feels warm at night	一人で	INDIFFERENT	2:13	RJ7fFpRtZEA	MPREb_QAbjBdfstoJ	UCX5YoShvAty48R1P32RR9Gg
154	discrete (the market)	claire rousay	discrete (the market)	INDIFFERENT	6:35	B9bKFGJb4fQ	MPREb_aaTfm6F9SaX	UCxDyLQbNHakHRvqLGUXjagw
69	A Very Warm Day	amble	Slow Sketch, Vol. 2: Reflections of the Ambient Community	INDIFFERENT	7:44	MvP0JSI-0u8	MPREb_eUeaaup5ocl	
59	The Buried Giant	Yseulde	The Buried Giant	INDIFFERENT	6:45	V8b6Jyr9_nU	MPREb_a8saj4fv2ly	UC0UE1-EOZGpbiLG8tJUeHiQ
81	Foiled	Yellow Swans	Going Places	INDIFFERENT	4:22	GAxn_V5hSI0	MPREb_jHEK5WWBEsx	UCKQpFRPtdFOv92inf24IfCg
220	Sing The Noises	Yasume	Where We're From The Birds Sing A Pretty Song	INDIFFERENT	5:28	UX0_6DGIgRE	MPREb_Yw64fo7aUkD	UCQLRkJ0O2EA9gm-MQgJuesQ
6	Disintegration Loops (1.1 Excerpt II)	William Basinski	Music from The Comedy, A Film by Rick Alverson	INDIFFERENT	2:00	G8ye-LXJWew	MPREb_3apdJTHjO34	UCi6J6_Fl9zUHMFmduDLISfw
8	Variation I	William Basinski	Variations: A Movement In Chrome Primitive	INDIFFERENT	14:25	CbyzGHS5p8A	MPREb_m7oUiTECNiF	UCi6J6_Fl9zUHMFmduDLISfw
42	Cascade	William Basinski	Cascade	INDIFFERENT	40:10	5spXhAM0xDA	MPREb_fRu7560ptRB	UCi6J6_Fl9zUHMFmduDLISfw
86	dlp 5	William Basinski	The Disintegration Loops III	INDIFFERENT	52:20	A5hQpnyhGhQ	MPREb_e0ZiYGWAx1j	UCi6J6_Fl9zUHMFmduDLISfw
106	Watermusic II	William Basinski	Watermusic II	INDIFFERENT	1:06:39	iubgXSsc_jU	MPREb_9eisGtrR2GZ	UCi6J6_Fl9zUHMFmduDLISfw
146	The Deluge Live at Issue Project Room	William Basinski	The Deluge Live at Issue Project Room	INDIFFERENT	36:08	TqZwY4ydHrI	MPREb_QQD7oJd9amI	UCi6J6_Fl9zUHMFmduDLISfw
136	At Length and Dead Horse	Willamette	Diminished Composition	INDIFFERENT	4:52	2BGIgf4uZUc	MPREb_R4MgvaetNAB	UC20stlnjoENFtcQ7a2ewJUQ
9	Miles' Lullaby	Washed Out	Sidney's Lullaby b/w Miles' Lullaby	INDIFFERENT	3:10	nBawz2LqJdY	MPREb_mMAZKDQxJ6M	UC1rCT_Cy1pP1wnRcEUV3nPA
