	title	artist	album	likeStatus	duration	videoId	albumId	artistId
60	Brain Cycles	Radio Moscow	Brain Cycles	LIKE	3:23	Qm5daqD4Xzo	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
21	Storm Coming Down	The Devil and the Almighty Blues	The Devil and the Almighty Blues	INDIFFERENT	10:18	eaGwCIwUow8	MPREb_qWLypMREFaB	UCnTkt--CrlRPYQGfdFeS91w
24	Tired Old Dog	The Devil and the Almighty Blues	The Devil and the Almighty Blues	INDIFFERENT	6:28	vQJyjTdk8Kk	MPREb_qWLypMREFaB	UCnTkt--CrlRPYQGfdFeS91w
30	Root to Root	The Devil and the Almighty Blues	The Devil and the Almighty Blues	INDIFFERENT	9:48	7gJBdtFvFdk	MPREb_qWLypMREFaB	UCnTkt--CrlRPYQGfdFeS91w
41	Never Darken My Door	The Devil and the Almighty Blues	The Devil and the Almighty Blues	INDIFFERENT	6:35	kdn7IbA4hd0	MPREb_qWLypMREFaB	UCnTkt--CrlRPYQGfdFeS91w
47	Distance	The Devil and the Almighty Blues	The Devil and the Almighty Blues	INDIFFERENT	4:11	54It9KsyQAQ	MPREb_qWLypMREFaB	UCnTkt--CrlRPYQGfdFeS91w
56	The Ghosts of Charlie Barracuda	The Devil and the Almighty Blues	The Devil and the Almighty Blues	INDIFFERENT	7:47	A2mPFJ_XFcY	MPREb_qWLypMREFaB	UCnTkt--CrlRPYQGfdFeS91w
1	250 Miles	Radio Moscow	Brain Cycles	INDIFFERENT	4:52	GiQVeJpJCSg	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
3	The Escape	Radio Moscow	Brain Cycles	INDIFFERENT	4:00	BdFlpavWCIU	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
6	Hold On Me	Radio Moscow	Brain Cycles	INDIFFERENT	3:20	TuKlPEevl4o	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
25	Black Boot	Radio Moscow	Brain Cycles	INDIFFERENT	2:04	d8DLJiIskeM	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
31	No Jane	Radio Moscow	Brain Cycles	INDIFFERENT	5:20	Ux0MLm0lHUQ	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
35	Broke Down	Radio Moscow	Brain Cycles	INDIFFERENT	4:15	P4D4RA-76D0	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
40	City Lights	Radio Moscow	Brain Cycles	INDIFFERENT	3:58	LnA3yDOOA8U	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
48	No Good Woman	Radio Moscow	Brain Cycles	INDIFFERENT	8:13	vAC4bYXn5yI	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
59	I Just Don't Know	Radio Moscow	Brain Cycles	INDIFFERENT	5:00	07hwgY6RaTI	MPREb_s30YPD46rxh	UCCGMPJ9VBQ_lFS7uKG4nYCA
4	Trouble In Mind	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	3:39	6Cep_5nO09o	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
17	Fast Boogie No. 2	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	4:24	zqMQ6w7DDsE	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
27	Feel So Blue	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	5:22	21nd2Z8x4X4	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
28	Short Dressed Woman	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	4:13	NxQofffdX8o	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
36	Train Boogie	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	5:01	gPkskDqqbX8	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
38	Fine Little Angel (Take 2)	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	4:16	KXiQGxNoAOY	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
51	Outskirts of Town	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	5:39	2FGgbMHEnNs	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
61	Fast Boogie No. 1	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	7:19	scznsVC50dY	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
62	Easy Blues	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	2:46	A5LciQLCLkg	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
64	Fine Little Angel (Take 1)	Lafayette Leake	Easy Blues (France, 1978) [Blues Reference]	INDIFFERENT	3:40	RtUHetxnRx0	MPREb_9kdRmg09d7x	UCRRKVufha2kzABHD-HbA1CQ
7	Not so Nice	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	3:33	ZmM9W1f9hCg	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
9	The Exhibition	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	3:40	TlyNbsIkUOQ	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
13	Crash and Burn	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	3:21	FCGISaBh_5s	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
29	People	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	5:00	Leu4J0MLqm0	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
33	Sit in the Sun	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	4:26	5qVXt-nAVbw	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
37	No Control	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	3:25	B6qZLek7_No	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
39	My Empty Hand	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	2:59	9kIjdAdlZCE	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
49	Home I Know	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	4:02	L5Ra1y2B2Ek	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
55	Never Again	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	4:57	XB5cjxxwA4E	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
57	I Won't Run	Forty Feet Tall	Forty Feet Tall	INDIFFERENT	4:16	csxqbKi22CQ	MPREb_pT1vRGugEG6	UC6lx_Mwkw2c9u2RodQQ7_nw
0	Woman Of Intention	Deap Vally	Sistrionix	INDIFFERENT	3:41	zvHO3ZMu-FY	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
5	Six Feet Under	Deap Vally	Sistrionix	INDIFFERENT	9:34	_AJ3wZlGm48	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
8	Lies	Deap Vally	Sistrionix	INDIFFERENT	3:06	DWgraXpBe-c	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
20	Your Love	Deap Vally	Sistrionix	INDIFFERENT	3:31	L5Ssf71_sFg	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
22	End Of The World	Deap Vally	Sistrionix	INDIFFERENT	4:33	gwq6SNSqtBU	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
34	Walk Of Shame	Deap Vally	Sistrionix	INDIFFERENT	1:52	CMjYhKGslrA	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
46	Bad For My Body	Deap Vally	Sistrionix	INDIFFERENT	3:03	f70ANSZaCgU	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
50	Baby I Call Hell	Deap Vally	Sistrionix	INDIFFERENT	3:00	t-aIFLVs0vo	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
52	Raw Material	Deap Vally	Sistrionix	INDIFFERENT	3:51	2vekW7wTNgQ	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
53	Creeplife	Deap Vally	Sistrionix	INDIFFERENT	2:22	VFk0JdQV6ws	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
58	Gonna Make My Own Money	Deap Vally	Sistrionix	INDIFFERENT	2:32	B5JF-ygwuEk	MPREb_1kAlOLyZkcC	UC9M9z-6LntYVQZxitgysAag
2	One Way, or Another (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	9:15	C2Ip8ZN_gS8	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
10	Oleo (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	11:20	uMLhkc4FDAU	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
11	Bag Drag (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	3:11	7bALMGiYfjs	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
12	Heeby Jeebies / Money / Hound Dog / What’d I Say (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	17:05	IusakzIHcVQ	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
14	No Need to Worry (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	20:19	KyFaZrtsjFA	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
15	No Need to Worry (Live at the Isle of Wight 1970)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	5:09	UDJw3l4qcoQ	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
16	Let Me Swim (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	5:07	f831POrfO7c	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
18	Evil (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	16:12	mbf9oFifiWA	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
19	Parchman Farm (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	6:22	z6ZqwEOcnhU	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
23	Swim (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	4:45	7-Fxi50C3OE	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
26	Bad Mother Boogie (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	5:26	c5cPT0Sqvs8	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
32	Parchman Farm (Live at the Isle of Wight 1970)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	4:31	_UZ7RqVDe9U	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
42	Alaska (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	3:57	3zHGBqqpOLg	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
43	BRO. Bill (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	6:12	VJTGgISoKUY	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
44	Bedroom Mazurka (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	4:59	Zuc-1pw12_8	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
45	Our Lil Rock-N-Roll Thing (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	7:00	kKSCRVoUl0I	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
54	Intro / Long Tall Sally (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	12:17	Ehe-A7tciw8	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
63	Big Mama Boogie - Parts I & II (Live)	Cactus	Fully Unleashed - The Live Gigs (Live)	INDIFFERENT	15:31	Ov-iYHtokA4	MPREb_Oqo5jf6X8yl	UClc-yxJB98a2AB-6k8BZx3w
