	title	artist	album	likeStatus	duration	videoId	albumId	artistId
14	This Will Pass	Home	Falling into Place	LIKE	3:22	CcVBUe1p75c	MPREb_ZKrn1OIw2oi	UCfWnoT0YX8RfjFaXmg2Eq5g
142	Division	Forhill	Division	LIKE	3:36	W4kZ26DlW2g	MPREb_0YlZL3l2DtS	UCs7gqdcOcOf0cSybpfT--8g
15	Flightwave	Com Truise	Galactic Melt	LIKE	5:05	yRF2LTbMDfU	MPREb_QXiyPdFjJFm	UC3G1cV92stSGOy4cLgXmgJQ
145	Compress—Fuse	Com Truise	In Decay, Too	LIKE	3:24	K5iVnEnc4lQ	MPREb_ABOiPJX5x4K	UC3G1cV92stSGOy4cLgXmgJQ
294	Sun	憂鬱	Sun	INDIFFERENT	5:24	RakcYpzOI8A	MPREb_lmWFnR4g3sc	UC9ewHpYXBGtYJVKPvKtHW8Q
55	Invocation (Ancient Egyptian Melody)	ÆUR	Invocation (Ancient Egyptian Melody)	INDIFFERENT	1:22	iosDNey1JrM	MPREb_yg40t98IhoV	UCTuFlS9OvFsiUIoR4UtRwLw
371	LOW (feat. Everyst & RVFVEL)	jvnn3	VOLUME 1	INDIFFERENT	3:10	P9C5PmwbvLo	MPREb_OcRX1fYVcis	UC8Wmpip_I7mBULY8OrKuNug
461	You Did This	genCAB	Thoughts Beyond Words	INDIFFERENT	4:37	MCbOqQwjNyQ	MPREb_3o4Or6Bza5p	UCBEiGmvoTl45p019QmoVB-w
310	Terminator (Main Title Theme Synthwave Cover)	deBLAZQUEZ	Terminator (Main Title Theme Synthwave Cover)	INDIFFERENT	2:07	ZKRIXshu3Uc	MPREb_3YLCPYFjckh	UCp2HUyLQnxFFrJ8biJV8E8g
273	Elektronik Supersonik	Zlad!	Elektronik Supersonik	INDIFFERENT	3:07	I1VLuZ9Smf0	MPREb_7JEr5gt4Igm	UCquRhzXu9yXEV_I_XcqMZeQ
163	Supercomputer	Zenith Volt	Supercomputer	INDIFFERENT	4:58	F0E-ZKMxwXo	MPREb_Ikg9WPyRNjk	UCg-khQf4aQUynNyV6flr0NQ
282	1999	Zane Alexander	S c r e e n s a v e r	INDIFFERENT	3:37	dwEKhy6W3ps	MPREb_Xwsr8oLBeEC	UCQ7EbWPLmQ-e9k1uGsgYM4w
356	Are You with Me?	Zadreed	Nightglow	INDIFFERENT	3:41	ALy2CiFc6rc	MPREb_u4SubrW4EqE	UCve98pIBP39BJL9KugSssmw
