	title	artist	album	likeStatus	duration	videoId	albumId	artistId
54	µ-Ziq Theme	µ-Ziq	Tango N'Vectif	LIKE	4:37	D3BIprGyK0A	MPREb_Z9iu9tLCUiJ	UC7IoxqTlXj7Kky2eW3Hnvpg
45	Situps Pullups	edIT	Crying over Pros for No Reason (Deluxe Edition)	LIKE	5:17	0dv2rVe026c	MPREb_UF2U4BXwCGA	UCeNjTa3N2IrAaOA-rZoIVJg
46	Ants	edIT	Crying over Pros for No Reason (Deluxe Edition)	LIKE	4:04	X7NcIOPIAuY	MPREb_UF2U4BXwCGA	UCeNjTa3N2IrAaOA-rZoIVJg
47	Ltlp	edIT	Crying over Pros for No Reason (Deluxe Edition)	LIKE	3:16	hS4frTl0vAQ	MPREb_UF2U4BXwCGA	UCeNjTa3N2IrAaOA-rZoIVJg
67	The Cave in Proper	Xploding Plastix	The Donca Matic Singalongs Revisited	LIKE	4:46	xGgeAg4-Hio	MPREb_EZ9pSaRriSK	UCrTcRltTzPnv4A515e3ClRw
15	Brace Yourself Jason	U-Ziq	Lunatic Harness	LIKE	6:23	T5ut41xU2TI	MPREb_suLHdTyws8L	UC7IoxqTlXj7Kky2eW3Hnvpg
3	Past Is Prologue	Tycho	Past Is Prologue	LIKE	5:51	iFRcgW4mOQg	MPREb_eR1mXvdlHTI	UC6M6DgivBo3VHTYDa9BblqQ
9	Dive	Tycho	Dive	LIKE	8:20	PAdgyqtMoJ8	MPREb_rObD1Zo91l6	UC6M6DgivBo3VHTYDa9BblqQ
24	A Walk	Tycho	Dive	LIKE	5:17	SDNA934EEVk	MPREb_rObD1Zo91l6	UC6M6DgivBo3VHTYDa9BblqQ
55	Towers Of Dub	The Orb	U.F.Orb	LIKE	15:01	MEc8_2NAy4E	MPREb_c7pMvO76CzK	UCpoyFBLTLfbT2Z1D1AnlvLg
