	title	artist	album	likeStatus	duration	videoId	albumId	artistId
26	Maps (Geographer Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	LIKE	3:46	4Plb9RopbsM	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
51	Being No One, Going Nowhere (Peaking Lights Disco Dub)	STRFKR	Being No One, Going Nowhere (REMIXES)	LIKE	6:01	zWBKGvqSHBY	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
12	Things It Would Have Been Helpful to Know Before the Revolution	Father John Misty	Pure Comedy	LIKE	4:18	bzFzYNrhEsg	MPREb_I1Jk5UVBYQK	UCbDizOzZ4qTxDBAVc5xbbAw
19	Ballad of the Dying Man	Father John Misty	Pure Comedy	LIKE	4:50	FrP0rd0D3OE	MPREb_I1Jk5UVBYQK	UCbDizOzZ4qTxDBAVc5xbbAw
35	I Would Hurt a Fly	Built To Spill	Perfect From Now On	LIKE	6:14	ygU0gLko39U	MPREb_6FSNQlCW9Ot	UCrMHecWO6fui7O2d9dnpEZg
45	Kicked It in the Sun	Built To Spill	Perfect From Now On	LIKE	7:32	W8AqXVL-0ew	MPREb_6FSNQlCW9Ot	UCrMHecWO6fui7O2d9dnpEZg
56	Randy Described Eternity	Built To Spill	Perfect From Now On	LIKE	6:04	cnU-2R4ohiE	MPREb_6FSNQlCW9Ot	UCrMHecWO6fui7O2d9dnpEZg
90	Black Car	Beach House	7	LIKE	4:11	c-1P5fm5yHM	MPREb_VminM1YByDN	UC785fnTclD2P2WQXRAt2BVg
98	Lemon Glow	Beach House	7	LIKE	4:04	m2PFcYQeeb4	MPREb_VminM1YByDN	UC785fnTclD2P2WQXRAt2BVg
75	Spring Recital	Suncapades	Everything Darker	INDIFFERENT	3:03	7HqhYU0dm6A	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
76	You Are to Know	Suncapades	Everything Darker	INDIFFERENT	2:52	PMgAf30UZWI	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
77	Born with a Twist	Suncapades	Everything Darker	INDIFFERENT	3:42	d4elYTiYrOw	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
78	Post Break-Up	Suncapades	Everything Darker	INDIFFERENT	2:50	siOp-5dodgo	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
79	Sad to Be Light	Suncapades	Everything Darker	INDIFFERENT	3:40	ry7GidrJVUU	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
80	Sunday New Year	Suncapades	Everything Darker	INDIFFERENT	4:17	m8hwK0dIdl8	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
81	Long Lost	Suncapades	Everything Darker	INDIFFERENT	2:37	fKmY8SHXYa0	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
82	The Last Top Five	Suncapades	Everything Darker	INDIFFERENT	3:02	cf9UmbR0Z3g	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
83	Top Drawer/night Stand	Suncapades	Everything Darker	INDIFFERENT	3:51	vSZ3BEtPaMM	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
84	Witch Doorstep	Suncapades	Everything Darker	INDIFFERENT	2:37	_OhCh9xf-BE	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
85	Blithe	Suncapades	Everything Darker	INDIFFERENT	4:02	JiOXnBr0kMc	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
86	Fuzztitution	Suncapades	Everything Darker	INDIFFERENT	5:10	tWSOJTnNLks	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
87	Open House	Suncapades	Everything Darker	INDIFFERENT	3:38	lWedPqUF0-I	MPREb_PL8RJWPlFk2	UC0Csou9rWlPleV8vgv8eT5Q
2	Gerl	STRFKR	Vault Vol. 1	INDIFFERENT	3:22	HXWKjoxhwKc	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
4	Long Time	STRFKR	Vault Vol. 1	INDIFFERENT	0:56	sNSWkUKVuJ4	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
6	Tape Machine (Kauf Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	3:52	Ztlgy5bbrhE	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
7	Rachel	STRFKR	Vault Vol. 1	INDIFFERENT	2:24	q98EdKCLkFI	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
8	I Wanna Hear About That	STRFKR	Vault Vol. 1	INDIFFERENT	0:55	pFxR3nAoPVQ	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
15	Open Your Eyes (Chrome Sparks Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	4:20	IDCNavM1Lrc	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
16	Keeps Us Together	STRFKR	Vault Vol. 1	INDIFFERENT	0:53	3n64F29nrjg	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
25	Something Ain't Right (Lindstrøm & Prins Thomas Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	8:49	gwYkbG7xXkE	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
28	Make Into Something Nice	STRFKR	Vault Vol. 1	INDIFFERENT	1:48	6q7zp4LTCVU	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
30	Oh Darling	STRFKR	Vault Vol. 1	INDIFFERENT	0:45	pOv6x60ZMuU	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
31	Satellite (Blake Parsons Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	4:56	QH5H-6GjfVw	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
34	Never Ever (Ghosts Of Venice Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	5:48	tAY524eTaGE	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
38	Basically	STRFKR	Vault Vol. 1	INDIFFERENT	2:47	akzE1P9nIFE	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
39	Daylight	STRFKR	Vault Vol. 1	INDIFFERENT	1:05	CvYIKcTi50Q	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
40	Eyes In The Back Of Your Head	STRFKR	Vault Vol. 1	INDIFFERENT	0:56	a4ZDsNx6PVw	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
48	Only Humans	STRFKR	Vault Vol. 1	INDIFFERENT	6:12	LctUdBIo6G0	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
49	Goofy Shit	STRFKR	Vault Vol. 1	INDIFFERENT	1:04	HKCkVy6M-EU	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
50	interspace (Xiu Xiu Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	3:41	xYOgtGHJ_bA	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
53	Flyer	STRFKR	Vault Vol. 1	INDIFFERENT	2:41	JQfKAhwGUmg	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
57	Dark Days (PIXELATED Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	5:10	Hd3nSfKFnaU	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
59	Benine Redux	STRFKR	Vault Vol. 1	INDIFFERENT	2:10	RoIdJcYv9XU	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
63	When I'm With You (Juan MacLean Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	6:52	WUBumfwxi58	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
67	Anything At All	STRFKR	Vault Vol. 1	INDIFFERENT	2:16	2u-Rtz3aBNY	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
68	Baby	STRFKR	Vault Vol. 1	INDIFFERENT	0:31	Wrw-4kKctZE	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
69	Just Like You	STRFKR	Vault Vol. 1	INDIFFERENT	2:17	B9N-slxcifM	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
70	In The End (Filterkat Remix)	STRFKR	Being No One, Going Nowhere (REMIXES)	INDIFFERENT	4:21	m7yZYad5bw0	MPREb_hgkz5HZPYyz	UCL6qpCZZBTfp1MtI3bmL7jw
71	So Sexy	STRFKR	Vault Vol. 1	INDIFFERENT	1:16	hJ_w-lL6XwE	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
72	Prrrty	STRFKR	Vault Vol. 1	INDIFFERENT	0:56	rEBYApwyldo	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
73	Boogie Woogie	STRFKR	Vault Vol. 1	INDIFFERENT	1:39	PmASvJ1Oxh0	MPREb_qH7PH0Uq07U	UCL6qpCZZBTfp1MtI3bmL7jw
3	Welcome Home, Son	Radical Face	Ghost (Anniversary Edition)	INDIFFERENT	4:47	cO7EhZegeCk	MPREb_1copp5Z0SPt	UCq4mJcl-ac030u3kbn9RP-A
9	Glory	Radical Face	Ghost (Anniversary Edition)	INDIFFERENT	6:12	e4XM8Zdrgsw	MPREb_1copp5Z0SPt	UCq4mJcl-ac030u3kbn9RP-A
10	Asleep on a Train (Piano)	Radical Face	Ghost (Anniversary Edition)	INDIFFERENT	2:09	H2n46Ivqiq4	MPREb_1copp5Z0SPt	UCq4mJcl-ac030u3kbn9RP-A
