	title	artist	album	likeStatus	duration	videoId	albumId	artistId
202	Golden Brown	The Stranglers	The Collection 1977-1982	LIKE	3:27	Qca9ByvLhBA	MPREb_eOfhncLHRMP	UCc-wWdxvOaNCJDbl2Gr1ThA
167	Incident at Neshabur	Santana	Abraxas	LIKE	4:58	338TDhTN7HQ	MPREb_L54fdPS3ZqF	UCX0rR7x8-nLew2t8UH-n2aw
672	New Grass	Ólafur Arnalds	some kind of peace	INDIFFERENT	4:03	f-6WSrgr2xI	MPREb_3l6EXJ9JS8G	UCDQlvsMEM5j0k5cqmfHBzVA
760	this storyends	winnie	Synchronized	INDIFFERENT	3:14	stLIXV3Wg-E	MPREb_W3xvcj7EasB	UCgfpoY-PaYaabJsPsLNWf7A
25	Mr.Toast (feat. Philanthrope)	tusken.	Chillhop Essentials Fall 2017	INDIFFERENT	1:59	TscEyvSz7BE	MPREb_xhcnvItHoCW	UCyLTvZtYEB7NsoKN1qd6laQ
915	BAND UP	sword & Re_V	BAND UP	INDIFFERENT	2:52	chbAXsf8_ik	MPREb_FaTaU3celFF	
621	Wait For You	soft serve	Wait For You	INDIFFERENT	4:05	icmnutJVQXo	MPREb_YcaMkaiS7f8	UCoFzjTp8KsD1BgE0ffvK7vg
532	Rebubula	moe.	No Doy	INDIFFERENT	11:27	8STuiqucW9Y	MPREb_FtdZosrLKMg	UCSpbULokrmQsomLE4H-7HCw
82	leave	lost-fi	leave	INDIFFERENT	2:09	3ReQ2LSVTDc	MPREb_owQRS1Gndyw	UCsi-2TGqoz2z11k5kpRe2dw
379	Nibiru(Instrumental)	iLL Audio	Know No Boundaries (Instrumental)	INDIFFERENT	6:15	Vc69DoOvuL8	MPREb_geeULM2cilc	UCmCsRndzZTn-nYjn_2zLUDA
640	That's Me Baby	edIT	Come to Grips	INDIFFERENT	4:41	3h_R8SqdcYc	MPREb_UtBIyHzyceI	UCeNjTa3N2IrAaOA-rZoIVJg
792	When The Summer Dies (meowingtons remix)	deadmau5	When The Summer Dies (meowingtons remix)	INDIFFERENT	4:00	84Kutsx8FNY	MPREb_rPx4uK5NjII	UCL44WZGVf-BU5N0ymCXrpBg
818	Rock Lobster	dead horse	Peaceful Death and Pretty Flowers	INDIFFERENT	3:36	LfHDVyHGDJk	MPREb_LES2UE0Dn2H	UCWu9FUNYIN9muni43pzydCQ
909	Worth It	beabadoobee	Fake It Flowers	INDIFFERENT	3:15	0twrmrG_s9g	MPREb_PJALOB1Ii9H	UCcGMuu89vageEKV8zUKhwdA
206	Hit Me Like That Snare (Shade / Code Orange Remix)	alt-J & Code Orange	Hit Me Like That Snare (Shade / Code Orange Remix)	INDIFFERENT	3:31	h3zj7jhsW9Y	MPREb_waNbNXxJqx3	UCyzh4EnNuEO3Jk_mlXJCIag
1	Pleader [Trooko Version] (feat. PJ Sin Suela)	alt-J	Reduxer	INDIFFERENT	4:47	-QlgHSsSz4M	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
51	Pleader	alt-J	RELAXER	INDIFFERENT	5:49	dptzIpCSMMI	MPREb_EuILBeE1vdO	UCyzh4EnNuEO3Jk_mlXJCIag
91	Adeline [ADP Version] (feat. Hex & Paigey Cakey)	alt-J	Reduxer	INDIFFERENT	3:47	AArKbyP6Hac	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
96	Hit Me Like That Snare (Jimi Charles Moody Version)	alt-J	Reduxer	INDIFFERENT	3:33	_3Za6-iTYJA	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
123	Adeline (Shade / Code Orange Remix)	alt-J	Adeline (Shade / Code Orange Remix)	INDIFFERENT	2:49	MouMcmIwDlA	MPREb_th7PJTbUkBM	UCyzh4EnNuEO3Jk_mlXJCIag
139	Deadcrush (Miro Shot Remix)	alt-J	Deadcrushed	INDIFFERENT	4:31	Ib27V04XWrI	MPREb_NdHfuvcyA1p	UCyzh4EnNuEO3Jk_mlXJCIag
192	3WW [Lomepal Version] (feat. Lomepal)	alt-J	Reduxer	INDIFFERENT	3:16	9E6HErLMGFs	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
199	Last Year	alt-J	RELAXER	INDIFFERENT	6:07	hwYPexpTt2E	MPREb_EuILBeE1vdO	UCyzh4EnNuEO3Jk_mlXJCIag
284	In Cold Blood (feat. Pusha T) [Twin Shadow Version]	alt-J	In Cold Blood [Twin Shadow Version]	INDIFFERENT	2:47	61QrZk6Aifc	MPREb_a7McwRUvizT	UCyzh4EnNuEO3Jk_mlXJCIag
409	3WW (OTG Version) (feat. Little Simz)	alt-J	3WW (OTG Version)	INDIFFERENT	5:08	3jv4lmTuhCI	MPREb_ZMv7IzK3XrD	UCyzh4EnNuEO3Jk_mlXJCIag
416	Adeline	alt-J	RELAXER	INDIFFERENT	5:51	IGJWUaiiyTw	MPREb_EuILBeE1vdO	UCyzh4EnNuEO3Jk_mlXJCIag
445	Hit Me Like That Snare [Rejjie Snow Version] (feat. Rejjie Snow)	alt-J	Reduxer	INDIFFERENT	3:00	HRERN0ZGjCo	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
380	Trippin	Zion I	Mind Over Matter	INDIFFERENT	5:09	bh7dyB7mm9Q	MPREb_fuTL8BWQF6a	UC3x4CptwiIGhsr5BjVaO0AQ
426	Silly Puddy (feat. The Grouch)	Zion I	Mind Over Matter	INDIFFERENT	5:35	UXCsccVFzek	MPREb_fuTL8BWQF6a	UC3x4CptwiIGhsr5BjVaO0AQ
788	Trippin' (Live)	Zion I	The Rapture: Live From Oaklandia	INDIFFERENT	4:08	tEOXxEb3Fo0	MPREb_giajyH3FQ7z	UC3x4CptwiIGhsr5BjVaO0AQ
679	Mayans	Zimmer	Mayans	INDIFFERENT	3:38	2oYi07iHewM	MPREb_lzeQwLvmi6d	UC2Hefe5zzjWTc-OUnomcFnQ
