	title	artist	album	likeStatus	duration	videoId	albumId	artistId
290	this storyends	winnie	Synchronized	INDIFFERENT	3:14	stLIXV3Wg-E	MPREb_W3xvcj7EasB	UCgfpoY-PaYaabJsPsLNWf7A
492	BEHIND THE MASK	wREIMI YUNG PROD	BACK TO PAST	INDIFFERENT	3:09	q6y6GNKENT4	MPREb_q7lWnI65QFx	UC0mX0FJai6aegGjpMPB21lQ
15	Mr.Toast (feat. Philanthrope)	tusken.	Chillhop Essentials Fall 2017	INDIFFERENT	1:59	TscEyvSz7BE	MPREb_xhcnvItHoCW	UCyLTvZtYEB7NsoKN1qd6laQ
441	BAND UP	sword & Re_V	BAND UP	INDIFFERENT	2:52	chbAXsf8_ik	MPREb_FaTaU3celFF	
513	RADIUM JUICE (feat. Dj Smokey)	sword	RADIUM JUICE	INDIFFERENT	3:56	ENZSyafpjrE	MPREb_dyd6L0Vlc6t	UC4BgdHux4O-CP6IA96OnnDQ
468	saved + can i hit the blunt?	stupidbrain	saved + can i hit the blunt?	INDIFFERENT	5:09	slK-oLq2tIw	MPREb_bD3RBItmZcG	UC0OIS68-R0FtiIhHv_7_9TQ
123	Wait For You	soft serve	Wait For You	INDIFFERENT	4:05	icmnutJVQXo	MPREb_YcaMkaiS7f8	UCoFzjTp8KsD1BgE0ffvK7vg
506	Skillibeng Shots	pantsoph	Skillibeng Shots	INDIFFERENT	3:19	BSpxLdbY_H4	MPREb_22xkE0atdsv	UCOuR3TbRzNdy_ra0YRUIRAA
304	Rebubula	moe.	No Doy	INDIFFERENT	11:27	8STuiqucW9Y	MPREb_FtdZosrLKMg	UCSpbULokrmQsomLE4H-7HCw
284	Boy with Luv (feat. Halsey)	ko - BTS (방탄소년단) / en - BTS	MAP OF THE SOUL: PERSONA	INDIFFERENT	3:50	Q-erYa8cwnc	MPREb_zuAHfK8sCTR	UC9vrvNSL3xcWGSkV86REBSg
511	The Love Song	k-os	Joyful Rebellion	INDIFFERENT	4:19	-kApmP7ps4w	MPREb_5AcSJqRYtKr	UCaoaFIMBLlzwNpCBaiEpCHw
293	Nibiru (Instrumental)	iLL Audio	Know No Boundaries (Instrumental)	INDIFFERENT	6:16	Vc69DoOvuL8	MPREb_geeULM2cilc	UCmCsRndzZTn-nYjn_2zLUDA
176	We Are Young (feat. Janelle Monáe)	fun.	Some Nights	INDIFFERENT	4:11	i-RLF--rHSs	MPREb_vIT4wTvMO79	UCqR2ATuiV-PN2fWzuRYjcbg
564	REUNION	foxday	REUNION	INDIFFERENT	2:39	xodgaUskQ8o	MPREb_9rumMZyBJz1	UCTaiCzmkYrT88tOBoJ8lv_Q
596	Levitate	erickD	Levitate	INDIFFERENT	3:02	cGWyYSH0jr4	MPREb_fdfnFoZ4NNL	UCiptb_4_UDF0zypzTHcJHrQ
289	That's Me Baby	edIT	Come To Grips	INDIFFERENT	4:41	3h_R8SqdcYc	MPREb_UtBIyHzyceI	UCeNjTa3N2IrAaOA-rZoIVJg
33	When The Summer Dies (meowingtons remix)	deadmau5	When The Summer Dies (meowingtons remix)	INDIFFERENT	4:00	84Kutsx8FNY	MPREb_rPx4uK5NjII	UCL44WZGVf-BU5N0ymCXrpBg
255	Worth It	beabadoobee	Fake It Flowers	INDIFFERENT	3:15	0twrmrG_s9g	MPREb_PJALOB1Ii9H	UCcGMuu89vageEKV8zUKhwdA
3	The Gospel of John Hurt	alt-J	This Is All Yours	INDIFFERENT	5:16	Wh2sfsOcI-s	MPREb_AxizdsNIzNI	UCyzh4EnNuEO3Jk_mlXJCIag
41	Dissolve Me	alt-J	An Awesome Wave	INDIFFERENT	4:00	woZItxe1Xh0	MPREb_VsvPkrdaKvh	UCyzh4EnNuEO3Jk_mlXJCIag
58	Pleader [Trooko Version] (feat. PJ Sin Suela)	alt-J	Reduxer	INDIFFERENT	4:47	-QlgHSsSz4M	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
110	Adeline	alt-J	RELAXER	INDIFFERENT	5:51	IGJWUaiiyTw	MPREb_EuILBeE1vdO	UCyzh4EnNuEO3Jk_mlXJCIag
252	Last Year	alt-J	RELAXER	INDIFFERENT	6:07	hwYPexpTt2E	MPREb_EuILBeE1vdO	UCyzh4EnNuEO3Jk_mlXJCIag
286	Intro	alt-J	This Is All Yours	INDIFFERENT	4:39	Sl9kLOie_-s	MPREb_AxizdsNIzNI	UCyzh4EnNuEO3Jk_mlXJCIag
309	Adeline (Shade / Code Orange Remix)	alt-J	Adeline (Shade / Code Orange Remix)	INDIFFERENT	2:49	MouMcmIwDlA	MPREb_th7PJTbUkBM	UCyzh4EnNuEO3Jk_mlXJCIag
330	Hit Me Like That Snare [Rejjie Snow Version] (feat. Rejjie Snow)	alt-J	Reduxer	INDIFFERENT	3:00	HRERN0ZGjCo	MPREb_N6Ri0Tlb7pC	UCyzh4EnNuEO3Jk_mlXJCIag
359	Last Year (Terrace Martin Version) (feat. GoldLink)	alt-J	Last Year (Terrace Martin Version)	INDIFFERENT	4:18	QxLBqB2xC5I	MPREb_42wrF6t7N1c	UCyzh4EnNuEO3Jk_mlXJCIag
417	Trippin	Zion I	Mind Over Matter	INDIFFERENT	5:09	bh7dyB7mm9Q	MPREb_fuTL8BWQF6a	UC3x4CptwiIGhsr5BjVaO0AQ
88	Mayans	Zimmer	Mayans	INDIFFERENT	3:38	2oYi07iHewM	MPREb_lzeQwLvmi6d	UC2Hefe5zzjWTc-OUnomcFnQ
13	Albinoni: Sonata in G Minor, Op. 6 No. 2: II. Larghetto (Arr. by Yuki Ato Narayan for Solo Recorder)	Yuki Ato Narayan	Albinoni: Sonata in G Minor, Op. 6 No. 2: II. Larghetto (Arr. by Yuki Ato Narayan for Solo Recorder)	INDIFFERENT	6:24	k6WjAZ4QjaI	MPREb_ZUPiLvtYs4x	UCjnnnK5X_o47gmuIM8NpNSA
108	Spec Bebop	Yo La Tengo	I Can Hear The Heart Beating As One	INDIFFERENT	10:41	Q5hZD6rzSQI	MPREb_pjgfqa6nbLu	UCz5bvM-t9ynI48T0u195y2A
281	Night Falls on Hoboken	Yo La Tengo	And Then Nothing Turned Itself Inside-Out	INDIFFERENT	17:43	6kQaghZZEzI	MPREb_eWxGYCt0ihX	UCz5bvM-t9ynI48T0u195y2A
542	A Walk	Yerin Baek	Love, Yerin	INDIFFERENT	3:26	T2UUTwvVoaM	MPREb_hFAH4xFSwzx	UCa5b_7ImijW-GNEt4hNUzWg
97	Follow The Sun	Xavier Rudd	Spirit Bird	INDIFFERENT	4:17	vq2llUTBy-c	MPREb_ZvJ61JGSBFE	UC2OGV55IEuoVj63E6gwRRJQ
537	Morning After	Willie Mitchell	It's Dance Time	INDIFFERENT	2:18	wrVNtLbvs2U	MPREb_S1X7dJA5O1w	UCag683_y86gV1MTWbclNSfQ
118	NY Money	White Denim	Reversed Mirror	INDIFFERENT	6:49	1czwzIqqAcQ	MPREb_QxvszTjft7k	UC_Bg34OvidmryhOwQDk7jbw
428	Teenage Dirtbag	Wheatus	Wheatus	INDIFFERENT	4:02	IoJ2hYbVR3w	MPREb_nV0x5Mrq6cg	UCxnxfzY2OWlxBdCRlUsR_1A
8	A Tear For Eddie (Live)	Ween	Live at Stubb's, 7/2000	INDIFFERENT	8:30	_m41R4NzE14	MPREb_11ZcAhJJsXh	UCXWUt1Cu2hVZYTaJ44ddusA
141	Money (feat. Kairo)	Weaver Beats	Money	INDIFFERENT	2:36	POSYu3zWDUo	MPREb_L5mT0NaRyr2	UCpFqNs3k-Tuu5M8n1nJEKxw
323	Lean	Weaver Beats	Lean	INDIFFERENT	2:43	1NYCJAtRFqk	MPREb_ILLj6DVNjvH	UCpFqNs3k-Tuu5M8n1nJEKxw
