	title	artist	album	likeStatus	duration	videoId	albumId	artistId
450	How Can I Be Sure (Single Version)	The Rascals	Time Peace (The Rascals' Greatest Hits)	LIKE	2:54	8c_l-0p59BQ	MPREb_EqEww7MueZr	UCTyZg74MHOVOSN2prFqiG4Q
71	Sparks	Röyksopp	Melody A.M.	LIKE	5:25	GyETj5qa-Fg	MPREb_kTLtO7HmJoO	UCavOXoVuq__PIq9W6E-xT6A
175	Nights Introlude	Nightmares On Wax	Smokers Delight (Digital Deluxe)	LIKE	4:41	U38iLLjWw0c	MPREb_ltLj1sMFm1i	UCJLq1MIt-h8rOoBdT-9UeGA
44	Shot In The Back Of The Head	Moby	Wait For Me	LIKE	3:16	KXX77HkYImo	MPREb_QSnfWN1zqIe	UC35GdXKfexT9GAZv3SJq0uA
335	Whirlwound	Kelpe	Ex-Aquarium	LIKE	4:40	yocPsAUdGL8	MPREb_F0BMZZ85CcK	UC2bUich8FvjMBIRBjoTMRPw
235	Cloudlight	Eskmo	Cloudlight	LIKE	3:57	kJ1yZ4iy1Jw	MPREb_n1ggVrUc5ar	UC4YvDAbE1EYwZpj6gQ-lpLw
434	Minor Cause	Emancipator	Dusk to Dawn	LIKE	5:17	phTPiTz1SVQ	MPREb_GQRpx4QjRZa	UChNB35QmqX81vSbDXDR3i4w
177	The Mountain Will Fall	DJ Shadow	The Mountain Will Fall	LIKE	4:37	rzOeQERC2-Q	MPREb_ZOtp1Svx5iX	UCtTuSKgCdeTyxBGPCD3TgxQ
214	Hunger Of The Pine	Alt-J	This Is All Yours	LIKE	5:00	ZRX_fUZ5GCY	MPREb_AxizdsNIzNI	UCyzh4EnNuEO3Jk_mlXJCIag
582	HARD BOILED DUB	藤原 ヒロシ	HIROSHI FUJIWARA in DUB CONFERENCE	INDIFFERENT	6:17	u9N7lk7FpMU	MPREb_3jByISAs0AO	UC9-7B7FlJP9jX9HhCt_OO5w
333	nitecap	resort realism	nitecap	INDIFFERENT	3:13	PXKrq8gJiOA	MPREb_Lgm5wlSItTm	UCquw89Byv2P4t2ciYZiXOJA
133	Vega	il:lo	Vega	INDIFFERENT	3:52	f94c17oaBAE	MPREb_t6Ppz5IJeU2	UCg6SQtl_g9J6gSJ5SxddMGg
319	No Fog	digitalluc	waitwait	INDIFFERENT	2:41	uDMSXYUzdss	MPREb_PdrQ6HfMdzr	UCNxpRMu8MaKDGJJBmvBt_tw
584	Here With Me	d4vd	Here With Me	INDIFFERENT	4:03	9y-SEA39RQA	MPREb_JwrGN49LybR	UCGr1UQ4CwzRMmYoQfHQQWTg
180	Somersault (Danger Mouse Remix)	Zero 7	Somersault	INDIFFERENT	3:38	07ci1uAka3s	MPREb_IxXOnN5DSHG	UCEIRECr4BQQ6blwSi9ogZvA
203	I Have Seen	Zero 7	Simple Things	INDIFFERENT	5:04	g9hz_0-yYmM	MPREb_q4hrh9IVUYE	UCEIRECr4BQQ6blwSi9ogZvA
433	Home	Zero 7	When It Falls	INDIFFERENT	4:36	NVZ5teFK0x4	MPREb_QGc7733ah9m	UCEIRECr4BQQ6blwSi9ogZvA
435	One Arm Break	Zero 7	EP	INDIFFERENT	5:04	E3xG-E-RdeU	MPREb_yughHhNdUVs	UCEIRECr4BQQ6blwSi9ogZvA
607	Speed Dial No. 2	Zero 7	When It Falls	INDIFFERENT	3:51	hBWPqWVNRzs	MPREb_QGc7733ah9m	UCEIRECr4BQQ6blwSi9ogZvA
30	Amor	Yonderboi	Splendid Isolation	INDIFFERENT	3:40	B4DlrbA9mbg	MPREb_bBt0RDZ4WJN	UC8TJqrInA8XPIvvq-olMChg
224	No Answer from Petrograd	Yonderboi	Shallow and Profound	INDIFFERENT	4:33	qNjxQz6DS1A	MPREb_bnqzYpiXbwa	UC8TJqrInA8XPIvvq-olMChg
493	Wings of Steel	Wings of Steel	Wings of Steel	INDIFFERENT	3:24	_2VMLsXA8yo	MPREb_1VMVR6fZK9s	UCf_OyY7jsfQ-nS7UmPCnL2A
499	A One God Universe	William S. Burroughs	Spare Ass Annie And Other Tales	INDIFFERENT	3:32	Mecq-ZiR_xs	MPREb_Vya2obV56kW	UCKX7JKnM_ATpwDaD4JYXiFw
482	Our Love Will Survive	Wild Belle	Dreamland	INDIFFERENT	2:53	lCuNCpdQ9zE	MPREb_KQJn75K87OZ	UCLOQEOCUxhSTZy52mxYNtqA
573	Wanted (Radio Edit)	White Town	Women in Technology (25th Anniversary Expanded Edition)	INDIFFERENT	3:28	UPQY51wX1tU	MPREb_lFaH3QBEuA6	UCjct1Am9Wi9tB076rIBrlMg
597	Crying At Airports	Whale	All Disco Dance Must End In Broken Bones	INDIFFERENT	5:23	9wXMhUOYcHs	MPREb_x9I8uNBbakZ	UCg7yM5stERek1htZuP5qagw
172	Que Sera (Phonovisions Symphonic Version)	Wax Tailor	Phonovisions Symphonic Orchestra	INDIFFERENT	3:23	VP2WQcHsUW0	MPREb_pzhKC39cOpM	UC6-3Uf3SgBam_m-D0sU1SLg
216	To Dry Up (feat. Charlotte Savary)	Wax Tailor	Hope & Sorrow	INDIFFERENT	4:07	G7TPnN9pSXY	MPREb_en2AMyXSyQJ	UC6-3Uf3SgBam_m-D0sU1SLg
244	Positively Inclined (feat. Marina Quaisse & ASM)	Wax Tailor	Hope & Sorrow	INDIFFERENT	3:39	q_zrZKRdJUM	MPREb_en2AMyXSyQJ	UC6-3Uf3SgBam_m-D0sU1SLg
402	Dragon Chasers (feat. Charlotte Savary)	Wax Tailor	In the Mood for Life	INDIFFERENT	3:17	7K-GP57xhFs	MPREb_hBOTNvNf2hW	UC6-3Uf3SgBam_m-D0sU1SLg
530	Mambo	Wallie Badarou	Mambo	INDIFFERENT	4:37	XZR9fa_c2oc	MPREb_pJCyPyXkJFg	
138	Floater (Dubble Standart Mix)	Waldeck	The Dub Club Night	INDIFFERENT	4:01	P79vJ3TersY	MPREb_Z7IDauKepdc	UCVPGURKvwxgltmfWIPJe_uQ
567	Purr La Perla (feat. Robin Guthrie & Siobhan De Mare)	Violet Indiana	Choke	INDIFFERENT	2:49	judctb3c_TY	MPREb_4IulJwIBTnG	UCPTOHtrWE3glsJbrdmGrghw
509	Ljubi In Sovraži	Videosex	Ljubi In Sovraži	INDIFFERENT	3:04	CptaFmiDFlM	MPREb_uCE2d2UGKOq	UCf7XqQEYiU9JjHgdsyPP9VA
347	Can You Get Down	Universe City	Universe City (Digitally Remastered)	INDIFFERENT	5:46	KBFa19-7IjA	MPREb_yn0E8KzO7yi	UCoLUdf2rsDH548nszMRec0A
389	Supermarket Sweep	Uncle Kid	Supermarket Sweep	INDIFFERENT	3:56	-JBEaRxg4Kw	MPREb_0DX1tsUaOxF	UCH3sR9AFCWEZzswcxIY-U-A
340	Lost in Moments	Ulver	Perdition City	INDIFFERENT	7:16	kpVAnGossrQ	MPREb_s9FMHhxn1Ip	UCFhYXrnTBMlyRBP7obAB37w
409	Porn Piece or the Scars of Cold Kisses	Ulver	Perdition City	INDIFFERENT	7:09	pOHaj_YHSTY	MPREb_s9FMHhxn1Ip	UCFhYXrnTBMlyRBP7obAB37w
112	Bloodstain (feat. Alice Temple)	UNKLE	Psyence Fiction	INDIFFERENT	5:57	WDrE34RdkvA	MPREb_EEjD3zApkcq	UCjXr3YQrOJoqRuSXMdU2eww
242	In A State	UNKLE	Never, Never, Land (International Version)	INDIFFERENT	6:57	imy4sG8MNnk	MPREb_k6VvUB6l7d6	UCjXr3YQrOJoqRuSXMdU2eww
343	Heaven Feat Gavin Clark (feat. Gavin Clark)	UNKLE	End Titles...Stories for Film	INDIFFERENT	6:58	di4Nhm00crM	MPREb_GapCoCnBkA0	UCjXr3YQrOJoqRuSXMdU2eww
426	U.N.K.L.E. Main Title Theme	UNKLE	Psyence Fiction	INDIFFERENT	3:24	NVb8J7xJiJw	MPREb_EEjD3zApkcq	UCjXr3YQrOJoqRuSXMdU2eww
449	Be There (feat. Ian Brown)	UNKLE	Psyence Fiction	INDIFFERENT	5:19	R-bTfqzq6TQ	MPREb_EEjD3zApkcq	UCjXr3YQrOJoqRuSXMdU2eww
575	Out of the Dark	UNA	The Laughing Man	INDIFFERENT	5:29	BgAH8umAAl0	MPREb_eZZ6wMCmUJU	UCx8zEBVwe2o_erf2rZ_NA3A
69	Bıraktığın İzler	Tuğçe Şenoğul	Gölgelerine	INDIFFERENT	5:24	zJbQNoyrG3s	MPREb_8qVz91sxXum	UCJMr8sWTH5-POehZbOE2OFQ
466	Take My Hand	Trinah	Rainwatcher	INDIFFERENT	4:58	iSZLTtgRCHM	MPREb_UAtf1y4L12y	UCFhcmHTHmvVHOBf9cBj1v-g
266	Like a Stone (trentemøller Remix)	Tricky & trentemøller	Like a Stone (trentemøller Remix)	INDIFFERENT	3:41	16O_5sRTrpc	MPREb_Rr65i3Rf3Fs	
43	You Don't	Tricky	Maxinquaye	INDIFFERENT	4:39	LaQxrCTgQG0	MPREb_ed9xcbFU25W	UCSuP436X3nxcLjeJQOnlOPg
51	Lonely Dancer (feat. Anika)	Tricky	Lonely Dancer	INDIFFERENT	3:08	dqEAWdUxZhQ	MPREb_dzUBgR26GUh	UCSuP436X3nxcLjeJQOnlOPg
