	title	artist	album	likeStatus	videoId	albumId	artistId
1	Mash	J Dilla	Donuts	LIKE	KqVHNs4ahmQ	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
2	Bye.	J Dilla	Donuts	LIKE	Ig0ne2qbGP8	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
3	Two Can Win	J Dilla	Donuts	LIKE	n7nEY9izxJY	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
4	Workinonit	J Dilla	Donuts	LIKE	ogwouE_Msd4	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
7	One For Ghost	J Dilla	Donuts	LIKE	ekPA69Skicw	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
8	Lightworks	J Dilla	Donuts	LIKE	zBUHvS40jT8	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
11	People	J Dilla	Donuts	LIKE	P4VYoPcIIn0	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
13	Light My Fire	J Dilla	Donuts	LIKE	6MtN7amvXGk	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
14	Walkinonit	J Dilla	Donuts	LIKE	J_na4TR1oK4	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
17	Stop	J Dilla	Donuts	LIKE	zg1vKijo1p4	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
21	Don't Cry	J Dilla	Donuts	LIKE	x-23FpWsTKk	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
24	Time: The Donut Of The Heart	J Dilla	Donuts	LIKE	0vmhgotEByc	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
26	Gobstopper	J Dilla	Donuts	LIKE	Gb3axmq1CGk	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
29	Hi.	J Dilla	Donuts	LIKE	gjyweFGhzqE	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
30	Waves	J Dilla	Donuts	LIKE	dWm89BJxyp4	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
0	The Diff'rence	J Dilla	Donuts	INDIFFERENT	_Hhjh1pYOOo	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
5	The Factory	J Dilla	Donuts	INDIFFERENT	yWmztskrQe4	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
6	One Eleven	J Dilla	Donuts	INDIFFERENT	kwtHvnzXcAY	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
9	U-love	J Dilla	Donuts	INDIFFERENT	_bQSG6WbP6A	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
10	Thunder	J Dilla	Donuts	INDIFFERENT	JIbO-NP0BtQ	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
12	Donuts (Intro)	J Dilla	Donuts	INDIFFERENT	tV2XGgJ9LfM	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
15	Last Donut Of The Night	J Dilla	Donuts	INDIFFERENT	rcbd-r1xC2o	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
16	Airworks	J Dilla	Donuts	INDIFFERENT	xpEM_kCi99Q	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
18	Stepson Of The Clapper	J Dilla	Donuts	INDIFFERENT	fCh3VBYMexI	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
19	Geek Down	J Dilla	Donuts	INDIFFERENT	_0lkNVldXx8	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
20	The New	J Dilla	Donuts	INDIFFERENT	WL0n7_R3qL8	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
22	Anti-american Graffiti	J Dilla	Donuts	INDIFFERENT	EZ3ronLw3ec	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
23	Glazed	J Dilla	Donuts	INDIFFERENT	lO5U8oWNWxY	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
25	The Twister (Huh, What)	J Dilla	Donuts	INDIFFERENT	A759_beJgmM	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
27	Donuts (Outro)	J Dilla	Donuts	INDIFFERENT	HOHa6j6Pd5E	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
28	Dilla Says Go	J Dilla	Donuts	INDIFFERENT	dd_m5dJRuOU	MPREb_SdbQ7yLI5AO	UCg6G23d_0Rdx3W5XbxC7N8A
