	title	artist	album	likeStatus	videoId	albumId	artistId
0	Ghost	Neutral Milk Hotel	In the Aeroplane Over the Sea	LIKE	F7kjuW8N37Y	MPREb_W0LXV3Jg2OV	UCvMA46Xu1xApqZyXFIrnukw
265	Neutral Milk Hotel-Live-Through My Tears-Goldaline-Now There is Nothing	wigglylivvly		INDIFFERENT	ZnFzGtBqCbA		UCDo_a5Bjypu4bOI00PliGhw
266	Neutral Milk Hotel - She Did A Lot of Acid LIVE (Alt. Version)	positive juice motel		INDIFFERENT	ooEKERpy5Hk		UCeq4B6toxKX30DaVSPVQ0tw
5	Don't Ask Me to Explain	of Montreal	Cherry Peel	INDIFFERENT	o63rroVnTVs	MPREb_0njyrQUij8q	UCTc-gLB4Gy6BxJhMAYZ6m4A
11	Rose Robert	of Montreal	Coquelicot Asleep In The Poppies: A Variety of Whimsical Verse	INDIFFERENT	T0caIC58rhc	MPREb_jaIkM7FLqVw	UCTc-gLB4Gy6BxJhMAYZ6m4A
38	Dirty Dustin Hoffman Needs A Bath	of Montreal	The Early Four Track Recordings	INDIFFERENT	-47IibE196s	MPREb_THhFuL8I49p	UCTc-gLB4Gy6BxJhMAYZ6m4A
48	Christmas Isn't Safe For Animals	of Montreal	If He Is Protecting Our Nation, Then Who Will Protect Big Oil, Our Children?	INDIFFERENT	bWsLwoVN07Q	MPREb_5FHbbPEzToy	UCTc-gLB4Gy6BxJhMAYZ6m4A
52	Suffer For Fashion	of Montreal	Hissing Fauna, Are You The Destroyer?	INDIFFERENT	OJlfxLTO4dE	MPREb_koEflO4QOMl	UCTc-gLB4Gy6BxJhMAYZ6m4A
53	My Favorite Boxer	of Montreal	The Gay Parade	INDIFFERENT	7a4mln693ZQ	MPREb_7t8SFl0i3qw	UCTc-gLB4Gy6BxJhMAYZ6m4A
57	There Is Nothing Wrong With Hating Rock Critics	of Montreal	If He Is Protecting Our Nation, Then Who Will Protect Big Oil, Our Children?	INDIFFERENT	QpjFctv-CaQ	MPREb_5FHbbPEzToy	UCTc-gLB4Gy6BxJhMAYZ6m4A
60	Du Og Meg	of Montreal	Icons, Abstract Thee	INDIFFERENT	IqIJ_7MDGco	MPREb_DraGKu0HtuI	UCTc-gLB4Gy6BxJhMAYZ6m4A
62	Jennifer Louise	of Montreal	Aldhils Arboretum	INDIFFERENT	OXJymCgHtfE	MPREb_MlUKo32n4d8	UCTc-gLB4Gy6BxJhMAYZ6m4A
64	Heimdalsgate Like A Promethean Curse	of Montreal	Hissing Fauna, Are You The Destroyer?	INDIFFERENT	_sI0RLRhlgI	MPREb_koEflO4QOMl	UCTc-gLB4Gy6BxJhMAYZ6m4A
75	Penelope	of Montreal	Coquelicot Asleep In The Poppies: A Variety of Whimsical Verse	INDIFFERENT	W0phaXBBI2k	MPREb_jaIkM7FLqVw	UCTc-gLB4Gy6BxJhMAYZ6m4A
89	You Are An Airplane	of Montreal	The Bird Who Continues to Eat the Rabbit's Flower	INDIFFERENT	2n1C0sER3ZM	MPREb_tKttdO17MRH	UCTc-gLB4Gy6BxJhMAYZ6m4A
103	If I Faltered Slightly Twice	of Montreal	The Bird Who Continues to Eat the Rabbit's Flower	INDIFFERENT	WuyEc08gMPU	MPREb_tKttdO17MRH	UCTc-gLB4Gy6BxJhMAYZ6m4A
251	The Problem With April	of Montreal	Horse & Elephant Eatery (No Elephants Allowed): The Singles & Songles Album	INDIFFERENT	MMWmE4dgvMM	MPREb_VAyaHzzuhq8	UCTc-gLB4Gy6BxJhMAYZ6m4A
264	Gelid Ascent	of Montreal	Paralytic Stalks	INDIFFERENT	sUhWyAhgV2Y	MPREb_bjp7ngU7QVO	UCTc-gLB4Gy6BxJhMAYZ6m4A
198	2022.03.30 - Prospect High School Choir - Holding Out for a Hero	milniko		INDIFFERENT	4xVaAL6GYXI		UChgUyltMUtud4z-RBXXrzRg
267	Jeff Mangum  Live at Jittery Joe's - I Love How You Love Me (VIDEO)	goldenmolars		INDIFFERENT	e3GSM5HDZ5M		UCJBZDpKUki-LbxvYpQ7Lrmg
128	Chocolate USA - All Jets Are Gonna Fall Today	dinojr1144		INDIFFERENT	E0imLSwAx9U		UC0aQBId94NAnI-t2RpyvynA
252	The Late B.P. Helium - Candy For Everyone [Amok]	bugsandcommercials		INDIFFERENT	GrkrjM4w3bg		UC4UUYZhLVav-Q9-QqP3Fi8A
78	Numbered for a Purpose	Will Hart	Book of Numbers	INDIFFERENT	cZa9AlaBky0	MPREb_uCqfYLnmnEM	UCzK1SDK15i4m8BY7frhb8YQ
142	"The Apples in stereo ""Energy"" Directed by Elijah Wood"	Tractor Beam		INDIFFERENT	B6gSSsCdFeA		UCuRF-g4s3TEsbP7f9Vn_sug
177	The Conundrum Tree	The Visitations	The Conundrum Tree	INDIFFERENT	FzeKlgIPZ64	MPREb_ptCIlvrkJCB	UCuUISRa6aN7mIRtxTw_JhZw
223	Fresh Dog	The Visitations	The Conundrum Tree	INDIFFERENT	LOcQCONivA8	MPREb_ptCIlvrkJCB	UCuUISRa6aN7mIRtxTw_JhZw
22	Sail Beyond the Sunset	The Sunshine Fix	Age of the Sun	INDIFFERENT	UfV0fIkKtt4	MPREb_yxaHsdBDcaT	UCcwqyupaPOaEKHrR2x3O9oQ
24	Digging to China	The Sunshine Fix	Age of the Sun	INDIFFERENT	gfPZtIcZ9Ro	MPREb_yxaHsdBDcaT	UCcwqyupaPOaEKHrR2x3O9oQ
111	Rx	The Sunshine Fix	Green Imagination	INDIFFERENT	RxLKCEW_LhI	MPREb_yYw7AUGjhI3	UCcwqyupaPOaEKHrR2x3O9oQ
259	Sunday Afternoon	The Sunshine Fix	Green Imagination	INDIFFERENT	sDPji0-anKw	MPREb_yYw7AUGjhI3	UCcwqyupaPOaEKHrR2x3O9oQ
162	Duck Pond	The Sixth Great Lake	Up the Country	INDIFFERENT	v4eOay0FSPY	MPREb_enBocft8iai	UC5e_q1UH732xlb-8sGF1VFA
208	Across the Northern Border	The Sixth Great Lake	Up the Country	INDIFFERENT	VtqE3rTYSqE	MPREb_enBocft8iai	UC5e_q1UH732xlb-8sGF1VFA
238	Ballad of a Sometimes Traveler	The Sixth Great Lake	Up the Country	INDIFFERENT	ffvAXmeceLI	MPREb_enBocft8iai	UC5e_q1UH732xlb-8sGF1VFA
256	Cannon Beach	The Sixth Great Lake	Up the Country	INDIFFERENT	qno9_02Mt3k	MPREb_enBocft8iai	UC5e_q1UH732xlb-8sGF1VFA
7	A New Day	The Olivia Tremor Control	Black Foliage: Animation Music	INDIFFERENT	uIY7N6TqDPM	MPREb_qhEFYQKolKC	UCTV0PAtGq7nHMy1BIo-bg9g
9	Memories of Jacqueline 1906	The Olivia Tremor Control	Dusk at Cubist Castle	INDIFFERENT	6oc8Is5YE9I	MPREb_hPmQpjNo5VD	UCTV0PAtGq7nHMy1BIo-bg9g
17	I'm Not Feeling Human (Peel Session)	The Olivia Tremor Control	John Peel Session	INDIFFERENT	yiCEm_-FLcg	MPREb_ainuP62KZX9	UCTV0PAtGq7nHMy1BIo-bg9g
25	Frosted Ambassador	The Olivia Tremor Control	Dusk at Cubist Castle	INDIFFERENT	QeHCTp_L-Ko	MPREb_hPmQpjNo5VD	UCTV0PAtGq7nHMy1BIo-bg9g
26	Courtyard	The Olivia Tremor Control	Dusk at Cubist Castle	INDIFFERENT	bT933j2x2Yo	MPREb_hPmQpjNo5VD	UCTV0PAtGq7nHMy1BIo-bg9g
27	Dusk At Cubist Castle	The Olivia Tremor Control	Dusk at Cubist Castle	INDIFFERENT	TtQyyvPU9Zo	MPREb_hPmQpjNo5VD	UCTV0PAtGq7nHMy1BIo-bg9g
29	Love Athena	The Olivia Tremor Control	Presents: Singles and Beyond	INDIFFERENT	qYeuKqM94C0	MPREb_k35LV8kKiru	UCTV0PAtGq7nHMy1BIo-bg9g
164	Invisible Magnetic	The New Sound of Numbers	Invisible Magnetic	INDIFFERENT	pA1LoVVhBrs	MPREb_Se7kmVjGTLF	UCvs1i5Gv3PSRxa4yiSQcR3Q
211	Energy Plan	The New Sound of Numbers	Invisible Magnetic	INDIFFERENT	Qs7gSDkcpwI	MPREb_Se7kmVjGTLF	UCvs1i5Gv3PSRxa4yiSQcR3Q
241	Complete	The New Sound of Numbers	Invisible Magnetic	INDIFFERENT	KKyCejrNgA0	MPREb_Se7kmVjGTLF	UCvs1i5Gv3PSRxa4yiSQcR3Q
32	City of Lights	The Music Tapes	The Orbiting Human Circus	INDIFFERENT	Py59zmLXo6U	MPREb_UTI6nXMknRo	UCZcyACwIN5q5-hjBfzr-pzg
61	The Television Tells Us	The Music Tapes	1st Imaginary Symphony for Nomad	INDIFFERENT	pnbyBK9ELYs	MPREb_YtRUa42LAuv	UCZcyACwIN5q5-hjBfzr-pzg
109	So the Day Long	The Music Tapes	Purim's Shadows (The Dark Tours the World)	INDIFFERENT	gLXYU9u4F48	MPREb_3RRhGpbejc3	UCZcyACwIN5q5-hjBfzr-pzg
113	Nantasket	The Music Tapes	Purim's Shadows (The Dark Tours the World)	INDIFFERENT	e6xZaANSv1w	MPREb_3RRhGpbejc3	UCZcyACwIN5q5-hjBfzr-pzg
122	To All Who Say Goodnight	The Music Tapes	Mary's Voice	INDIFFERENT	DCa_CHrjDhI	MPREb_nmIB6izBzNR	UCZcyACwIN5q5-hjBfzr-pzg
127	Aliens	The Music Tapes	1st Imaginary Symphony for Nomad	INDIFFERENT	hr8oggw_eV4	MPREb_YtRUa42LAuv	UCZcyACwIN5q5-hjBfzr-pzg
138	Majesty	The Music Tapes	Music Tapes for Clouds and Tornadoes	INDIFFERENT	itl0TO3Eh84	MPREb_VEBHSvN9ETL	UCZcyACwIN5q5-hjBfzr-pzg
165	The Sea of Tranquility	The Music Tapes	The Sea of Tranquility	INDIFFERENT	kGJjotY-cDo	MPREb_oxiPihn0SUX	UCZcyACwIN5q5-hjBfzr-pzg
243	J'Attendrai	The Music Tapes	The Orbiting Human Circus	INDIFFERENT	eipDHWHbcHw	MPREb_UTI6nXMknRo	UCZcyACwIN5q5-hjBfzr-pzg
263	Cumulonimbus (Magnetic Tape for Clouds)	The Music Tapes	Music Tapes for Clouds and Tornadoes	INDIFFERENT	Umofq7e509w	MPREb_VEBHSvN9ETL	UCZcyACwIN5q5-hjBfzr-pzg
36	Yeah Yeah Yeah	The Minders	Hooray for Tuesday	INDIFFERENT	4Ux5W44P2Nc	MPREb_pbndZ7nBxPe	UCCQinO6JxZB-IvjvQYUPVhw
40	Waterlooville	The Minders	Chunklet Os 14	INDIFFERENT	zdHk9bgBJmM	MPREb_IzVSY9eGUVh	UCCQinO6JxZB-IvjvQYUPVhw
77	Build	The Minders	Cul-de-Sacs & Dead Ends	INDIFFERENT	aejGsVcYciw	MPREb_7AzKQPXfnEa	UCCQinO6JxZB-IvjvQYUPVhw
82	Comfortably Tucked Up Inside	The Minders	Hooray for Tuesday	INDIFFERENT	jO1M3LSishI	MPREb_pbndZ7nBxPe	UCCQinO6JxZB-IvjvQYUPVhw
88	Hooray for Tuesday	The Minders	Hooray for Tuesday	INDIFFERENT	gocdRKJvDx8	MPREb_pbndZ7nBxPe	UCCQinO6JxZB-IvjvQYUPVhw
119	Joey's Pez	The Minders	Hooray For Tuesday	INDIFFERENT	fPQ7BoYAHl8	MPREb_bm0fHRweIdo	UCCQinO6JxZB-IvjvQYUPVhw
124	I've Been Wondering	The Minders	Hooray For Tuesday	INDIFFERENT	p6Krhr_Ed4Q	MPREb_bm0fHRweIdo	UCCQinO6JxZB-IvjvQYUPVhw
236	The Walls Fell Down	The Marbles	The Walls Fell Down / Love You	INDIFFERENT	TrR1X3SB0hs	MPREb_mnM3QtgC8Uo	UCKyrCdk4T9eXZQo25rofayg
136	Always on the Telephone	The Ladybug Transistor	Can't Wait Another Day	INDIFFERENT	URrG3083-9w	MPREb_gj6yABRFz6b	UC0DTkhpNWPDwKk5Zs5xInPw
168	Oceans in the Hall	The Ladybug Transistor	The Albemarle Sound	INDIFFERENT	cDDjSt9tYQI	MPREb_u44b9GHSj3t	UC0DTkhpNWPDwKk5Zs5xInPw
245	Meadowport Arch	The Ladybug Transistor	The Albemarle Sound (25th Anniversary Expanded Edition)	INDIFFERENT	TMF_gM8vMVA	MPREb_qTKl9cZzxAu	UC0DTkhpNWPDwKk5Zs5xInPw
145	First Signs	The Instruments	Dark Småland	INDIFFERENT	zEbW1Gk6eVM	MPREb_aiRCUnJNQbN	UCMJwBl8lOjDzxCQAFtiHjmA
156	Song for Thomas	The Instruments	Billions of Phonographs	INDIFFERENT	yDn1fkSvtSc	MPREb_EMY9So0TYOh	UCMJwBl8lOjDzxCQAFtiHjmA
233	Ode to the Sea	The Instruments	Dark Småland	INDIFFERENT	2luD_1Wz4ho	MPREb_aiRCUnJNQbN	UCMJwBl8lOjDzxCQAFtiHjmA
260	When the Stars Shine	The Instruments	Billions of Phonographs	INDIFFERENT	K7M4EWpMtUU	MPREb_EMY9So0TYOh	UCMJwBl8lOjDzxCQAFtiHjmA
192	Pan-ther	The Impossible Shapes	Tum	INDIFFERENT	gSrHrBQMdZA	MPREb_ykBZ1plCoI5	UCLUIcYwEafEKXGiOS8-eFKQ
193	Coal-Wasted Avalanche	The Horns of Happiness	Would I Find Your Psychic Guideline	INDIFFERENT	gVxjSKKLde8	MPREb_Zuk0DLBAakW	UCzkxkHMYAXFZmWFxWWcNthg
83	Suicide	The High Water Marks	Songs About the Ocean	INDIFFERENT	jrMZTETyTOc	MPREb_aa4vhGf0uPN	UCk9NDnZ2i1h-mDDXrXvqvaA
86	Polar	The High Water Marks	Polar	INDIFFERENT	vEo89Rit0S0	MPREb_zj3YnJPcM9N	UCk9NDnZ2i1h-mDDXrXvqvaA
133	Queen of Verlaine	The High Water Marks	Songs About the Ocean	INDIFFERENT	ZVR94X6LBL8	MPREb_aa4vhGf0uPN	UCk9NDnZ2i1h-mDDXrXvqvaA
163	Dream Some More	The High Water Marks	Dream Some More	INDIFFERENT	FF4Doccj1e4	MPREb_oNo5HtiQkNx	UCk9NDnZ2i1h-mDDXrXvqvaA
