	title	artist	album	likeStatus	videoId	albumId	artistId
7	lock	ayu	lock	LIKE	jxEzbn-7xOk	MPREb_hrAuoCZk8IR	UCahWNUcxKvciovqybkJXFVQ
9	A Simple Drone	Transylvegas	Neon Nights	LIKE	sABwRbf_xgQ	MPREb_PU5XvHX0CjN	UCzj_yDRQpPqvLi5ahjYoASg
18	The Ocean	Mindseye	Echoes of the Ocean	LIKE	Pzal1CDvzJI	MPREb_MvS7WVcM655	UCSZqpxJeLPBpxHGRV42qOAw
17	Stream Start	Lazer Dice	Streaming Lo-Fi	LIKE	qlUNjnJ3GII	MPREb_Trx9RgaxQJS	UCX_SD8X43ELThAGm3puPcXg
8	Duality	Jay Joints	Duality	LIKE	OYZ4oM2gG6Q	MPREb_X42EJFxLUC7	UCAUCgTJiQ2Hl2vjWJeXv52Q
6	CRYPT KEEPERS	HOODMAFIA	CRYPT KEEPERS	LIKE	B9DdC8fAZio	MPREb_Rnhq4nr7YhR	UCFjxENsbPn0Sk529PjxiUdA
11	BLOOD ON THE WALLS	shinzo	BLOOD ON THE WALLS	INDIFFERENT	dRy-8sNzTdQ	MPREb_asOny3BtBRd	UCyZP3zrhK5Bw-hohc3v8XlA
5	Ambush at Canyon Gap	Transylvegas	Super Looper Meets the Drone Ranger – EP	INDIFFERENT	uq6qt3B5dIo	MPREb_DnLKkyI59Qq	UCzj_yDRQpPqvLi5ahjYoASg
13	Dark Energy	Transylvegas	Welcome to Fabulous Transylvegas	INDIFFERENT	5-Y7OCBYsXM	MPREb_rOe2YfPA3vw	UCzj_yDRQpPqvLi5ahjYoASg
27	Firefly	Sunset Boulevard Project	Downtempo Lounge & Chillwave, Vol. 3	INDIFFERENT	JmhfsaseMKA	MPREb_AWJkGzTBxx3	UCCeJWR8JEpbJ2CcUPgGx-aw
26	OK!	RBØR	OK!	INDIFFERENT	42Xl4eFnuTs	MPREb_v9H6e5KzHNt	UCbgOGXVIFsYbG9SQCE-hWlw
0	Flight Of A Dragon	Patros15	Neurodiversity	INDIFFERENT	Gk_9YfkejfI	MPREb_D86gkYIwAFi	UCPO6mQCbvfHBYVP7nDkN_Tw
23	what it meant to me?	OnlyM	what it meant to me?	INDIFFERENT	wcEGbTupK-U	MPREb_C0ZNkMtGjM3	UCX_Te2u5jbS73H6yQnFTStQ
24	Slowly (feat. Sergio Ochoa)	MVRTK	Slowly	INDIFFERENT	TZOogXL-oTA	MPREb_cIINIvKpA3W	UC_WLYQBhBsgxALOXyBH2KyA
1	Tranquilo	Louis BPM	Tranquilo	INDIFFERENT	MWh0o-WvYgQ	MPREb_ATRdmG6haUA	UCnxrmM_3XXWZJ5IkzyRLEgA
3	Forever	Lil Baby	It's Only Me	INDIFFERENT	EBgbT1k92yU	MPREb_V2NxBM6BmeW	UC_z9AthnCGSAk_tZf-KqoFA
4	Alea Lacta Est. (The Queen of Spades Mix) (feat. Kaon)	Koan	The Queen of Spades (Side B)	INDIFFERENT	j_A-a0VhTvM	MPREb_MXOembpSbKs	UCUMH5uv-RzxkR1sz_mRjuIg
25	Love You Tomorrow	Kieran Hemming	Love You Tomorrow	INDIFFERENT	NcFIIqlRYhg	MPREb_K0DZ57s7dY6	UC9Jx9tW1Wg5FjithXnUYExQ
22	I Wish I Could Love You	Kaya May	I Wish I Could Love You	INDIFFERENT	gwPqyGCPmuM	MPREb_480gTVgD9nz	UCZ_dz8Ma9GtZ_W4l1PtAXoA
14	Once Upon a Time	Evgeny Grinko	Tiny Mouse Tales	INDIFFERENT	Y-dyWfvVMUI	MPREb_IRkgPHvqm49	UC933FQUO-s9GxRR1re4vp1g
21	The Forbidden Cavern	Eric W. Brown	Sea Of Stars - Original Soundtrack (Disc I: Solstice)	INDIFFERENT	BO95l5OW9yg	MPREb_X5EaOWTiV3C	UC6Kv73h-7QZplsW8rd-JCXg
12	Ghost	Deadbloomer	A Little Morbid	INDIFFERENT	HDoSEgRE07w	MPREb_6GfWLIglu0Q	UCZ7cRcE2YdLNspXHDrnYnww
16	AmoR Conversely	CrisVola	AmoR Conversely	INDIFFERENT	BtZQKa0QmzY	MPREb_1QyU2ChbMkT	UCBqn8m6UPJB4hxGRSLydvXA
10	Meridiem Suite	Coral Morphologic	Meridiem Suite	INDIFFERENT	_CJr2EyYTCE	MPREb_MDJAFuiRpFP	UCeA1diwb89vCX9CYbsi_YHg
20	you aren't really there	Channel 21	threnodies	INDIFFERENT	dFytFlWd8gQ	MPREb_rKOAVAUoNy9	UCXqFOAwmJ8e20uP4sBeYznA
28	Undone	Asela Perera	Chasing Joy	INDIFFERENT	u4vdWhdlpPY	MPREb_VdnLecouzt9	UCDrrJCYwjMDCMqTKBtJ34eA
15	Ode to Focus	Artifex 28	Ode to Focus	INDIFFERENT	4HgOWUq9B_Q	MPREb_tmyFfMKyInj	UC8f72Si7YwRC3oAOYUMIzlw
2	Katabasis	Absence of Field	Katabasis	INDIFFERENT	L9FwsHB_UUo	MPREb_mcoupl6Nu0B	UCH5lLVZfH7UgtX4TOmc0Z3A
19	Constellation	A Troop of Echoes	The Longest Year On Record	INDIFFERENT	JmQFWxfk5-Q	MPREb_LoKnVo9u45Q	UCxXVwj5zCBnUpls6k2hJ6kg
