	title	artist	album	likeStatus	videoId	albumId	artistId
220	Lotus 72 D (Fast Version)	Zé Roberto	Lotus 72 D	LIKE	8XCAGBc7X2Y	MPREb_lSfUfGpQ3IS	UCF9F0lWMK-N9RaGepstMlGA
160	Four On Six (feat. Tommy Flanagan, Percy Heath & Albert Heath)	Wes Montgomery	The Incredible Jazz Guitar (Keepnews Collection)	LIKE	9PD2Q7TXmvU	MPREb_ExKlvjP0Cm7	UCYs8ep9Xe3RQc3Oy4BWKNAw
95	Don't You Worry 'Bout A Thing	Stevie Wonder	Innervisions	LIKE	RxsBc5p-dPU	MPREb_HQxE96d4Cve	UCR83RRXHzXrEQbu_ZQmPMSg
19	Is It a Crime	Sade	Promise	LIKE	uScPm9AQYjw	MPREb_TUbd1UJ765x	UCgxBu-PnULL4WRG7HcNpRvg
152	On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)	Miles Davis	Kind Of Blue (Legacy Edition)	LIKE	DR_SnnWhlrM	MPREb_fwDjGvDWI7U	UCIev2PktTH5mI-QlGmbUkiw
128	Giant Steps	John Coltrane	Giant Steps (Mono)	LIKE	g8QnKWPYRCs	MPREb_BJKgP7wXKcO	UCH4T2kv7rr9qnuP0DOXLxMA
141	Portrait of Tracy	Jaco Pastorius	Jaco Pastorius	LIKE	WPsiuGcUniQ	MPREb_MPwPsljX6n0	UCMqkrvIKlZTAv2zTYXy1YjA
212	Dream A Little Dream Of Me	Ella Fitzgerald	Sings - Back Through The Years/A Centennial Celebration	LIKE	cnnmLtP-wtM	MPREb_zSnSHqCnwxa	UCuMHq8jMRZXpUxSGLBuCa9g
31	Overtime	Dombresky	Reaching Perfection	LIKE	m0U01S1C_Mg	MPREb_HnoHCBxl3ZW	UCRIVSt7Dg_B11CGT_go9chw
113	Blackbird	Brad Mehldau	The Art of the Trio, Vol. 1	LIKE	VxzWDnfqZzY	MPREb_GmCFTbeq1g0	UCf-QhVNMqeqO2_em7Bz1iFg
226	How To Jazz And Kill (feat. Jvnxxr)	ryuuku	C.A.U.S, Vol. 1	INDIFFERENT	QMIXBrisk6U	MPREb_QWUO8ct3Ss0	UCj9kOio0lTc9PmePTg2fxuQ
47	Crush (feat. USHER)	Yuna	Chapters (Deluxe)	INDIFFERENT	zEN5ssnldUw	MPREb_Hg5VQbs8glT	UCG5bt-tMFnUv3IzooTE9Rqg
229	Kapustin: Eight Concert Studies for Piano, Op. 40 - III. Toccatina	Yuja Wang	The Berlin Recital – Encores	INDIFFERENT	sAhH5X5doLI	MPREb_CwYhURK5KrB	UCRFHKMw2TBesUcnYhOdZs_w
201	The Big Chill (feat. Roytivation)	Wissam Saliba	The Big Chill	INDIFFERENT	8QOprN_3HvA	MPREb_ZqrOZQpHZwD	UCyHPabUy8GaYNlQnMp8aHMw
32	Black Market	Weather Report	Black Market	INDIFFERENT	hBtB3QLCP2c	MPREb_JT1P00lS600	UCIarlYUBEI7vNYAyrt4vRlQ
124	Havona	Weather Report	Heavy Weather	INDIFFERENT	HEU-m_KVuYI	MPREb_Abm9HUJNq1Q	UCIarlYUBEI7vNYAyrt4vRlQ
116	Speak No Evil (Remastered1998/Rudy Van Gelder Edition)	Wayne Shorter	Speak No Evil (The Rudy Van Gelder Edition)	INDIFFERENT	Vdc3KJVopU4	MPREb_YdfvnV0sRce	UC3X4afoYfFCLWw1LTfeLCqA
218	Hindewhu (Whistle) Solo	Unknown Artist	Anthology Of World Music: Africa - The Ba-Benzele Pygmies	INDIFFERENT	f0xOuCjXSvQ	MPREb_k4H1OsDzDps	
17	Body and Soul	Tony Bennett	Duets II	INDIFFERENT	cQ0b7UV7GOQ	MPREb_vRuxz4wlhOE	UCQgu2j5deAy_cJfByew18qg
74	The Lady is a Tramp	Tony Bennett	60 Years: The Artistry of Tony Bennett	INDIFFERENT	Dme4Ll9QsJo	MPREb_qBHAvBnXDu2	UCQgu2j5deAy_cJfByew18qg
131	Love For Sale	Tony Bennett	Love For Sale (Deluxe)	INDIFFERENT	JRtCAtntp7A	MPREb_EyRHAzaERSv	UCQgu2j5deAy_cJfByew18qg
