title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Double Freedom	Samsara Blues Experiment	Long Distance Trip	LIKE	fNU-8qG-Npc	MPREb_eNdY1FvBuGD	UCMLybaeLPpVf44BYc_0spYQ	xr stonerrock albums
State of Non-Return	OM	Advaitic Songs	LIKE	BdpA3tzX8YI	MPREb_IDCldR9NKX1	UCsvPe3HRkh6vcKwlpKs6OwQ	xr stonerrock albums
Haqq al-Yaqin	OM	Advaitic Songs	LIKE	n-Pjwr7UrAY	MPREb_IDCldR9NKX1	UCsvPe3HRkh6vcKwlpKs6OwQ	xr stonerrock albums
Addis	OM	Advaitic Songs	LIKE	V4Hss-QiCnQ	MPREb_IDCldR9NKX1	UCsvPe3HRkh6vcKwlpKs6OwQ	xr stonerrock albums
Rosso Di Sera Bel Tempo Si Spera	Causa Sui	Szabodelico	LIKE	WqWoRITPrY8	MPREb_dLRLI1XRRwp	UCArunmZmYQk9fT3otxeH_RA	xr stonerrock albums
Winter Sun (Practice Space Demo 2010) (Bonus Track)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	4SU0VyWkMBU	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Winter Sun (2023 Remaster)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	1YutU_3WUcw	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Summon the Moon (2023 Remaster)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	IYwVfkS7Kqs	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Libusen (2023 Remaster)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	03pw_zlZQeg	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Heap Wolves (Practice Space Demo 2009) (Bonus Track)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	H0WqwNzijzg	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Heap Wolves (2023 Remaster)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	NF-UMKauzBI	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Black Candles (Sound of Music Demo 2009) (Bonus Track)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	NzZ7J4wEgvw	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Black Candles (Practice Space Demo 2010) (Bonus Track)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	NZwbepuZc14	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Black Candles (2023 Remaster)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	-NrhTbEPS6c	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Amaranth (Original Version Remixed) (Bonus Track)	Windhand	Windhand (Deluxe Edition)	INDIFFERENT	zAE3gqc3JL4	MPREb_a2PxkxlPYWT	UCAQlcH82bjKiqul6FI_d0kg	xr stonerrock albums
Waxing Gibbous	Wax Brain	Hive Mind	INDIFFERENT	tCWmEMHejW4	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Sativa	Wax Brain	Hive Mind	INDIFFERENT	55eoV9XH8C8	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Return the Slab	Wax Brain	Hive Mind	INDIFFERENT	VA_HC74j3ik	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Lies	Wax Brain	Hive Mind	INDIFFERENT	AziL2tIQOrI	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Indica	Wax Brain	Hive Mind	INDIFFERENT	xpJ-M5vLsMo	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Hive Mind	Wax Brain	Hive Mind	INDIFFERENT	NV6JtJ-H2YI	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Diesel	Wax Brain	Hive Mind	INDIFFERENT	w3XL4X4GUhY	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
Breath	Wax Brain	Hive Mind	INDIFFERENT	W5mNHZYLZSo	MPREb_8i8m7A9sNYn	UC_o2hJklY6-hgIQNiT8Hgvg	xr stonerrock albums
The Flood	Valley Of The Sun	The Chariot	INDIFFERENT	Tp3kKlFqKBg	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
The Chariot	Valley Of The Sun	The Chariot	INDIFFERENT	t8a-G_LtL_o	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Sweet Sands	Valley Of The Sun	The Chariot	INDIFFERENT	haoI-pz8Beg	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Sunblind	Valley Of The Sun	The Chariot	INDIFFERENT	s9vxBMohmyk	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Running Out Of Love	Valley Of The Sun	The Chariot	INDIFFERENT	6xglMyqCrmM	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Images	Valley Of The Sun	The Chariot	INDIFFERENT	dsDKxl6Nonk	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Headlights	Valley Of The Sun	The Chariot	INDIFFERENT	kldeHROjOmU	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Devil I've Become	Valley Of The Sun	The Chariot	INDIFFERENT	44SCY2xblAQ	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Colosseum	Valley Of The Sun	The Chariot	INDIFFERENT	WX6Iu1pPlqg	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
As We Decay	Valley Of The Sun	The Chariot	INDIFFERENT	Uil4yLwhNuE	MPREb_3id3N7Ij3zY	UCDsYL17ZGGpGLY4i8tJ6Puw	xr stonerrock albums
Who Says You Can't Get High At 95mph	The Marlboro Men	Who Says You Can't Get High At 95mph	INDIFFERENT	3HObaJxiDT0	MPREb_NIjfCxZ1QyM	UCjz-PzWv7_ZolLzYo391osg	xr stonerrock albums
