	title	artist	album	likeStatus	duration	videoId	albumId	artistId
21	Wait For The Summer	Yeasayer	All Hour Cymbals	INDIFFERENT	4:53	KbeBywWgyCI	MPREb_VHnbDKpq7D7	UCOmQROWwukObd9QvmZS3mXA
17	Face To The Highway	Tom Waits	Bad As Me (Deluxe Edition Remastered)	INDIFFERENT	3:42	IJwkY33ru0w	MPREb_6FvBdYAaJEC	UC39N3pyt2Z15oOMjouokl8A
36	Sister Saviour	The Rapture	Echoes	INDIFFERENT	3:46	y5oxkpkvEeM	MPREb_j5iVGYSIQIA	UCeNX7t0ZUTG5q2fek3LHzeA
35	Tokyo	The Books	The Lemon of Pink	INDIFFERENT	3:43	_cVFmpbcKIY	MPREb_x02hzO5tlV0	UCIab_j2kNleL-1-Tz1ZisGA
23	Summer Crane	The Avalanches	Since I Left You (20th Anniversary Deluxe Edition)	INDIFFERENT	4:40	twD_3iQ-ypQ	MPREb_cNK9GhEZbWX	UCLXF7R57nHd3Q2PcAAtdPcA
26	Little Journey	The Avalanches	Since I Left You (20th Anniversary Deluxe Edition)	INDIFFERENT	1:37	WiC8dPc4wgU	MPREb_cNK9GhEZbWX	UCLXF7R57nHd3Q2PcAAtdPcA
0	Jupiter	Sunken	Hometime	INDIFFERENT	4:43	XCV-PBNNd0E	MPREb_6hgmaR3t10e	UCkqyhhd4GpHfue0P7prE8Vw
5	Pinetop's Boogie Woogie	Pinetop Perkins	Back On Top	INDIFFERENT	4:17	iSv09tegacU	MPREb_UqljyyVeFo1	UCGloG-ofMo_rYixhmlaNAfw
32	Bros	Panda Bear	Person Pitch	INDIFFERENT	12:30	pxBvg6QSZZw	MPREb_MX339LXZ16a	UCB2qO9T8dkxOhIvZVqVkVcg
2	Soul's Matter	Nuage	Soul's Matter	INDIFFERENT	3:43	jUSPRlzsVOM	MPREb_61oLKPNR2Cd	UCvnYndx3bGVWkyKhi03cS6w
1	Please Forgive Me	Mt. Si	Please Forgive Me	INDIFFERENT	3:50	-elk0dPGgc8	MPREb_p55vHSxz86H	UCR8gqVWR0I-o0OEWGnsBwwg
30	Lady (Hear Me Tonight)	Modjo		INDIFFERENT	3:42	mMfxI3r_LyA		UCAbayp4OwUPyogIg330TM-Q
22	A Horse Is Not A Home	Miike Snow	Miike Snow	INDIFFERENT	4:13	mB97q2UvDDc	MPREb_rTJGm1C27zg	UCzsEmTSzPLxL0w0Ff6n8rEA
27	Daffodils (feat. Kevin Parker)	Mark Ronson	Uptown Special	INDIFFERENT	4:59	Cqr-wPTyZ48	MPREb_YSiih6Gj0hG	UCm9XijVCOsRrxdx0giD_1fQ
29	Mango Pickle Down River	M.I.A.	Kala	INDIFFERENT	3:53	MPsaIE6w1BQ	MPREb_NpKFvQ5uU46	UCaPHikQGkyaAoH_zwrZmY1w
13	Tonight	Lykke Li	Youth Novels	INDIFFERENT	4:14	yzMRGJUqwsM	MPREb_h7sLu4CxeXg	UCT5O41GykmKuyD2lQlwm5DA
8	Realise	Lone	Always Inside Your Head	INDIFFERENT	5:08	Wj48-BhO6z0	MPREb_8DYkP7ofdRI	UC7-hqDqFbdlHr0sq5jhcucw
28	Return To Patagonia	Lemon Jelly	Lost Horizons	INDIFFERENT	8:41	m5QIfyyTnz8	MPREb_8pSsP9izhqT	UC2bM86q38qMWZoTwdZiFHhQ
34	Experiment Number Six	Lemon Jelly	Lost Horizons	INDIFFERENT	5:54	saMcWuA84Ww	MPREb_8pSsP9izhqT	UC2bM86q38qMWZoTwdZiFHhQ
15	Old Time Shimmy	John Lee Hooker	The Big Soul Of John Lee Hooker	INDIFFERENT	2:21	NIY5mfkBYAk	MPREb_FiuajG1Vu3w	UCcWk0Z6iOwjUeycdoh7mIMQ
6	Sloppy Drunk (Single Version)	Jimmy Rogers	Chicago Bound	INDIFFERENT	3:03	eDnBrBU3Bf8	MPREb_XrbQWqhSMSl	UCuWKHkYHIIMuF0WyXbBiwjQ
18	Mysteries of Love	JULEE CRUISE	Floating Into The Night	INDIFFERENT	4:30	PgXlMNDezk4	MPREb_cegUNnDnPxz	UCCRIBkzo9czYrGUs5oqK6ZQ
24	So Glad To See You	Hot Chip	The Warning	INDIFFERENT	4:06	kXHI3AO0W4c	MPREb_XGKQq8OEhgN	UCelQU7g_ZFCyK2ylb-mcrQw
7	Your Good Times Are Just Beginning	Gold Panda	Good Luck and Do Your Best	INDIFFERENT	3:45	b_24lizKpZo	MPREb_ZsFG4lfWthR	UC68yNj_3xz9ppq6zAG_wESQ
3	Finding My Way Home	Far Caspian	Between Days	INDIFFERENT	4:09	mHTnpLAhV7M	MPREb_1fExoNJqi0K	UCB28sTzoj_YoNcuUP2XgBaQ
19	Positive Contact (Bonus Track - Mario C Remix) (feat. Del The Funky Homosapien, Dan The Automator & Kid Koala)	Deltron 3030	Deltron 3030	INDIFFERENT	3:56	4vVBxcCbEZc	MPREb_aouTcYjeomh	UCJpHpgv_ZmWfiL-qzCZq8Nw
14	Pinky's Dream	David Lynch	Crazy Clown Time	INDIFFERENT	4:00	MTUfHvaIj8w	MPREb_GJzVzq6GuSb	UCqF3NuBdmrbo67Yk9AIn38Q
16	I'm Deranged	David Bowie	1. Outside (The Nathan Adler Diaries: A Hyper Cycle) [Expanded Edition]	INDIFFERENT	4:32	u8QsKS2dy80	MPREb_FwGay859NeY	UCvY1eVE6lTebXsdFbbXUtkQ
9	WDPK 83.7 FM	Daft Punk	Homework	INDIFFERENT	0:29	lKScJ4GIWyE	MPREb_dMHztPsrDgN	UCRr1xG_2WIDs18a6cIiCxeA
37	Mashin' On The Motorway	DJ Shadow	The Private Press	INDIFFERENT	2:58	AITtqtQnyG4	MPREb_m0aAbcMc5z1	UCtTuSKgCdeTyxBGPCD3TgxQ
33	Pussy	Brazilian Girls	Brazilian Girls	INDIFFERENT	4:08	VU-MhdiUWtA	MPREb_65P7ztcX6X8	UC1zZkEekOYiPKs46G_tjnqw
20	Chemtrails	Beck	Modern Guilt	INDIFFERENT	4:38	7o3NQnSvJZI	MPREb_629KLdgbqcm	UC8fxkahdLdfHk8pF1fRYD-w
31	Youthless	Beck	Modern Guilt	INDIFFERENT	2:57	YClsPg08Egg	MPREb_629KLdgbqcm	UC8fxkahdLdfHk8pF1fRYD-w
10	Bob Dylan's 115th Dream	Asobi Seksu	Subterranean Homesick Blues: A Tribute to Bob Dylan's 'Bringing It All Back Home'	INDIFFERENT	4:14	NrO0xvCPc-k	MPREb_bgES7bW0tV0	UCZACdU_aqy0CSp-fxHd_H0A
25	The Purple Bottle	Animal Collective	Feels	INDIFFERENT	6:48	ImkOQ3f2m7g	MPREb_4ilJ57cs2tz	UC6X5Baxp63Ex9NaLZwAy7lQ
11	I Go to Sleep	Anika	Anika EP	INDIFFERENT	3:22	pxkEw-IWZV8	MPREb_j2W2QGnABnJ	UCqlqGaYYWT6kt29dgkSauhQ
12	Haunting & Heartbreaking	Angelo Badalamenti	Lost Highway	INDIFFERENT	2:09	GkVPOCX6gPo	MPREb_kCTBXgb6AFc	UC7ygKpFFov9EnbZQq3SqRCA
4	My Bad, Your Fault	Amtrac	Oddyssey	INDIFFERENT	3:36	bh6MR4EFAz8	MPREb_UmCz6t0Qf3R	UCKQTvdyEWFnxYlmKPAdtmLA
