	title	artist	album	likeStatus	duration	videoId	albumId	artistId
13	If I Were a Carpenter (Live at Woodstock - 8/15/69)	Tim Hardin	Live at Woodstock	INDIFFERENT	5:40	S-4xzFAysx8	MPREb_vbGqFaGnq2g	UC6nPz4RBo67fOxdQlmb_lFQ
8	See Me, Feel Me (Live At Woodstock)	The Who	The Kids Are Alright	INDIFFERENT	5:20	mx_n0-5ob0Y	MPREb_v7sK4aVE2SW	UCpxn_sVrLQWNGFK1eulpYgw
12	Sparks (Live At Woodstock)	The Who	The Kids Are Alright	INDIFFERENT	3:01	Hu8NtkE0xkg	MPREb_v7sK4aVE2SW	UCpxn_sVrLQWNGFK1eulpYgw
19	Love March (Live @ the Troubadour, Los Angeles)	The Paul Butterfield Blues Band	The Paul Butterfield Blues Band Live	INDIFFERENT	12:25	A5uNv98CRBM	MPREb_PfHbKVjWthd	UC0n6CuW4i5kGO1s1rn0bQ0g
10	You Can Make It If You Try	Sly & The Family Stone	Stand	INDIFFERENT	3:39	v-5F8-rm8cY	MPREb_xEbZegZ9wLB	UCgwJnBJfprQYGX3OPQrTvqw
14	Stand! (Live at The Woodstock Music & Art Fair, August 17, 1969)	Sly & The Family Stone	Sly & The Family Stone: The Woodstock Experience	INDIFFERENT	3:21	4Im1Fiz5T6M	MPREb_WnbbahUwDLJ	UCgwJnBJfprQYGX3OPQrTvqw
21	I Want To Take You Higher (Live at The Woodstock Music & Art Fair, August 17, 1969)	Sly & The Family Stone	Sly & The Family Stone: The Woodstock Experience	INDIFFERENT	6:44	JHddaGurot8	MPREb_WnbbahUwDLJ	UCgwJnBJfprQYGX3OPQrTvqw
23	Dance To The Music (Live at The Woodstock Music & Art Fair, August 17, 1969)	Sly & The Family Stone	Sly & The Family Stone: The Woodstock Experience	INDIFFERENT	4:29	uTVJQQ2Q9cs	MPREb_WnbbahUwDLJ	UCgwJnBJfprQYGX3OPQrTvqw
16	At the Hop (Live at Woodstock)	Sha Na Na	Live at Woodstock	INDIFFERENT	3:05	hMGM4kxMSCk	MPREb_1ucvhAaCts8	UCNVMeZ8sSHPjfwuXeoxIh6Q
4	Southbound Train	Mountain	Mountain	INDIFFERENT	3:00	dpzHnmARKvQ	MPREb_QuyYQysqIIt	UCl8BQHSOKyUWOsvUBUxpkQw
11	Theme for an Imaginary Western	Mountain	Climbing!	INDIFFERENT	5:06	6Dcz-WxOeFk	MPREb_ty3ohufu1XH	UCl8BQHSOKyUWOsvUBUxpkQw
22	Mr. Tambourine Man (Live at Woodstock)	Melanie	Live at Woodstock	INDIFFERENT	2:27	giklRpVyUS4	MPREb_QQdd1T5Ws7u	UCFWU5lXPUI6IzXlbjtVse8w
0	Blood of the Sun	Leslie West	Mountain	INDIFFERENT	2:36	fyb_J-_pKVo	MPREb_QuyYQysqIIt	UC0EQ8pkH0LFNJ_i5Uaa-AsQ
18	Johnny B. Goode (Live at The Woodstock Music & Art Fair, August 18, 1969)	Johnny Winter	Johnny Winter: The Woodstock Experience	INDIFFERENT	5:37	ShJn5t6-6-4	MPREb_0mWD7mvOpOw	UCdGP0Bisu7WfRtZdfuCqQdQ
