title	artist	album	likeStatus	videoId	albumId	artistId	playlists
This Land is Your Land (reprise)	Woody Guthrie	This Land is Your Land: The Asch Recordings, Vol. 1	LIKE	9Cf3mHTt_tQ	MPREb_TFcxd6qtcQq	UCgbCJIqwRQbo8xuVWvQFqYg	y 1940s top
This Land is Your Land	Woody Guthrie	This Land is Your Land: The Asch Recordings, Vol. 1	LIKE	Ol0rRdF5L1c	MPREb_TFcxd6qtcQq	UCgbCJIqwRQbo8xuVWvQFqYg	y 1940s top
This Land is Your Land	Woody Guthrie	This Land is Your Land: The Asch Recordings, Vol. 1	LIKE	AePCvFrggZM	MPREb_TFcxd6qtcQq	UCgbCJIqwRQbo8xuVWvQFqYg	y 1940s top
Pastures of Plenty	Woody Guthrie	This Land is Your Land: The Asch Recordings, Vol. 1	LIKE	pQ5zA368EJs	MPREb_TFcxd6qtcQq	UCgbCJIqwRQbo8xuVWvQFqYg	y 1940s top
Hobo's Lullaby	Woody Guthrie	This Land is Your Land: The Asch Recordings, Vol. 1	LIKE	KViE_-QOz3E	MPREb_TFcxd6qtcQq	UCgbCJIqwRQbo8xuVWvQFqYg	y 1940s top
Going Down the Road Feeling Bad	Woody Guthrie	This Land is Your Land: The Asch Recordings, Vol. 1	LIKE	nLPSMYaB1M8	MPREb_TFcxd6qtcQq	UCgbCJIqwRQbo8xuVWvQFqYg	y 1940s top
Pearline	Son House	Martin Scorsese Presents The Blues: Son House	LIKE	JLKRG_5prAQ	MPREb_fDjLFkrsZxO	UCxo6H7Jta2YNrdk6a9cch6w	y 1940s top
John the Revelator	Son House	Martin Scorsese Presents The Blues: Son House	LIKE	EEZFPg0D_to	MPREb_fDjLFkrsZxO	UCxo6H7Jta2YNrdk6a9cch6w	y 1940s top
Grinnin' in Your Face	Son House	Martin Scorsese Presents The Blues: Son House	LIKE	KcH5JicZR5c	MPREb_fDjLFkrsZxO	UCxo6H7Jta2YNrdk6a9cch6w	y 1940s top
Empire State Express	Son House	Martin Scorsese Presents The Blues: Son House	LIKE	Ab769rke7bc	MPREb_fDjLFkrsZxO	UCxo6H7Jta2YNrdk6a9cch6w	y 1940s top
