	title	artist	album	likeStatus	videoId	albumId	artistId
317	Purple Flower (Remastered 2023)	Yusef Lateef	Eastern Sounds (Remastered 2023)	LIKE	OL051faQhJI	MPREb_Fi1yP55fsWo	UCTzvT7cM3lVEnarspxywomQ
310	Keep My Skillet Good and Greasy	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	VVFSBnHb6Sk	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
311	Talking Hard Work	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	AMBmBjAMkMs	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
312	Whoopee Ti-Yi-Yo, Get Along Little Dogies	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	51w1a6BDDa4	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
313	A Picture from Life's Other Side	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	bwgYbn7iprA	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
314	Put My Little Shoes Away	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	d_Bphlj3jWg	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
315	Take a Whiff on Me	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	3vJQsvWkLHE	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
316	Going Down the Road Feeling Bad	Woody Guthrie	Woody Guthrie Sings Folk Songs, Vol. 2	LIKE	9LJpCt1oCkA	MPREb_SivSCYW3WTZ	UCgbCJIqwRQbo8xuVWvQFqYg
307	Oriental Folk Song (Remastered 2004 / Rudy Van Gelder Edition)	Wayne Shorter	Night Dreamer	LIKE	GwiGwHvukKQ	MPREb_g38iP428MFH	UC3X4afoYfFCLWw1LTfeLCqA
308	Virgo (Remastered 2004 / Rudy Van Gelder Edition)	Wayne Shorter	Night Dreamer	LIKE	HlIG8Ihto1I	MPREb_g38iP428MFH	UC3X4afoYfFCLWw1LTfeLCqA
309	Black Nile (Remastered 2004 / Rudy Van Gelder Edition)	Wayne Shorter	Night Dreamer	LIKE	8OxrGVPBzZM	MPREb_g38iP428MFH	UC3X4afoYfFCLWw1LTfeLCqA
305	Oh, Good Grief	Vince Guaraldi Trio	A Boy Named Charlie Brown	LIKE	s6Zg7sKuwUk	MPREb_qRGZ6904gKP	UC_DRP-u7c3iOwytg4-ddifw
306	Linus And Lucy	Vince Guaraldi Trio	A Boy Named Charlie Brown	LIKE	tS48UwSVr2M	MPREb_qRGZ6904gKP	UC_DRP-u7c3iOwytg4-ddifw
300	Body and Soul	Thelonious Monk	Monk's Dream	LIKE	RxeMfXtYTEE	MPREb_iQB5djm9UYc	UCyCL_gVNVoWZTjkw-KnuIDg
301	Five Spot Blues	Thelonious Monk	Monk's Dream	LIKE	J-3ZtYPGzMI	MPREb_iQB5djm9UYc	UCyCL_gVNVoWZTjkw-KnuIDg
302	Blue Bolivar Blues (Take 2)	Thelonious Monk	Monk's Dream	LIKE	j01nWUfaDN8	MPREb_iQB5djm9UYc	UCyCL_gVNVoWZTjkw-KnuIDg
303	Body and Soul (Take 1)	Thelonious Monk	Monk's Dream	LIKE	IvcQvGGUaJw	MPREb_iQB5djm9UYc	UCyCL_gVNVoWZTjkw-KnuIDg
304	Blue Bolivar Blues (Take 1)	Thelonious Monk	Monk's Dream	LIKE	ZPUDixHa4-o	MPREb_iQB5djm9UYc	UCyCL_gVNVoWZTjkw-KnuIDg
281	Walk, Don't Run	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	dzL3jvnmqPM	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
282	No Trespassing (Stereo)	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	po4GW-WRgno	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
283	Lullaby Of The Leaves	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	VeXMaXol8zA	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
284	Driving Guitars (Ventures Twist)	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	1MuAqUVSJNI	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
285	Twisted	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	khHt9oHRAGQ	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
286	Spudnik (Surf Rider)	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	iefq3B6-Gf0	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
287	Night Drive	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	A8xgXpnykos	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
288	The 2000 Pound Bee (Part 1 & 2) (Medley)	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	j1DIjvzgIyM	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
289	Journey To The Stars	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	NkxzIi9IzUI	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
290	Fugitive	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	1IB6BKCTJ5c	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
291	Walk, Don't Run '64	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	E1ADC3HDCcw	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
292	Diamond Head	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	n2n9xZiWUiQ	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
293	Action Plus (Stereo)	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	5Z61wbPx328	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
294	Underground Fire	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	RbI9z11uMCM	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
295	Hawaii Five-O	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	APWd-s-Gaic	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
296	The Ventures 'Rocketing Rhythms' Interview	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	KTJkCJFXixE	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
297	The Ventures Twist Party, Vol. 2 - Radio Spot	The Ventures	Walk - Don't Run: The Best Of The Ventures	LIKE	RZd1qcc3Gx8	MPREb_jmI40k1che7	UCBTyn_Hs6HQQ6poBYsiQiVw
