title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Love Is Everywhere (Beware)	Wilco	Ode to Joy	LIKE	jy4EXHlNgPA	MPREb_vzPuVHv0U9b	UCb5aNlKdWOySR6Z-CnQieFQ	y 2019 top 50 albums
Hold Me Anyway	Wilco	Ode to Joy	LIKE	G9kMlOG199w	MPREb_vzPuVHv0U9b	UCb5aNlKdWOySR6Z-CnQieFQ	y 2019 top 50 albums
Everyone Hides	Wilco	Ode to Joy	LIKE	477QKJOXqxI	MPREb_vzPuVHv0U9b	UCb5aNlKdWOySR6Z-CnQieFQ	y 2019 top 50 albums
Bright Leaves	Wilco	Ode to Joy	LIKE	zo6qWxW7h4s	MPREb_vzPuVHv0U9b	UCb5aNlKdWOySR6Z-CnQieFQ	y 2019 top 50 albums
Wild Time	Weyes Blood	Titanic Rising	LIKE	zjw17szxD7c	MPREb_TN1ByWUr0Xt	UChpnWWkg9ZAgAZ5KwkeQkFg	y 2019 top 50 albums
Nearer to Thee	Weyes Blood	Titanic Rising	LIKE	mgVOzdzwf-Q	MPREb_TN1ByWUr0Xt	UChpnWWkg9ZAgAZ5KwkeQkFg	y 2019 top 50 albums
Movies	Weyes Blood	Titanic Rising	LIKE	xniRJsus8pk	MPREb_TN1ByWUr0Xt	UChpnWWkg9ZAgAZ5KwkeQkFg	y 2019 top 50 albums
Andromeda	Weyes Blood	Titanic Rising	LIKE	jj4u0OmCqsA	MPREb_TN1ByWUr0Xt	UChpnWWkg9ZAgAZ5KwkeQkFg	y 2019 top 50 albums
A Lot's Gonna Change	Weyes Blood	Titanic Rising	LIKE	7OrVUk61wHE	MPREb_TN1ByWUr0Xt	UChpnWWkg9ZAgAZ5KwkeQkFg	y 2019 top 50 albums
The Weight	Weval	The Weight	LIKE	PfqD_7BJeJ0	MPREb_TzUxcnSyhXf	UCJscGoudXZmNmADZX2Uk0hw	y 2019 top 50 albums
Someday	Weval	The Weight	LIKE	aAPef4SMMio	MPREb_TzUxcnSyhXf	UCJscGoudXZmNmADZX2Uk0hw	y 2019 top 50 albums
Roll Together	Weval	The Weight	LIKE	Eqq92N7WVX0	MPREb_TzUxcnSyhXf	UCJscGoudXZmNmADZX2Uk0hw	y 2019 top 50 albums
Heaven, Listen	Weval	The Weight	LIKE	AJZA3CX5QY4	MPREb_TzUxcnSyhXf	UCJscGoudXZmNmADZX2Uk0hw	y 2019 top 50 albums
False State of Mind	Weval	The Weight	LIKE	2AEBYudGwUY	MPREb_TzUxcnSyhXf	UCJscGoudXZmNmADZX2Uk0hw	y 2019 top 50 albums
Unbearably White	Vampire Weekend	Father of the Bride	LIKE	DvTboOje_lY	MPREb_fgOVoXvwoId	UCWy-MPuAh_GH8YwXxtq3gcA	y 2019 top 50 albums
This Life	Vampire Weekend	Father of the Bride	LIKE	0DRvBNzwELE	MPREb_fgOVoXvwoId	UCWy-MPuAh_GH8YwXxtq3gcA	y 2019 top 50 albums
Sunflower (feat. Steve Lacy)	Vampire Weekend	Father of the Bride	LIKE	Xa9XfQZWdC4	MPREb_fgOVoXvwoId	UCWy-MPuAh_GH8YwXxtq3gcA	y 2019 top 50 albums
Harmony Hall	Vampire Weekend	Father of the Bride	LIKE	0_BWvLB3UFk	MPREb_fgOVoXvwoId	UCWy-MPuAh_GH8YwXxtq3gcA	y 2019 top 50 albums
2021	Vampire Weekend	Father of the Bride	LIKE	VXNNgz_CVTc	MPREb_fgOVoXvwoId	UCWy-MPuAh_GH8YwXxtq3gcA	y 2019 top 50 albums
RUNNING OUT OF TIME	Tyler, The Creator	IGOR	LIKE	Uyf_lImpdRw	MPREb_TDKJNChbDy4	UCo1DYcm1IZ9v3UPkpiAcgtg	y 2019 top 50 albums
