	title	artist	album	likeStatus	duration	videoId	albumId	artistId
297	Heavydirtysoul	twenty one pilots	Blurryface	LIKE	3:55	lzXRdS9cynQ	MPREb_X7QffEAYTTO	UCnX0L9QiftAcWdzeBx31xCw
298	Stressed Out	twenty one pilots	Blurryface	LIKE	3:23	K1FlAphL2p8	MPREb_X7QffEAYTTO	UCnX0L9QiftAcWdzeBx31xCw
299	Ride	twenty one pilots	Blurryface	LIKE	3:35	w1Smzzw_w7Q	MPREb_X7QffEAYTTO	UCnX0L9QiftAcWdzeBx31xCw
300	The Judge	twenty one pilots	Blurryface	LIKE	4:58	an6iivcWZhE	MPREb_X7QffEAYTTO	UCnX0L9QiftAcWdzeBx31xCw
301	We Don't Believe What's on TV	twenty one pilots	Blurryface	LIKE	2:58	OLdviOHQeQs	MPREb_X7QffEAYTTO	UCnX0L9QiftAcWdzeBx31xCw
368	Im a rider	the game	Face of L.A.	LIKE	2:41	5en6D8YwNuM	MPREb_K3rG1sA0xxa	UC5zGDJcAF5VkW70c8raD-Lw
343	Bassem Sabry	of Montreal	Aureate Gloom	LIKE	4:45	8HnytTg0JuA	MPREb_e8dQgmAWSPB	UCTc-gLB4Gy6BxJhMAYZ6m4A
160	Friends	levitation room	Minds Of Our Own	LIKE	3:38	JbTqt79CC38	MPREb_bxfOTz3Qme6	UCcGjNUpddmEbAYRLH7xX3ZQ
109	Power	Young Thug	State of Dab	LIKE	3:08	4emirO8Jk0k	MPREb_1aa3yJrhB35	UCm6WwhIkHJFRGQd7ttnr9lQ
331	Power	Young Thug	D.A.B. Muzic, Vol. 1	LIKE	3:07	O3NfGRWbNkI	MPREb_WaV7sSkCCES	UCm6WwhIkHJFRGQd7ttnr9lQ
616	Problem	Young Thug	Slime Season 3	LIKE	4:02	4cfhNvfy3Mo	MPREb_y2Z0pSij1Wg	UCm6WwhIkHJFRGQd7ttnr9lQ
30	Heavy Metal Detox	Wavves	V	LIKE	3:17	eImRcza9Oro	MPREb_Hm4XgiKv0M1	UCBYaFtXX67SKAvMqQ4m0NMQ
521	Punk Song	Walter TV	Blessed	LIKE	2:02	1TTi-suiQFg	MPREb_TBpbP85CCYu	UC1j5pdDDz-66WhHVz5zzcJw
522	Neighbour	Walter TV	Blessed	LIKE	2:01	OhQt7uXbdjE	MPREb_TBpbP85CCYu	UC1j5pdDDz-66WhHVz5zzcJw
503	Cotton Kid	Vundabar	Gawk	LIKE	2:59	SW6JV_9jA2w	MPREb_nfTrR7FOZGo	UCZ3E0yFqaoOudExwS2UDTdw
70	Summertime	Vince Staples	Summertime '06	LIKE	4:19	3EK3JogvPR4	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
71	Lift Me Up	Vince Staples	Summertime '06	LIKE	4:31	FmQAfdeR4Ks	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
72	Birds & Bees (feat. Daley)	Vince Staples	Summertime '06	LIKE	2:42	EELE5okMV-g	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
73	3230	Vince Staples	Summertime '06	LIKE	2:52	kZpLr6mtMng	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
74	Norf Norf	Vince Staples	Summertime '06	LIKE	3:03	1XrIltpAUiA	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
75	Ramona Park Legend Pt. 2	Vince Staples	Summertime '06	LIKE	1:27	3snZTkBqN0A	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
432	Lift Me Up	Vince Staples	Summertime '06	LIKE	4:32	aJAftLMNsRs	MPREb_mW56zD5GbZ5	UCCn7DeREpok-P8lDnYkyZWA
542	Norf Norf	Vince Staples	Summertime '06	LIKE	3:03	8lZLxh3Z9ZY	MPREb_mW56zD5GbZ5	UCCn7DeREpok-P8lDnYkyZWA
614	Surf (feat. Kilo Kish)	Vince Staples	Summertime '06	LIKE	2:31	E6I88H9pD94	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
615	C.N.B.	Vince Staples	Summertime '06	LIKE	4:13	U1-N57HRYY0	MPREb_UOUyLQ6X3dZ	UCCn7DeREpok-P8lDnYkyZWA
24	Bunker Buster	Viet Cong	Viet Cong	LIKE	5:55	W17fckXZ7ss	MPREb_pY7u6V2RDOI	UCweFfOf1p5lYXdn22OFmYMw
25	March of Progress	Viet Cong	Viet Cong	LIKE	6:19	XNmT6kMbZzs	MPREb_pY7u6V2RDOI	UCweFfOf1p5lYXdn22OFmYMw
416	Silhouettes	Viet Cong	Viet Cong	LIKE	4:12	AeTGKM5pyrk	MPREb_pY7u6V2RDOI	UCweFfOf1p5lYXdn22OFmYMw
147	Like Acid Rain	Unknown Mortal Orchestra	Multi-Love	LIKE	2:03	oH5glbC98hE	MPREb_mp9jw5n9JDa	UCXMAKzy9duqBltrR8TrHmpQ
148	Can’t Keep Checking My Phone	Unknown Mortal Orchestra	Multi-Love	LIKE	4:17	qHKTdRKYf7Q	MPREb_mp9jw5n9JDa	UCXMAKzy9duqBltrR8TrHmpQ
517	CHERRY BOMB	Tyler, The Creator	Cherry Bomb	LIKE	4:30	DwOyRejJ07Q	MPREb_L5lmoTeD4CA	UCo1DYcm1IZ9v3UPkpiAcgtg
518	SMUCKERS (feat. Lil Wayne & Kanye West)	Tyler, The Creator	Cherry Bomb + Instrumentals	LIKE	5:35	Nc9pWy8zDg0	MPREb_9A1uXG45n31	UCo1DYcm1IZ9v3UPkpiAcgtg
612	Wave Goodbye	Ty Segall Band	Live in San Francisco	LIKE	4:36	4ECQ21ikMko	MPREb_as9JRMG7voZ	UC-Z_sxJOcuEGSq822j9VqNw
613	Standing At The Station	Ty Segall Band	Live in San Francisco	LIKE	1:53	clrYMQ9FpOk	MPREb_as9JRMG7voZ	UC-Z_sxJOcuEGSq822j9VqNw
35	The Motivator	Ty Segall	Ty Rex	LIKE	3:32	itYJkRI9BQY	MPREb_sGqy7WLTw5v	UC-Z_sxJOcuEGSq822j9VqNw
36	Fist Heart Mighty Dawn Dart	Ty Segall	Ty Rex	LIKE	3:16	z2yHfCsIVaw	MPREb_sGqy7WLTw5v	UC-Z_sxJOcuEGSq822j9VqNw
37	The Slider	Ty Segall	Ty Rex	LIKE	3:21	X5ZIzQ4i38w	MPREb_sGqy7WLTw5v	UC-Z_sxJOcuEGSq822j9VqNw
38	Salamanda Palaganda	Ty Segall	Ty Rex	LIKE	3:10	q3wOFIt3rGI	MPREb_sGqy7WLTw5v	UC-Z_sxJOcuEGSq822j9VqNw
151	Circles	Ty Segall	Mr. Face	LIKE	3:06	hmR-Wu7FLLU	MPREb_2GkikuszYkj	UC-Z_sxJOcuEGSq822j9VqNw
152	Drug Mugger	Ty Segall	Mr. Face	LIKE	3:03	z-kVGxwid3w	MPREb_2GkikuszYkj	UC-Z_sxJOcuEGSq822j9VqNw
19	Perfect Time	Tripwires	Watermelancholia	LIKE	3:37	qys4nq4AK4k	MPREb_9gL1a53iw37	UCN9BgOrBu4BWD4Lx_UyqQ2Q
20	Pseudo Friends	Tripwires	Watermelancholia	LIKE	5:14	O60TXeJ5His	MPREb_9gL1a53iw37	UCN9BgOrBu4BWD4Lx_UyqQ2Q
21	Zoning In & Out	Tripwires	Watermelancholia	LIKE	1:59	7FXkYyomCns	MPREb_9gL1a53iw37	UCN9BgOrBu4BWD4Lx_UyqQ2Q
22	Pale Light Green	Tripwires	Watermelancholia	LIKE	3:30	x0xGlqAe43w	MPREb_9gL1a53iw37	UCN9BgOrBu4BWD4Lx_UyqQ2Q
23	Hunting the Shy 70's Disco	Tripwires	Watermelancholia	LIKE	3:02	rUM_b-Yazes	MPREb_9gL1a53iw37	UCN9BgOrBu4BWD4Lx_UyqQ2Q
265	No One Knows Your Name	Trevor Something	Death Dream	LIKE	3:18	qSx7HqUhX9c	MPREb_fm5rcm3xOs8	UC833__IIxnI8u737Y1V6a5g
447	Maria I'm Drunk (feat. Justin Bieber & Young Thug)	Travis Scott	Rodeo (Expanded Edition)	LIKE	5:50	fI-mnYR-Mp8	MPREb_3ZjkGxRDnwh	UCf_gP4AMRSgAfyzbkeS9k4g
448	90210 (feat. Kacy Hill)	Travis Scott	Rodeo (Expanded Edition)	LIKE	5:40	tBfWb5IrbOI	MPREb_3ZjkGxRDnwh	UCf_gP4AMRSgAfyzbkeS9k4g
449	Flying High (feat. Toro y Moi)	Travis Scott	Rodeo (Expanded Edition)	LIKE	3:29	OdXNvCOAs0w	MPREb_3ZjkGxRDnwh	UCf_gP4AMRSgAfyzbkeS9k4g
408	Good Times	Travis Bretzer	Waxing Romantic	LIKE	3:00	CafopGEwWQc	MPREb_33djet0MMMW	UCNOlTg8QbiBZdmlYzTct6MA
409	Story Book	Travis Bretzer	Waxing Romantic	LIKE	2:18	ZxYSoYrusVQ	MPREb_33djet0MMMW	UCNOlTg8QbiBZdmlYzTct6MA
410	The Bread	Travis Bretzer	Waxing Romantic	LIKE	3:07	1JpGRadIZ-Y	MPREb_33djet0MMMW	UCNOlTg8QbiBZdmlYzTct6MA
411	Promises	Travis Bretzer	Waxing Romantic	LIKE	3:24	DCWgRP0jeHM	MPREb_33djet0MMMW	UCNOlTg8QbiBZdmlYzTct6MA
412	Idle By	Travis Bretzer	Waxing Romantic	LIKE	3:15	gFLpDN7nvEM	MPREb_33djet0MMMW	UCNOlTg8QbiBZdmlYzTct6MA
