title	artist	album	likeStatus	videoId	albumId	artistId	playlists
World-a-Reggae	iNi KAMOZE	Ini Kamoze	LIKE	lCK0mgg0cVU	MPREb_lCAwUWUqmfi	UCxrEwvylUGOk_3pvGZrAiyA	ym 1980s early mb albums
Wings With Me	iNi KAMOZE	Ini Kamoze	LIKE	klfrJ4MqpGc	MPREb_lCAwUWUqmfi	UCxrEwvylUGOk_3pvGZrAiyA	ym 1980s early mb albums
Hail MI Idren	iNi KAMOZE	Ini Kamoze	LIKE	3Hq5gNEtA98	MPREb_lCAwUWUqmfi	UCxrEwvylUGOk_3pvGZrAiyA	ym 1980s early mb albums
TV Dinners (2008 Remaster)	ZZ Top	Eliminator	LIKE	_4aBM1yrkhI	MPREb_EcyTH81gWsU	UC_Us2Zqt4ovGtdXKmws60mw	ym 1980s early mb albums
Sharp Dressed Man (2008 Remaster)	ZZ Top	Eliminator	LIKE	PAyOcwZggnA	MPREb_EcyTH81gWsU	UC_Us2Zqt4ovGtdXKmws60mw	ym 1980s early mb albums
Legs (2008 Remaster)	ZZ Top	Eliminator	LIKE	rM_nGN_du84	MPREb_EcyTH81gWsU	UC_Us2Zqt4ovGtdXKmws60mw	ym 1980s early mb albums
Gimme All Your Lovin'	ZZ Top	Eliminator	LIKE	tMhZizgTnj0	MPREb_EcyTH81gWsU	UC_Us2Zqt4ovGtdXKmws60mw	ym 1980s early mb albums
Pure Jam (2019 Bob Ludwig Remastering)	Yellow Magic Orchestra	Technodelic (2019 Bob Ludwig Remastering)	LIKE	okMVMOBVE-M	MPREb_2ZAKCOiKa5P	UCS9G-CZZqYeftTs6EEPBfdg	ym 1980s early mb albums
Prologue (2019 Bob Ludwig Remastering)	Yellow Magic Orchestra	Technodelic (2019 Bob Ludwig Remastering)	LIKE	aaWcdOK8_TM	MPREb_2ZAKCOiKa5P	UCS9G-CZZqYeftTs6EEPBfdg	ym 1980s early mb albums
睡蓮 - Suiren	Yasuaki Shimizu	Kakashi	LIKE	aHbY8Bn5TZo	MPREb_h25NfGuys16	UCRQl-YV2HJWUBcNvsh--SLQ	ym 1980s early mb albums
海の上から - Umi No Ue Kara	Yasuaki Shimizu	Kakashi	LIKE	DrJgz6HvNnY	MPREb_h25NfGuys16	UCRQl-YV2HJWUBcNvsh--SLQ	ym 1980s early mb albums
案山子 - Kakashi	Yasuaki Shimizu	Kakashi	LIKE	Zy1-TZUrP08	MPREb_h25NfGuys16	UCRQl-YV2HJWUBcNvsh--SLQ	ym 1980s early mb albums
Yacht Dance (2001 Remaster)	XTC	English Settlement	LIKE	gPOYlIsy18Y	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA	ym 1980s early mb albums
Senses Working Overtime (Remastered 2001)	XTC	English Settlement	LIKE	kjt7AdLYT2w	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA	ym 1980s early mb albums
Runaways (2001 Remaster)	XTC	English Settlement	LIKE	tJocUSEXk8c	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA	ym 1980s early mb albums
Leisure (2001 Remaster)	XTC	English Settlement	LIKE	nwKjnLE8j0M	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA	ym 1980s early mb albums
Knuckle Down (2001 Remaster)	XTC	English Settlement	LIKE	5Y-fCyRSdho	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA	ym 1980s early mb albums
Ball And Chain (2001 Remaster)	XTC	English Settlement	LIKE	aiGgyr02X08	MPREb_3D3315pPUb6	UCgsgbGAPI68KlnBRGFMtRuA	ym 1980s early mb albums
Adult Books	X	Wild Gift	LIKE	6I-vEvHdw1s	MPREb_wGEOTej6dVK	UC6oJrNTRJ6cJGCIJQ5GHf5w	ym 1980s early mb albums
The Unheard Music	X	Los Angeles	LIKE	d3S8NSOoNKo	MPREb_h9oGfTB0jbl	UC6oJrNTRJ6cJGCIJQ5GHf5w	ym 1980s early mb albums
Los Angeles	X	Los Angeles	LIKE	ZKp1TjP__rg	MPREb_h9oGfTB0jbl	UC6oJrNTRJ6cJGCIJQ5GHf5w	ym 1980s early mb albums
Without A Song (Live at Budokan, Tokyo, Japan - Feb. 23, 1984)	Willie Nelson	Live At Budokan	LIKE	0o6l2nOkkDY	MPREb_kPhefyvK2ni	UCPmpbAuktEPbIVpwGrY_c4g	ym 1980s early mb albums
