title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Ascending Forth	black midi	Cavalcade	LIKE	FA3IJOodbWc	MPREb_Hwdr7Q9S1fd	UCQH1ZFu68tIio4QFDP0TErQ	ym 2021 mb albums
In Spite of Ourselves (feat. Amy Taylor)	Viagra Boys	Welfare Jazz	LIKE	zM2ARKtLFss	MPREb_H6wPpxcMNkZ	UCWRCpIlFQYWr3v0V6fZu97Q	ym 2021 mb albums
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	WD-kOAeAcTY	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
WILSHIRE	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	sDEKUUxnLac	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	oCEaYar1RgU	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
SAFARI	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	VV_4SMGazk0	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
RUNITUP (feat. Teezo Touchdown)	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	3AA7ybax90w	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
MASSA	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	_U5xtAaHRuU	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
LUMBERJACK	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	-7DRsw7_i34	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)	Tyler, The Creator	CALL ME IF YOU GET LOST	LIKE	pmkYOjJ7qSg	MPREb_rMqWqQe5N3L	UCo1DYcm1IZ9v3UPkpiAcgtg	ym 2021 mb albums
Send Me	Tirzah	Colourgrade	LIKE	3gzu9m5mN18	MPREb_xAzuqc0yrdH	UCnqWaVNNo1J_I6QoIPvlz2w	ym 2021 mb albums
The Morning	The Weeknd	The Highlights (Deluxe)	LIKE	cq41fkFA_sM	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
The Hills	The Weeknd	The Highlights (Deluxe)	LIKE	Gep4K7DlQXE	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Starboy (feat. Daft Punk)	The Weeknd	The Highlights (Deluxe)	LIKE	h837lQq3RXc	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Sacrifice	The Weeknd	The Highlights (Deluxe)	LIKE	BMLCgX9SLxA	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Reminder	The Weeknd	The Highlights (Deluxe)	LIKE	R1C9S5hsUSk	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Popular (feat. Playboi Carti)	The Weeknd	The Highlights (Deluxe)	LIKE	-bJrul70eyE	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Party Monster	The Weeknd	The Highlights (Deluxe)	LIKE	PWXjE5V3v6c	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Out of Time	The Weeknd	The Highlights (Deluxe)	LIKE	yief-mgrHKk	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
One Of The Girls	The Weeknd	The Highlights (Deluxe)	LIKE	xiJXd__t0-8	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Often	The Weeknd	The Highlights (Deluxe)	LIKE	hVMwnuG30A0	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Less Than Zero	The Weeknd	The Highlights (Deluxe)	LIKE	rQcK8P3RtR8	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
King Of The Fall	The Weeknd	The Highlights (Deluxe)	LIKE	OZG3JfPb7mk	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Is There Someone Else?	The Weeknd	The Highlights (Deluxe)	LIKE	YDxFgK8kLN4	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
In Your Eyes	The Weeknd	The Highlights (Deluxe)	LIKE	a7hUbxyMqaE	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
In The Night	The Weeknd	The Highlights (Deluxe)	LIKE	m1Q0xzbf9uY	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
I Feel It Coming (feat. Daft Punk)	The Weeknd	The Highlights (Deluxe)	LIKE	JPT8OBTdCow	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Can't Feel My Face	The Weeknd	The Highlights (Deluxe)	LIKE	6tb_2X4jCUo	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Blinding Lights	The Weeknd	The Highlights (Deluxe)	LIKE	ZxAK3IXUZ08	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
After Hours	The Weeknd	The Highlights (Deluxe)	LIKE	POZs4Oi4gFY	MPREb_Ulsj5v7BPir	UClYV6hHlupm_S_ObS1W-DYw	ym 2021 mb albums
Night‘s Too Dark	The Notwist	Vertigo Days	LIKE	OQOMIWA-nh4	MPREb_7kplK0v66Ar	UC6PnAv5kzAHJS4NgVcP43zA	ym 2021 mb albums
Loose Ends	The Notwist	Vertigo Days	LIKE	e69vfdcwOtM	MPREb_7kplK0v66Ar	UC6PnAv5kzAHJS4NgVcP43zA	ym 2021 mb albums
Ghost	The Notwist	Vertigo Days	LIKE	w3KFDcR0h40	MPREb_7kplK0v66Ar	UC6PnAv5kzAHJS4NgVcP43zA	ym 2021 mb albums
Stay All Night	The Black Keys	Delta Kream	LIKE	VnS9cg7mhBg	MPREb_N6XhjUOk5AX	UCchwuI134MUX4GSZqYLpYGA	ym 2021 mb albums
Crawling Kingsnake (Edit)	The Black Keys	Delta Kream	LIKE	gHrRBwO3qnI	MPREb_N6XhjUOk5AX	UCchwuI134MUX4GSZqYLpYGA	ym 2021 mb albums
Crawling Kingsnake	The Black Keys	Delta Kream	LIKE	tNdg7EhtRMA	MPREb_N6XhjUOk5AX	UCchwuI134MUX4GSZqYLpYGA	ym 2021 mb albums
G.S.K.	Squid	Bright Green Field	LIKE	m4JjSI8cZTk	MPREb_DVgqByGoxMl	UCNTCHHTeOFusxMB_3pnnw1Q	ym 2021 mb albums
Soaking Dry	Soichi Terada	Asakusa Light	LIKE	NrOpbfQsyLI	MPREb_2bnDQw9Ain1	UCihTrOdF9aRCgYnqCYqYzvw	ym 2021 mb albums
Silent Chord	Soichi Terada	Asakusa Light	LIKE	W9BbIBEXOqY	MPREb_2bnDQw9Ain1	UCihTrOdF9aRCgYnqCYqYzvw	ym 2021 mb albums
Runners	Soichi Terada	Asakusa Light	LIKE	D9Nd6RnX1t4	MPREb_2bnDQw9Ain1	UCihTrOdF9aRCgYnqCYqYzvw	ym 2021 mb albums
Marimbau	Soichi Terada	Asakusa Light	LIKE	v52IM-Hmqe0	MPREb_2bnDQw9Ain1	UCihTrOdF9aRCgYnqCYqYzvw	ym 2021 mb albums
Diving into Minds	Soichi Terada	Asakusa Light	LIKE	Pq6oblWddm0	MPREb_2bnDQw9Ain1	UCihTrOdF9aRCgYnqCYqYzvw	ym 2021 mb albums
By Your Side	Sofia Kourtesis	Fresia Magdalena	LIKE	6XZFBqpCo1I	MPREb_o6X9wiu3DEB	UCy6aNBz9losmwhz4E4yScQQ	ym 2021 mb albums
Ben Franklin	Snail Mail	Valentine	LIKE	AbtIyAK-z08	MPREb_QWD9L7mEnD3	UCfoebneRNWLGb2eKwuKx46g	ym 2021 mb albums
Jeremiah	Sierra Ferrell	Long Time Coming	LIKE	cnLatRfM2rY	MPREb_EWu88zsiQfC	UC5YjFzZESHnqNxzFBMVrR4w	ym 2021 mb albums
THERE’S NOTHING YOU CAN’T DO	SPIRIT OF THE BEEHIVE	ENTERTAINMENT, DEATH	LIKE	Dvf_av-gzBs	MPREb_yhboO8z0LLe	UC_EjuzKCmq_ihgTYwjp0iGQ	ym 2021 mb albums
I SUCK THE DEVIL’S COCK	SPIRIT OF THE BEEHIVE	ENTERTAINMENT, DEATH	LIKE	aNoCv780-Yw	MPREb_yhboO8z0LLe	UC_EjuzKCmq_ihgTYwjp0iGQ	ym 2021 mb albums
GIVE UP YOUR LIFE	SPIRIT OF THE BEEHIVE	ENTERTAINMENT, DEATH	LIKE	W83YRwlPbVs	MPREb_yhboO8z0LLe	UC_EjuzKCmq_ihgTYwjp0iGQ	ym 2021 mb albums
ENTERTAINMENT	SPIRIT OF THE BEEHIVE	ENTERTAINMENT, DEATH	LIKE	bSGaJEnZZ-s	MPREb_yhboO8z0LLe	UC_EjuzKCmq_ihgTYwjp0iGQ	ym 2021 mb albums
XXX Olympiad	Ross from Friends	Tread	LIKE	CHxox3_4Oso	MPREb_QeXFozXrxDC	UCTniBt4tMAMEKn6cdBdAs4Q	ym 2021 mb albums
The Daisy	Ross from Friends	Tread	LIKE	6GmxU8SteqY	MPREb_QeXFozXrxDC	UCTniBt4tMAMEKn6cdBdAs4Q	ym 2021 mb albums
Revellers	Ross from Friends	Tread	LIKE	UMP7sm-nMzc	MPREb_QeXFozXrxDC	UCTniBt4tMAMEKn6cdBdAs4Q	ym 2021 mb albums
Love Divide	Ross from Friends	Tread	LIKE	OacdJcq9hKo	MPREb_QeXFozXrxDC	UCTniBt4tMAMEKn6cdBdAs4Q	ym 2021 mb albums
Life In A Mind	Ross from Friends	Tread	LIKE	kASGqCyiuM0	MPREb_QeXFozXrxDC	UCTniBt4tMAMEKn6cdBdAs4Q	ym 2021 mb albums
You And Whose Army?	Radiohead	KID A MNESIA	LIKE	zYCLm0Oonk8	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Untitled v3	Radiohead	KID A MNESIA	LIKE	iXvLp5tvqTE	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Untitled v2	Radiohead	KID A MNESIA	LIKE	1WzCN1syZfc	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Untitled v1	Radiohead	KID A MNESIA	LIKE	ZTvniQgAQ0o	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Untitled	Radiohead	KID A MNESIA	LIKE	2Hjrxn8qeig	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Treefingers	Radiohead	KID A MNESIA	LIKE	gA0J1V1_pXM	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
The National Anthem	Radiohead	KID A MNESIA	LIKE	kr-44Vmjc4I	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Pyramid Song	Radiohead	KID A MNESIA	LIKE	qZGrXKYbcQs	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Pulk/Pull Revolving Doors	Radiohead	KID A MNESIA	LIKE	Ps6txeTlzkg	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Packt Like Sardines In a Crushd Tin Box	Radiohead	KID A MNESIA	LIKE	JFMq6lCJdHA	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Motion Picture Soundtrack	Radiohead	KID A MNESIA	LIKE	Gy9sQ_7bMk8	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Morning Bell/Amnesiac	Radiohead	KID A MNESIA	LIKE	DWoL_N4zXUI	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Morning Bell	Radiohead	KID A MNESIA	LIKE	1pTnps5RQeE	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Like Spinning Plates ('Why Us?' Version)	Radiohead	KID A MNESIA	LIKE	QhHMJkeF8zo	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Like Spinning Plates	Radiohead	KID A MNESIA	LIKE	SKUdDojvq4E	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Life In a Glasshouse	Radiohead	KID A MNESIA	LIKE	vfDvGbBCq7s	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Knives Out	Radiohead	KID A MNESIA	LIKE	yiNEJsyowdQ	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Kid A	Radiohead	KID A MNESIA	LIKE	TOfU3wVpwZQ	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
In Limbo	Radiohead	KID A MNESIA	LIKE	wCM_udPMVYQ	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Idioteque	Radiohead	KID A MNESIA	LIKE	LyVB_52G4pg	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
I Might Be Wrong	Radiohead	KID A MNESIA	LIKE	OYe7gqwrkro	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Hunting Bears	Radiohead	KID A MNESIA	LIKE	ZtdW3HTUQqo	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
How to Disappear into Strings	Radiohead	KID A MNESIA	LIKE	1ACmCuuIaMQ	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
How to Disappear Completely	Radiohead	KID A MNESIA	LIKE	HY_UbJ3rEfY	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Fog (Again Again Version)	Radiohead	KID A MNESIA	LIKE	9vPi8mWg-_8	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
Everything In Its Right Place	Radiohead	KID A MNESIA	LIKE	d9zk2j3JPK4	MPREb_E7NpKw54NIT	UCr_iyUANcn9OX_yy9piYoLw	ym 2021 mb albums
