	title	artist	album	likeStatus	duration	videoId	albumId	artistId
0	Odessa	Zola Jesus	New Amsterdam	INDIFFERENT	4:06	AVAAhDFo-lA	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
1	Dog	Zola Jesus	New Amsterdam	INDIFFERENT	4:23	2R3R5pPKzeU	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
2	Orthodox	Zola Jesus	New Amsterdam	INDIFFERENT	4:34	gua1rKdghqU	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
3	Last Day	Zola Jesus	New Amsterdam	INDIFFERENT	4:28	6r7Z-GI-dVU	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
4	New Amsterdam	Zola Jesus	New Amsterdam	INDIFFERENT	3:12	ua3I0NqL5yU	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
5	Lady Maslenitsa	Zola Jesus	New Amsterdam	INDIFFERENT	4:02	pAYm7AYwlyc	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
6	Nativity	Zola Jesus	New Amsterdam	INDIFFERENT	2:59	FPCt4F1ej9M	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
7	Little Girl	Zola Jesus	New Amsterdam	INDIFFERENT	1:22	Vm16zT9NH2g	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
8	Be Your Virgin	Zola Jesus	New Amsterdam	INDIFFERENT	1:40	aSoQwqcwQCI	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
9	Lady in the Radiator	Zola Jesus	New Amsterdam	INDIFFERENT	2:18	uXo4wInQfYw	MPREb_bFtrWXazA4O	UCRrk2NgOoQXi97f86fYj5nA
10	Six Feet (From My Baby)	Zola Jesus	The Spoils	INDIFFERENT	4:15	SRi0xTX-Nkg	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
11	Crowns	Zola Jesus	The Spoils	INDIFFERENT	2:54	wN7OmJZcT8E	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
12	Sinfonia and the Shrew	Zola Jesus	The Spoils	INDIFFERENT	2:07	kT57rFFb_is	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
13	Sink the Dynasty	Zola Jesus	The Spoils	INDIFFERENT	3:20	82VDWhKi41o	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
14	Devil Take You	Zola Jesus	The Spoils	INDIFFERENT	3:52	Nfytt5t-hCE	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
15	Lullaby In Tongues	Zola Jesus	The Spoils	INDIFFERENT	1:15	zXuGcyWnazk	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
16	Smirenye	Zola Jesus	The Spoils	INDIFFERENT	3:48	Ld5z2y3v8zo	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
17	Clay Bodies	Zola Jesus	The Spoils	INDIFFERENT	4:55	LMzGAVzPPV0	MPREb_R9zndXaHS4x	UCRrk2NgOoQXi97f86fYj5nA
