	title	artist	album	likeStatus	videoId	albumId	artistId
65	not ghostface	rusty	BTS Radio	LIKE	0id1jdxUDHI	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIJYnRzIHJhZGlvGgVydXN0eSIDZ3Bt	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIFcnVzdHk
64	i cu in da cluubb	hot sugar	mixtape	LIKE	wy0cHcL1JLY	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIHbWl4dGFwZRoJaG90IHN1Z2FyIgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIJaG90IHN1Z2Fy
81	1017 Thug	Young Thug	Young Thug - 1017 Thug	LIKE	3Z7CAWK3ZEU	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIUeW91bmcgdGh1ZyAxMDE3IHRodWciA2dwbQ	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIKeW91bmcgdGh1Zw
17	You Hid	Toro y Moi	Causers Of This	LIKE	HDv8TiGFmNU	MPREb_XCiXh3snT4i	UCJikOjbf3VffCdLXTsbxfxg
28	you hid	Toro y Moi	Causers of This	LIKE	fOfjnZaZ97M	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIPY2F1c2VycyBvZiB0aGlzGgx0b3JvIGFuZCBtb2kiA2dwbQ	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIMdG9ybyBhbmQgbW9p
16	Winter Rose (The Bees Remix)	The Bees	Every Step's A Yes	LIKE	QqVKvXF1QDs	MPREb_DVtlpVeUthH	UCoBUj8ZBp8FgO0zfNSIZAHw
53	Come Together (Take 1)	The Beatles	Anthology 3	LIKE	qXOGsyoY9Cw	MPREb_UfVa8wUcEDl	UC2XdaAVUannpujzv32jcouQ
75	Come Together (Omega Remix)	The Beatles	Miamifadecounty.com	LIKE	Y8RKuHbUeYs	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBISbWlhbWlmYWRlY291bnR5Y29tIgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIHYmVhdGxlcw
12	Since I Left You	The Avalanches	Since I Left You (20th Anniversary Deluxe Edition)	LIKE	TyOfYE5cqNk	MPREb_cNK9GhEZbWX	UCLXF7R57nHd3Q2PcAAtdPcA
21	Since I Left You	The Avalanches	Since I Left You	LIKE	EcPxiunbzb4	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIQc2luY2UgaSBsZWZ0IHlvdRoKYXZhbGFuY2hlcyIDZ3Bt	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIKYXZhbGFuY2hlcw
14	Stuck To U	The Alchemist	Rapper's Best Friend (An Instrumental Series)	LIKE	VfZ0zQzo4hg	MPREb_UuiqQrAu3qD	UCk1i5sYwUIEAvaq2R77Tb3Q
9	Mind Mischief (The Field Remix)	Tame Impala	Lonerism (B-Sides & Remixes)	LIKE	DEgCdtbg7BA	MPREb_fG7hfecxdoM	UCGz-eguN8tcic5kUG4s1ZgA
32	Mind Mischief (Ducktails Remix)	Tame Impala	Mind Mischief	LIKE	sm4REYjjLx4	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBINbWluZCBtaXNjaGllZhoLdGFtZSBpbXBhbGEiA2dwbQ	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBILdGFtZSBpbXBhbGE
50	Goooo	TNGHT	TNGHT	LIKE	dFUSyzSyEEg	MPREb_JquSk6f3B1a	UCIzvaEjamDYR85oxnqAB0eQ
59	Higher Ground	TNGHT	TNGHT	LIKE	b0VxW5iXzb4	MPREb_JquSk6f3B1a	UCIzvaEjamDYR85oxnqAB0eQ
73	Goooo	TNGHT	TNGHT	LIKE	ABYr3ga-j1A	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIFdG5naHQaBXRuZ2h0IgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIFdG5naHQ
83	Higher Ground	TNGHT	TNGHT	LIKE	EwxP7DO5OCA	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIFdG5naHQaBXRuZ2h0IgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIFdG5naHQ
46	Superstition	Stevie Wonder	Live In London	LIKE	Nz904pv4eQ8	MPREb_0nRG7OhM0ok	UCR83RRXHzXrEQbu_ZQmPMSg
18	23 (Kry Wolf VIP) (feat. Tymer)	Shadow Child	23 VIP	LIKE	MjwTqbZQbuY	MPREb_jNbZ3krMiT5	UCRTJPdQcG_RMfMj1mTgrnDA
34	23	Shadow Child	Grand Theft Auto V Radio Stations Soundtrack - Flylo FM (DJ - Flying Lotus)	LIKE	jHU3PcMYt8U	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBJFZ3JhbmQgdGhlZnQgYXV0byB2IHJhZGlvIHN0YXRpb25zIHNvdW5kdHJhY2sgZmx5bG8gZm0gZGogZmx5aW5nIGxvdHVzIgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIMc2hhZG93IGNoaWxk
27	Rituals	Sekuoia	"Finest Ego | Faces 12"" Series Vol. 3"	LIKE	O-ESTepeT5s	FEmusic_library_privately_owned_release_detailb_po_CKCA4sLKgvb7CBIhZmluZXN0IGVnbyAgZmFjZXMgMTIgc2VyaWVzIHZvbCAzGgdzZWt1b2lhIgNncG0	FEmusic_library_privately_owned_artist_detaila_po_CKCA4sLKgvb7CBIHc2VrdW9pYQ
11	Pharaohs	SBTRKT	SBTRKT	LIKE	nh8Yci9QEPU	MPREb_LCPfgujuplX	UCaWaWjoxiBI0Pcj4l8fKzmQ
