	title	artist	album	likeStatus	duration	videoId	albumId	artistId
269	Slave	Yeah Yeah Yeahs	Mosquito (Deluxe)	LIKE	4:07	rAoQlB2uqYI	MPREb_0RxlT5K6Jh4	UCK49WVAaBRnVci8fmM4NiLQ
1719	Why You Always Hatin? (feat. Drake & Kamaiyah)	YG	Hip Hop Summer Party	LIKE	3:17	JeTC0HHiILc	MPREb_ofcFs08VG86	UCfmbK1auGXazD_UOiU2y1dg
1838	I'm So Happy Now	Willie Wright	Telling The Truth	LIKE	4:33	09uGxqaM2X0	MPREb_xG45NTPMeXM	UCtSkbYA5OIuIKwwwef4M8kg
1802	After Laughter (Comes Tears)	Wendy Rene	Stax-Volt: The Complete Singles 1959-1968	LIKE	3:00	nv-K-rWBFQA	MPREb_154ZDVCVnqJ	UCZeTfZH8ALYJ_WySaFumg0Q
270	Undertow	Warpaint	The Fool	LIKE	5:54	W_3kFNtzy8Q	MPREb_7EC3afNQB05	UCvQT_XAgFdh-6wYEKxKGcGw
1775	Sexy Coffee Pot (Single Version)	Tony Alvon & The Belairs	Funk 101	LIKE	2:28	Kuq6V4FsD1s	MPREb_ldqWW2vQBal	
1768	Angels	The xx	Coexist (Deluxe Edition)	LIKE	2:52	9AjFa3TULP4	MPREb_IAbtrLgZgz9	UCQ1Xqlk89CLZ9aAFyo-1THg
1725	Put It On	The Wailers	Island Tunes For Kids	LIKE	3:59	h81D8QCaZe0	MPREb_TDgnVSpfp7s	UCIoJ4M0MjsC9gOKuFdlnAGA
1735	Only One Can Win	The Sylvers	The Sylvers	LIKE	3:05	ZfQndu0y1hQ	MPREb_7LHuefmywwV	UCqR5773mYw6eEK_o-qMMsLw
1738	Sweet Inspiration	The Sweet Inspirations	The Sweet Inspirations	LIKE	2:56	_qi1k52G-h0	MPREb_8QoJPAoCGeo	UCXKplfHdw2Vld5S8MVjsCCw
1841	Hey Joe, Where You Gonna Go	The Standells	The Very Best Of The Standells	LIKE	2:12	Z2IU4qhtUS8	MPREb_7Z6JMPFzabd	UCztpwWlN0F9CAjAFSwutaEg
1644	Needles and Pins	The Searchers	It's The Searchers	LIKE	2:14	jkfojbL_yTk	MPREb_xc9pQDvFsvh	UCDCnk3Qj_Dgexq8EErav5Sg
1740	Panama City (Soul Descarga)	The Quantic Soul Orchestra	She Said What?	LIKE	5:18	yTDMGaPqQvY	MPREb_ov8hnAztRIK	UCJRtNmHnL1PnW96Q7_2Fl0A
1706	In the Dirt (Instumental)	The PutBacks	Spanish Harlem	LIKE	4:35	KcyiQvX8uSY	MPREb_eNa46MVrf9C	UC6UkxTyj7cmINW8HgB8HEyQ
1764	Crying in the Chapel	The Orioles	Til Then	LIKE	3:01	19MEL3CJXN4	MPREb_4aGlihfOEy9	UCW5wKZJACmnpvCQTliPhq3g
1833	Crying in the Chapel	The Orioles	Til Then	LIKE	3:01	19MEL3CJXN4	MPREb_4aGlihfOEy9	UCW5wKZJACmnpvCQTliPhq3g
1790	I Can Understand It	The New Birth	The Very Best Of The New Birth	LIKE	6:23	kzQGAFBZIv8	MPREb_DBjXdEc2YwF	UCH-waDoSxt25_3lHjNu58iQ
1737	Soul Machine	The Meters	Gettin' Funkier All the Time: The Complete Josie, Reprise and Warner Recordings 1968-1977	LIKE	3:29	GVqpDD3h8ls	MPREb_dveBYl6l3iQ	UCwye34yhtCbWGQsrFS4oMNw
1828	Cariño	The Marías	Superclean, Vol. II	LIKE	4:19	RyZNIw_IHpo	MPREb_z2K0GCbmAau	UCVV5M4OEFsKnB9HBhwOhHbA
1682	Multiculture	The Liberators	The Liberators	LIKE	5:04	R3Xjf9KzGSo	MPREb_rmg8rgBzxai	UCb8-k5P7-Y5_ABkLnmUWOew
1744	The Highways of My Life	The Isley Brothers	3+3	LIKE	4:18	LDCN68X7Wy4	MPREb_KtDnu3dpbkz	UC19gd7AQcPkrcFH8w8BYO7w
1688	Traveller, Pt. 1	The Haggis Horns	Traveller	LIKE	6:08	_VSltbCdjxQ	MPREb_mJFcaRnF4zL	UCaQXaqvk_MK2ys5aJWVb1Cw
1724	Going In Circles	The Friends Of Distinction	The Best Of Friends Of Distinction	LIKE	4:15	v2kwzUgLwxg	MPREb_l3foZBdSs07	UC3xmB4VYdmp6a6xM-m35dUQ
1745	Godless	The Dandy Warhols	Godless	LIKE	5:19	pY349Kbfuok	MPREb_9Mpfmh40qT7	UC49eSXGt7tBykoC_0_DfsQQ
