	title	artist	album	likeStatus	duration	videoId	albumId	artistId
0	Sonata No. 1	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	3:11	ZrzE58xb5Ig	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
1	Sonata No. 2	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:33	4ZdHbQM3n44	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
2	Sonata No. 3	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:27	rMtmg9JYt8E	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
3	Sonata No. 4	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:07	HYCyT08k0yc	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
4	First Interlude	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	3:30	_tk5j8PKWwc	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
5	Sonata No. 5	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	1:52	iWigDOyrzmE	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
6	Sonata No. 6	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:29	BpiM0YSb5x0	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
7	Sonata No. 7	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:32	tTwYz-XLTTY	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
8	Sonata No. 8	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:55	ze1NeXGFLPQ	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
9	Second Interlude	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	4:04	unDgx7pcEYI	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
10	Third Interlude	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	2:18	bWtwCIQu6N4	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
11	Sonata No. 9	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	4:28	Y64FsPgssLg	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
12	Sonata No. 10	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	4:09	87xpe0BxzPo	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
13	Sonata No. 11	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	3:40	IuyGqx9Zjb0	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
14	Sonata No. 12	John Cage	Cage: Sonatas and Interludes for Prepared Piano	INDIFFERENT	3:34	s-_-HsNAjuc	MPREb_qk1cR9ABkfm	UCCvefYEBaxeVQlQgz6IxB9g
